Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.10.23,,,,,,,,,,,Renatas Venckūnas,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,CNL,WAW,KUN,00:45:00,CNL,,,7,,,,,,,,,,,
,2,LO796,E170,CNL,KUN,WAW,06:15:00,CNL,,,7,,,0C/0P/42Y+2INF,,,42,,1,8-9,,
,3,FR7621,B738,EIDWE,KUN,CPH,06:25:00,06:29:00,,,3,3,,183,,WCHR;WCHR/WCLB,10,,2,1-2-3,,
,4,FR2145,B738,EIENF,KUN,LTN,07:30:00,07:40:00,,,2,2,,169,,,17,,5,1-2-3,,
,5,SRN6912,AT72,SPSPA,EDDK,KUN,08:00:00,07:36:00,,,9,9,,,,,,,,,,
,6,SRN6912,AT72,SPSPA,KUN,RIX,08:45:00,08:38:00,,,9,9,,,,,,,,,,
,7,SPNST,PA34,SPNST,EPBC,KUN,08:15:00,08:05:00,,,2,1,,,,,,,,,,
,8,SPNST,PA34,SPNST,KUN,EPMO,08:45:00,08:39:00,,,2,1,,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:50:00,09:46:00,,,9,9,,,,,,,,,,
,10,W68122,A320,GWUKD,LTN,KUN,10:40:00,10:21:00,,,5,5,,,163,,28,,,,,
,11,W68121,A320,GWUKD,KUN,LTN,11:10:00,11:14:00,,,5,5,,167,,,40,,5,4-5-6,,
,12,KLJ1147,B735,LYKLJ,KUN,EGSS,10:34:00,10:34:00,,,8,8,,,,,,,,,,
,13,FR2886,B738,EIFRL,EDI,KUN,11:30:00,11:04:00,,,2,2,,,176,,34,,,,,
,14,FR2885,B738,EIFRL,KUN,EDI,11:55:00,11:59:00,,,2,2,,178,,,32,,6,1-2-3,,
,15,W68146,A320,HALYF,SVG,KUN,11:35:00,11:46:00,,,7,7,,,144,,23,,,,,
,16,W68145,A320,HALYF,KUN,SVG,12:05:00,12:29:00,,,7,7,,147,,,56,,1,4-5-6,,
,17,FR2746,B738,EIDLR,STN,KUN,11:35:00,11:22:00,,,4,4,,,175,WCHR,11,,,,,
,18,FR2747,B738,EIDLR,KUN,STN,12:00:00,12:10:00,,,4,4,,168,,WCHC,21,,5,1-2-3,,
,19,FR2144,B738,EIENF,LTN,KUN,13:35:00,14:02:00,,,7,7,,,172,WCHR,27,,,,,
,20,FR8682,B738,EIDWE,KUN,BRS,15:25:00,15:28:00,,,2,2,,172,,WCHC,45,,5,1-2-3,,
,21,FR7620,B738,EIDWE,CPH,KUN,14:35:00,14:26:00,,,2,2,,,118,,8,,,,,
,22,FR7885,B738,EIENF,KUN,PMI,15:30:00,15:30:00,,,7,7,,130,,GPLF*5,26,,1,1-2-3,,
,23,FR9098,B738,EIDCW,ALC,KUN,20:15:00,20:25:00,,,4,4,,,183,WCHS,45,,,,,
,24,FR9099,B738,EIDCW,KUN,ALC,20:40:00,21:25:00,93/0013,81/0019,4,4,,164,,WCHC/WCBD;WCHR;BIKE*2,39,,2,1-2-3,,
,25,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:35:00,,,9,9,,,,,,,,,,
,26,SRN6911,AT72,SPSPA,RIX,KUN,21:15:00,20:38:00,,,9,9,,,,,,,,,,
,27,SRN6911,AT72,SPSPA,KUN,EDDK,21:50:00,21:59:00,,,9,9,,,,,,,,,,
,28,FR8681,B738,EIDWE,BRS,KUN,21:35:00,21:22:00,,,2,3,,,178,,22,,,,,
,29,FR7886,B738,EIENF,PMI,KUN,23:20:00,23:14:00,,,3,2,,,182,,37,,,,,
,,,,,,,,,,,,,,1478,1491,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
