Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.10.07,,,,,,,,,,,Renatas Venckūnas,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,FR7621,B738,EIFTA,KUN,CPH,06:25:00,06:30:00,,,4,4,,179,,,22,,2,1-2-3,,
,2,FR2145,B738,EIENH,KUN,LTN,07:30:00,07:32:00,,,2,2,,172,,,22,,5,1-2-3,,
,3,FR1333,B738,EIDPY,NAP,KUN,10:10:00,09:54:00,,,7,7,,,158,,23,,,,,
,4,FR1334,B738,EIDPY,KUN,NAP,10:35:00,10:37:00,,,7,7,,169,,,26,,2,1-2-3,,
,5,W68122,A320,GWUKD,LTN,KUN,10:40:00,10:27:00,,,4,4,,,173,WCHC/WCMP,37,,,,,
,6,W68121,A320,GWUKD,KUN,LTN,11:10:00,11:20:00,,,4,4,,178,,,66,,5,4-5-6,,
,7,FR8822,B738,EIEPF,SNN,KUN,12:35:00,12:27:00,,,4,4,,,175,,27,,,,,
,8,FR8821,B738,EIEPF,KUN,SNN,13:00:00,13:08:00,,,4,4,,175,,WCHC; WCHS*2,56,,5,1-2-3,,
,9,FR2144,B738,EIENH,LTN,KUN,13:35:00,13:30:00,,,2,2,,,177,,18,,,,,
,10,FR2972,B738,EIENH,KUN,DUB,14:45:00,14:43:00,,,2,2,,184,,WCHC; WCHS; WCHR,33,,5,1-2-3,,
,11,FR7620,B738,EIFTA,CPH,KUN,14:35:00,14:47:00,,,4,4,,,175,,13,,,,,
,12,FR8682,B738,EIFTA,KUN,BRS,15:40:00,15:44:00,,,4,4,,166,,WCHC/WCHS/WCMP,30,,5,1-2-3,,
,13,FR2971,B738,EIENH,DUB,KUN,21:30:00,21:38:00,,,2,2,,,180,WCHR,20,,,,,
,14,FR8681,B738,EIFTA,BRS,KUN,21:50:00,21:51:00,,,3,3,,,150,WCHC,33,,,,,
,15,OS1471,A319,OELDB,VIE,KUN,22:33:00,22:49:00,,,11,11,,,,,,,,,,
,,,,,,,,,,,,,,1223,1188,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
