Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.11.12,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E75S,SPLIK,WAW,KUN,00:45:00,00:43:00,,,7,7,,,42,,11,,,,
,2,LO796,E75S,SPLIK,KUN,WAW,06:15:00,07:15:00,,,7,7,,42,,,11,,1,8-9,
,3,FR7621,B738,EIDWC,KUN,CPH,06:20:00,06:42:00,,,4,4,,180,,WCHR*2,40,,2,1-2-3,
,4,FR2145,B738,EIENF,KUN,STN,06:40:00,04:58:00,,,3,3,,170,,WCHC,30,,5,1-2-3,
,5,SRN6912,AT72,SPSPA,CGN,KUN,07:30:00,06:40:00,,,9,9,,,,,,,,,
,6,SRN6912,AT72,SPSPA,KUN,RIX,08:05:00,07:45:00,,,9,9,,,,,,,,,
,7,KTB107,L410,LYAVT,KUN,VNO,06:50:00,06:50:00,,,21,21,,,,,,,,,
,8,LG041,B737,LXLGS,LUX,KUN,09:05:00,8;42,,,12,12,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:20:00,09:31:00,,,9,9,,,,,,,,,
,10,W98122,A320,GWUKB,LTN,KUN,10:30:00,09:49:00,,,4,4,,,166,,46,,,,
,11,W98121,A320,GWUKB,KUN,LTN,11:05:00,11:16:00,,,4,4,,178,,,68,,5,4-5-6,
,12,W68148,A320,HALYD,TKU,KUN,11:10:00,10:48:00,,,7,7,,,70,,40,,,,
,13,W68147,A320,HALYD,KUN,TKU,11:40:00,11:37:00,,,7,7,,100,,,61,,2,4-5-6,
,14,RA04078,EC135,RA04078,EVRA,KUN,10:51:00,10:56:00,,,13,13,,,,,,,,,
,15,RA04078,EC135,RA04078,KUN,EPMO,12:13:00,12:13:00,,,13,13,,,,,,,,,
,16,FR2144,B738,EIENF,STN,KUN,12:20:00,12:32:00,,,2,2,,,183,,34,,,,
,17,FR3467,B738,EIENF,KUN,LTN,15:55:00,15:57:00,,,2,2,,171,,BLND,33,,5,1-2-3,
,18,W68152,A321,HALXS,EIN,KUN,12:50:00,12:35:00,,,4,4,,,182,,49,,,,
,19,W68151,A321,HALXS,KUN,EIN,13:25:00,13:48:00,,,4,4,,213,,,82,,2,4-5-6,
,20,FR7620,B738,EIDWC,CPH,KUN,14:40:00,14:30:00,,,4,4,,,176,,59,,,,
,21,FR2972,B738,EIDWC,KUN,DUB,15:40:00,15:37:00,,,4,4,,187,,WCHC,72,,6,1-2-3,
,22,W68144,A320,HALPO,BGO,KUN,18:20:00,17:59:00,,,4,4,,,131,,40,,,,
,23,W68143,A320,HALPO,KUN,BGO,18:50:00,18:55:00,,,4,4,,151,,,66,,2,4-5-6,
,24,FR7949,B738,EIDLH,BLQ,KUN,19:30:00,19:03:00,,,7,7,,,182,,44,,,,
,25,FR7950,B738,EIDLH,KUN,BLQ,19:55:00,19:46:00,,,7,7,,140,,,34,,2,1-2-3,
,26,W68142,A321,HALWE,AES,KUN,19:45:00,19:37:00,,,4,4,,,132,,50,,,,
,27,W68141,A321,HALWE,KUN,AES,20:30:00,20:41:00,,,4,4,,175,,,109,,2,4-5-6,
,28,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:44:00,,,9,9,,,,,,,,,
,29,FR8681,B738,EIEVO,BRS,KUN,20:30:00,19:59:00,,,2,2,,,180,DEAF,55,,,,
,30,FR8682,B738,EIEVO,KUN,BRS,20:55:00,21:06:00,,,2,2,,164,,WCHS,57,,5,1-2-3,
,31,SRN6911,AT72,SPSPA,RIX,KUN,21:05:00,20:38:00,,,9,9,,,,,,,,,
,32,SRN6911,AT72,SPSPA,KUN,CGN,21:50:00,21:44:00,,,9,9,,,,,,,,,
,33,FR3466,B738,EIENF,LTN,KUN,21:25:00,21:25:00,,,2,2,,,178,,32,,,,
,34,FR2971,B738,EIDWC,DUB,KUN,22:30:00,22:11:00,,,4,3,,,181,WCHR,48,,,,
,,,,,,,,,,,,,,1871,1803,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
