Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.10.16,,,,,,,,,,,Renatas Venckūnas,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,CRJ9,ESACK,WAW,KUN,00:45:00,00:22:00,,,7,7,,,18,,7,,,,,
,2,LO796,CRJ9,ESACK,KUN,WAW,06:15:00,06:26:00,,,7,7,,49,,,7,,1,8-9,,
,3,FR7621,B738,EIDWK,KUN,CPH,06:25:00,06:32:00,,,3,3,,181,,WCHC/WCMP,22,,2,1-2-3,,
,4,FR2145,B738,EIFOF,KUN,LTN,07:30:00,07:47:00,,,2,2,,173,,WCHS/WCMP;WCHR,21,,5,1-2-3,,
,5,SRN6912,AT72,SPSPA,EDDK,KUN,08:00:00,07:55:00,,,9,9,,,,,,,,,,
,6,SRN6912,AT72,SPSPA,KUN,RIX,08:45:00,08:59:00,,,9,9,,,,,,,,,,
,7,SPNST,PA34,SPNST,EPBC,KUN,08:00:00,07:52:00,,,2,3,,,,,,,,,,
,8,SPNST,PA34,SPNST,KUN,EPBC,08:30:00,08:38:00,,,2,3,,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:50:00,09:50:00,,,9,9,,,,,,,,,,
,10,KLJ100,B735,LYKLJ,KUN,IST,10:30:00,10:18:00,,,8,8,,31,,,29,,6,8-9,,
,11,LYBAS,SIRA,LYBAS,KUN,EYKS,11:25:00,11:25:00,,,12,12,,,,,,,,,,
,12,W68122,A320,GWUKD,LTN,KUN,10:40:00,10:47:00,,,5,5,,,180,,34,,,,,
,13,W68121,A320,GWUKD,KUN,LTN,11:10:00,11:36:00,,,5,5,,171,,,43,,5,4-5-6,,
,14,FR2886,B738,EIDPC,EDI,KUN,11:30:00,11:14:00,,,2,2,,,184,WCHS/WCMP,22,,,,,
,15,FR2885,B738,EIDPC,KUN,EDI,11:55:00,12:06:00,,,2,2,,178,,,48,,6,1-2-3,,
,16,W68146,A320,HALYD,SVG,KUN,11:35:00,11:11:00,,,7,7,,,144,,46,,,,,
,17,W68145,A320,HALYD,KUN,SVG,12:05:00,12:15:00,,,7,7,,178,,,78,,1,4-5-6,,
,18,FR2746,B738,EIEPA,STN,KUN,11:35:00,11;25,,,5,6,,,157,WCHC;WCHS,18,,,,,
,19,FR2747,B738,EIEPA,KUN,STN,12:00:00,12:10:00,,,5,6,,171,,WCHR,26,,5,1-2-3,,
,20,FR2144,B738,EIFOF,LTN,KUN,13:35:00,13:36:00,,,2,2,,,157,,17,,,,,
,21,FR8682,B738,EIFOF,KUN,BRS,15:25:00,15:29:00,,,2,2,,174,,,42,,5,1-2-3,,
,22,GWI6900,A319,DASTX,SXF,KUN,14:26:00,14:26:00,,,11,11,,,,,,,,,,
,23,FR7620,B738,EIDWP,CPH,KUN,14:35:00,14:44:00,,,7,7,,,180,,9,,,,,
,24,FR7885,B738,EIDWP,KUN,PMI,15:30:00,15;39,,,7,7,,166,,,22,,1,1-2-3,,
,25,GWI6901,A319,DABNU,KUN,DUS,17:15:00,17:15:00,,,16R,16R,,,,,,,,,,
,26,FR9098,B738,EIESZ,ALC,KUN,20:15:00,20:01:00,,,5,5,,,180,WCHC,43,,,,,
,27,FR9099,B738,EIESZ,KUN,ALC,20:40:00,21:14:00,81/0029,,5,5,,171,,WCHS,37,,2,1-2-3,,
,28,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:26:00,,,9,9,,,,,,,,,,
,29,SRN6911,AT72,SPSPA,RIX,KUN,21:15:00,20:41:00,,,9,9,,,,,,,,,,
,30,SRN6911,AT72,SPSPA,KUN,EDDK,21:50:00,21:51:00,,,9,9,,,,,,,,,,
,31,FR8681,B738,EIFOF,BRS,KUN,21:35:00,21:30:00,,,3,3,,,170,WCHS,26,,,,,
,32,FR7886,B738,EIDWP,PMI,KUN,23:20:00,23:00:00,,,2,2,,,176,,36,,,,,
,,,,,,,,,,,,,,1643,1546,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
