Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.11.30,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E170,SPLDI,WAW,KUN,00:45:00,00:40:00,,,7,7,,,66,,16,,,,
,2,LO796,E170,SPLDI,KUN,WAW,06:30:00,CNL,,,7,,,0C/0P/44Y,,CNL,44,,1,8-9,
,3,FR7621,B738,EIEVA,KUN,CPH,06:20:00,06:23:00,,,2,2,,151,,,11,,2,1-2-3,
,4,FR2145,B738,EIDWJ,KUN,STN,06:40:00,06:43:00,,,3,3,,170,,,22,,6,1-2-3,
,5,SWN7842,ATP,SEMAJ,CGN,KUN,06:55:00,06:36:00,,,8,8,,,,,,,,,
,6,SWN7843,ATP,SEMAJ,KUN,CGN,08:00:00,07:33:00,,,8,8,,,,,,,,,
,7,SRN6912,AT72,SPSPA,CGN,KUN,07:20:00,07:43:00,,,9,9,,,,,,,,,
,8,SRN6912,AT72,SPSPA,KUN,RIX,08:05:00,08:34:00,,,9,9,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,09:37:00,,,9,9,,,,,,,,,
,10,W98122,A320,GWUKF,LTN,KUN,10:40:00,10:10:00,,,4,2,,,157,,30,,,,
,11,W98121,A320,GWUKF,KUN,LTN,11:05:00,11:03:00,,,4,2,,172,,,65,,5,4-5-6,
,12,W68148,A320,HALPN,TKU,KUN,11:10:00,10:45:00,,,7,4,,,104,,54,,,,
,13,W68147,A320,HALPN,KUN,TKU,11:40:00,11:35:00,,,7,4,,83,,,37,,1,4-5-6,
,14,W68152,A321,HALTC,EIN,KUN,12:50:00,12:33:00,,,4,4,,,190,,44,,,,
,15,W68151,A321,HALTC,KUN,EIN,13:25:00,13:25:00,,,4,4,,211,,,58,,2,4-5-6,
,16,FR2144,B738,EIDWJ,STN,KUN,12:20:00,12:11:00,,,2,2,,,174,WCHR,46,,,,
,17,FR3467,B738,EIDWJ,KUN,LTN,15:55:00,17:06:00,46/0107,,2,2,,161,,WCHR,24,,6,1-2-3,
,18,FR7620,B738,EIEVA,CPH,KUN,14:40:00,14:19:00,,,5,5,,,167,,24,,,,
,19,FR2972,B738,EIEVA,KUN,DUB,15:40:00,15:41:00,,,5,5,,177,,WCHR,62,,5,1-2-3,
,20,W68144,A320,HALPO,BGO,KUN,18:20:00,18:08:00,,,4,4,,,161,,75,,,,
,21,W68143,A320,HALPO,KUN,BGO,18:50:00,19:03:00,,,4,4,,126,,,55,,2,4-5-6,
,22,W68142,A320,HALPZ,AES,KUN,19:45:00,19:41:00,,,7,4,,,176,,75,,,,
,23,W68141,A320,HALPZ,KUN,AES,20:30:00,20:36:00,,,7,4,,135,,,50,,2,4-5-6,
,24,KLJ1166,B735,LYKLJ,RNS,KUN,19:50:00,19:01:00,,,6,10,,,,,,,,,
,25,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:30:00,,,9,9,,,,,,,,,
,26,FR8681,B738,EIDPF,BRS,KUN,20:30:00,20:18:00,,,4,2,,,182,WCHS,65,,,,
,27,FR8682,B738,EIDPF,KUN,BRS,20:55:00,21:12:00,,,4,2,,180,,,53,,5,1-2-3,
,28,SRN6911,AT72,SPSPA,RIX,KUN,21:15:00,20:42:00,,,9,9,,,,,,,,,
,29,SRN6911,AT72,SPSPA,KUN,CGN,21:50:00,21:51:00,,,9,9,,,,,,,,,
,30,FR3466,B738,EIDWJ,LTN,KUN,21:50:00,22:54:00,,,2,5,,,178,,35,,,,
,31,FR2971,B738,EIEVA,DUB,KUN,22:30:00,22:10:00,,,5,2,,,182,,51,,,,
,,,,,,,,,,,,,,1566,1737,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
