Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.11.03,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,E170,,WAW,KUN,00:45:00,CNL,,,,,,,,,,,,,,,
,2,LO796,E170,,KUN,WAW,06:15:00,CNL,,,,,,,,,,,,,,,
,3,FR7621,B738,EIEVW,KUN,CPH,06:20:00,06:28:00,,,2,2,,163,,,34,,2,1-2-3,,,
,4,FR2836,B738,EIEXE,KUN,TLV,07:30:00,08:15:00,,,4,4,,175,,,57,,5,1-2-3,,,
,5,W98122,A320,GWUKF,LTN,KUN,10:30:00,10:04:00,,,4,4,,,164,,55,,,,,,
,6,W98121,A320,GWUKF,KUN,LTN,11:05:00,11:01:00,,,4,4,,170,,,109,,5,4-5-6,,,
,7,W68146,A320,HALYD,SVG,KUN,12:15:00,11:53:00,,,4,4,,,155,,68,,,,,,
,8,W68145,A320,HALYD,KUN,SVG,12:45:00,12:45:00,,,4,4,,170,,,112,,2,4-5-6,,,
,9,RRR2180,A332,ZZ330,EGVN,KUN,14:35:00,13:33:00,,,16R,3L,,,98,,,,,,,,
,10,RRR2181,A332,ZZ330,KUN,EGVN,17:35:00,16:25:00,,,16R,3L,,,,,,,,,,,
,11,FR7620,B738,EIDWR,CPH,KUN,14:40:00,14:16:00,,,2,4,,,179,,32,,,,,,
,12,FR3467,B738,EIDWR,KUN,LTN,15:30:00,15:41:00,,,2,4,,169,,,43,,6,1-2-3,,,
,13,FR2144,B738,EIDYW,STN,KUN,15:00:00,14:56:00,,,4,7,,,170,,47,,,,,,
,14,FR2145,B738,EIDYW,KUN,STN,15:25:00,15:39:00,,,4,7,,167,,,54,,5,1-2-3,,,
,15,FR2837,B738,EIEXE,TLV,KUN,16:40:00,17:20:00,,,4,4,,,164,,,,,,,,
,16,FR1794,B738,EIEXE,KUN,MXP,17:30:00,18:03:00,93/0046,,4,4,,171,,,33,,2,1-2-3,,,
,17,FR9098,B738,EIGDY,ALC,KUN,19:00:00,18:42:00,,,4,4,,,184,,90,,,,,,
,18,FR9099,B738,EIGDY,KUN,ALC,19:25:00,19:31:00,,,4,4,,181,,,76,,1,1-2-3,,,
,19,FR3466,B738,EIDWR,LTN,KUN,21:25:00,21:34:00,,,2,2,,,183,,66,,,,,,
,20,FR1793,B738,EIEXE,MXP,KUN,23:05:00,23:19:00,,,4,4,,,178,,56,,,,,,
,,,,,,,,,,,,,,1366,1475,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
