Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.11.27,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,SPLDH,WAW,KUN,00:45:00,00:45:00,,,7,7,,29,,,21,,,,,
,2,LO796,E170,SPLDH,KUN,WAW,06:15:00,6:30,,,7,7,,39,,,20,,1,8-9,,
,3,FR7621,B738,EIFOR,KUN,CPH,06:20:00,06:24:00,,,2,2,,176,,,22,,2,1-2-3,,
,4,SWN7842,ATP,SEMAJ,CGN,KUN,06:55:00,06:45:00,,,8,7,,,,,,54,,,,
,5,SWN7843,ATP,SEMAJ,KUN,CGN,08:00:00,07:32:00,,,8,7,,,,,,,,,,
,6,FR2836,B738,EIEVA,KUN,TLV,08:00:00,08:05:00,,,5,5,,101,,,14,,5,1-2-3,,
,7,SRN6912,AT72,SPSPA,EDDK,KUN,08:00:00,07:48:00,,,9,9,,,,,,,,,,
,8,SRN6912,AT72,SPSPA,KUN,RIX,08:45:00,08:45:00,,,9,9,,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:50:00,09:45:00,,,9,9,,,,,,,,,,
,10,SPNCG,SR22,SPNCG,WAW,KUN,08:40:00,08:40:00,,,2,2,,,,,,,,,,
,11,SPNCG,SR22,SPNCG,KUN,WAW,09:00:00,09:15:00,,,2,2,,,,,,,,,,
,12,W68146,A320,HALWS,SVG,KUN,12:15:00,11:50:00,,,4,4,,,129,,33,,,,,
,13,W68145,A320,HALWS,KUN,SVG,12:45:00,12:48:00,,,4,4,,142,,WCHC,72,,2,4-5-6,,
,14,ESAIR,G150,ESAIR,RIX,KUN,11:42:00,11:42:00,,,6,6,,,,,,,,,,
,15,ESAIR,G150,ESAIR,KUN,RIX,13:00:00,13:03:00,,,6,6,,,,,,,,,,
,16,FR7620,B738,EIEVH,CPH,KUN,14:40:00,14:40:00,,,4,4,,,167,,15,,,,,
,17,FR3467,B738,EIEVH,KUN,LTN,15:55:00,15:53:00,,,4,4,,171,,WCHS;WCHR,30,,5,1-2-3,,
,18,FR2837,B738,EIEVA,TLV,KUN,16:40:00,16:40:00,,,4,4,,,175,,65,,,,,
,19,FR1794,B738,EIEVA,KUN,MXP,17:30:00,17:32:00,,,4,4,,104,,,18,,2,1-2-3,,
,20,FR9098,B738,EIEPA,ALC,KUN,19:00:00,18:37:00,,,4,4,,,179,WCHR,59,,,,,
,21,FR9099,B738,EIEPA,KUN,ALC,19:25:00,19:44:00,,,4,4,,169,,,60,,2,1-2-3,,
,22,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:30:00,,,9,9,,,,,,,,,,
,23,AFL7640,A321,VQBHM,OSR,KUN,19:19:00,19:19:00,,,18,18,,,,,,,,,,
,24,SRN6911,AT72,SPSPA,RIX,KUN,21:15:00,20:55:00,,,9,9,,,,,,,,,,
,25,SRN6911,AT72,SPSPA,KUN,EDDK,21:50:00,22:00:00,,,9,9,,,,,,,,,,
,26,FR3466,B738,EIEVH,LTN,KUN,21:25:00,21:29:00,,,2,2,,,177,,54,,,,,
,27,FR1793,B738,EIEVA,MXP,KUN,23:05:00,22:42:00,,,5,5,,,173,,61,,,,,
,,,,,,,,,,,,,,931,1000,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,19:53:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0C/1P/41Y,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
