Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.10.24,,,,,,,,,,,Renatas Venckūnas,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,DH8D,SPEQE,WAW,KUN,00:45:00,01:02:00,,,4,4,,,46,,15,,,,,
,2,LO796,DH8D,SPEQE,KUN,WAW,06:15:00,06:20:00,,,4,4,,41,,,9,,1,8-9,,
,3,FR7621,B738,EIDWE,KUN,CPH,06:25:00,06:26:00,,,3,3,,181,,,14,,2,1-2-3,,
,4,FR2145,B738,EIENF,KUN,LTN,07:30:00,07:37:00,,,2,2,,186,,,23,,5,1-2-3,,
,5,SPMIS,PA44,SPMIS,EPBC,KUN,08:15:00,08:22:00,,,2,2,,,,,,,,,,
,6,SPMIS,PA44,SPMIS,KUN,EPBC,08:45:00,09:04:00,,,2,2,,,,,,,,,,
,7,SRN6912,AT72,SPSPA,CGN,KUN,08:00:00,08:18:00,,,9,9,,,,,,,,,,
,8,SRN6912,AT72,SPSPA,KUN,RIX,08:45:00,09:20:00,,,9,9,,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,09:55:00,,,9,9,,,,,,,,,,
,10,W68122,A320,GWUKB,LTN,KUN,10:40:00,10;22,,,4,4,,,177,,22,,,,,
,11,W68121,A320,GWUKB,KUN,LTN,11:10:00,11:14:00,,,4,4,,174,,,66,,5,4-5-6,,
,12,DHTAN,G2,DHTAN,EPSY,KUN,11:28:00,11:28:00,,,1,1,,,,,,,,,,
,13,DHTAN,G2,DHTAN,KUN,EETU,12:10:00,12:10:00,,,1,1,,,,,,,,,,
,14,FR9098,B738,EIESZ,ALC,KUN,12:40:00,12:56:00,,,4,4,,,178,,38,,,,,
,15,FR9099,B738,EIESZ,KUN,ALC,13:05:00,13:44:00,,,4,4,,175,,WCHS,55,,2,1-2-3,,
,16,BAF615,135BJ,CE01,HAM,KUN,13:40:00,13:28:00,,,6,6,,,14,,12,,,,,
,17,BAF615,135BJ,CE01,KUN,EBMB,13:40:00,14:48:00,,,6,6,,,,,,,,,,
,18,FR2144,B738,EIENF,LTN,KUN,13:35:00,13:39:00,,,2,2,,,166,,22,,,,,
,19,FR2972,B738,EIENF,KUN,DUB,15:30:00,15:37:00,,,2,2,,176,,WCHR;WCHS,47,,5,1-2-3,,
,20,FR7620,B738,EIDAN,CPH,KUN,14:35:00,14:33:00,,,4,4,,,152,,18,,,,,
,21,FR2747,B738,EIDAN,KUN,STN,17:10:00,17:09:00,,,4,4,,174,,,15,,5,1-2-3,,
,22,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:41:00,,,9,9,,,,,,,,,,
,23,SRN6911,AT72,SPSPA,RIX,KUN,21:15:00,20:31:00,,,9,8,,,,,,,,,,
,24,SRN6811,AT72,SPSPA,KUN,CGN,21:50:00,21:50:00,,,9,8,,,,,,,,,,
,25,FR2971,B738,EIENF,DUB,KUN,22:15:00,21:57:00,,,3,3,,,186,,15,,,,,
,26,FR2746,B738,EIDAN,STN,KUN,23:00:00,23:07:00,,,2,2,,,170,,12,,,,,
,,,,,,,,,,,,,,1107,1089,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
