Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.11.25,,,,,,,,,,,Renatas Venckūnas,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,FR1334,B738,EIFOR,KUN,NAP,06:15:00,06:22:00,,,2,2,,171,,,37,,2,1-2-3,,
,2,FR2145,B738,EIDWE,KUN,STN,07:10:00,07:25:00,,,3,3,,175,,,31,,5,1-2-3,,
,3,W98122,A320,GWUKF,LTN,KUN,10:40:00,10:00:00,,,4,4,,,159,,51,,,,,
,4,W98121,A320,GWUKF,KUN,LTN,11:10:00,11:04:00,,,4,4,,171,,,61,,5,4-5-6,,
,5,FR2971,B738,EIFIL,DUB,KUN,11:35:00,11:49:00,,,2,7,,,183,2* WCHR,50,,,,,
,6,FR2972,B738,EIFIL,KUN,DUB,12:00:00,12:50:00,,,2,7,,188,,,74,,5,1-2-3,,
,7,FR1333,B738,EIFOR,NAP,KUN,12:10:00,12:08:00,,,8,8,,,174,,64,,,,,
,8,FR2618,B738,EIEXE,KUN,VDA,13:00:00,13:04:00,,,5,5,,171,,,58,,5,1-2-3,,
,9,FR2144,B738,EIDWJ,STN,KUN,12:50:00,13:15:00,,,2,2,,,170,,25,,,,,
,10,BEL9902,A320,OOTCV,KUN,BRU,14:46:00,14:46:00,,,16R,16R,,,,,,,,,,
,11,FR3467,B738,EIDWJ,KUN,LTN,15:30:00,15:35:00,,,2,2,,172,,,48,,6,1-2-3,,
,12,FR3466,B738,EIDWJ,LTN,KUN,21:25:00,21:08:00,,,2,2,,,169,WCHR,57,,,,,
,13,FR2619,B738,EIEXE,VDA,KUN,22:40:00,22:24:00,,,5,5,,,176,WCHS,80,,,,,
,,,,,,,,,,,,,,1048,1031,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
