Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.10.30,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,B737,LYLGC,WAW,KUN,00:45:00,00:25:00,,,4,4,,,51,,19,,,,,
,2,LO796,B737,LYLGC,KUN,WAW,06:15:00,06:17:00,,,4,4,,31,,,8,,1,8-9,,
,3,FR7621,B738,EIENH,KUN,CPH,06:20:00,06:27:00,,,2,2,,176,,,16,,2,1-2-3,,
,4,FR2836,B738,EIDWE,KUN,TLV,08:00:00,08:06:00,,,3,3,,172,,,37,,5,1-2-3,,
,5,SRN6912,AT72,SPSPD,EDDK,KUN,08:00:00,07:54:00,,,9,9,,,,,,,,,,
,6,SRN6912,AT72,SPSPD,KUN,RIX,08:45:00,08:52:00,,,9,9,,,,,,,,,,
,7,SAR802,SF34,SPKPN,WAW,KUN,09:50:00,09:45:00,,,9,9,,,,,,,,,,
,8,W68146,A320,HALWS,SVG,KUN,12:15:00,12:59:00,,,4,4,,,130,,35,,,,,
,9,W68145,A320,HALWS,KUN,SVG,12:45:00,13:39:00,93/0049,,4,4,,168,,,76,,1,4-5-6,,
,,LYKAL,TB21,LYKAL,KUN,EYKS,14:00:00,14:05:00,,,13,13,,,,,,,,,,
,10,FR7620,B738,EIENH,CPH,KUN,14:40:00,14:19:00,,,4,4,,,172,,4,,,,,
,11,JET5,C25B,SERMB,KUN,BMA,15:00:00,14:50:00,,,6,6,,3,,,,,,,,
,12,FR3467,B738,EIENH,KUN,LTN,15:30:00,15:33:00,,,4,4,,180,,,25,,1,1-2-3,,
,13,FR2837,B738,EIDWE,TLV,KUN,16:40:00,16:59:00,,,4,4,,,158,,37,,,,,
,14,FR1794,B738,EIDWE,KUN,MXP,17:30:00,17:40:00,,,4,4,,137,,,11,,2,1-2-3,,
,15,FR9098,B738,EIDAF,ALC,KUN,19:00:00,18:17:00,,,4,4,,,179,,75,,,,,
,16,FR9099,B738,EIDAF,KUN,ALC,19:25:00,19:31:00,,,4,4,,182,,,45,,2,1-2-3,,
,17,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:20:00,,,9,9,,,,,,,,,,
,18,SRN6911,AT72,SPSPD,RIX,KUN,21:15:00,20:53:00,,,9,9,,,,,,,,,,
,19,SRN6911,AT72,SPSPD,KUN,EDDK,21:50:00,21:55:00,,,9,9,,,,,,,,,,
,20,FR3466,B738,EIENH,LTN,KUN,21:25:00,21:08:00,,,2,2,,,169,BDGR,20,,,,,
,21,FR1793,B738,EIDWE,MXP,KUN,23:05:00,23:11:00,,,4,4,,,177,,14,,,,,
,,,,,,,,,,,,,,1049,1036,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
