Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.11.14,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,DH8D,SPLDH,WAW,KUN,00:45:00,00:23:00,,,7,7,,,22,,5,,,,,
,2,LO796,DH8D,SPLDH,KUN,WAW,06:15:00,06:22:00,,,7,7,,54,,,55,,1,8-9,,
,3,FR7621,B738,EIDWE,KUN,CPH,06:20:00,06:25:00,,,2,2,,165,,,24,,2,1-2-3,,
,4,FR2145,B738,EIENF,KUN,STN,06:40:00,06:47:00,,,5,5,,180,,WCHR*2;WCHC*2;WCHS,44,,5,1-2-3,,
,5,SRN6912,AT72,SPSPA,EDDK,KUN,08:00:00,08:00:00,,,9,9,,,,,,,,,,
,6,SRN6912,AT72,SPSPA,KUN,RIX,08:45:00,09:03:00,,,9,9,,,,,,,,,,
,7,DECMR,SR22T,DECMR,EPWA,KUN,08:30:00,08:54:00,,,2,2,,,,,,,,,,
,8,DECMR,SR22T,DECMR,KUN,EPBC,09:00:00,10:03:00,,,2,2,,,,,,,,,,
,,ABR042P,AT43,LYRUM,KUN,EDDK,10:00:00,10:20:00,,,14,14,,,,,,,,,,
,10,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,10:12:00,,,9,9,,,,,,,,,,
,11,W98122,A320,GWUKD,LTN,KUN,10:30:00,10:09:00,,,4,4,,,160,,53,,,,,
,12,W98121,A320,GWUKD,KUN,LTN,11:05:00,11:05:00,,,4,4,,175,,,70,,5,4-5-6,,
,13,FR2144,B738,EIEKD,STN,KUN,12:20:00,12:34:00,,,8,8,,,182,WCHS/WCBD;WCHR,69,,,,,
,14,FR2972,B738,EIDWC,KUN,DUB,15:40:00,15:45:00,,,3,3,,185,,WCHR*3,68,,5,1-2-3,,
,,VOR06,DA62,GDVOR,PLQ,KUN,14:20:00,14:32:00,,,13,13,,,,,,,,,,
,15,FR7620,B738,EIDWE,CPH,KUN,14:40:00,15:27:00,,,7,5,,,169,,19,,,,,
,16,FR3467,B738,EIEKD,KUN,LTN,15:55:00,16:00:00,,,7,8,,180,,,36,,5,1-2-3,,
,17,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:29:00,,,9,9,,,,,,,,,,
,18,SRN6911,AT72,SPSPA,RIX,KUN,21:15:00,20:41:00,,,9,9,,,,,,,,,,
,19,SRN6811,AT72,SPSPA,KUN,EDDK,21:50:00,21:49:00,,,9,9,,,,,,,,,,
,20,FR3466,B738,EIEKD,LTN,KUN,21:25:00,21:42:00,,,2,2,,,182,WCHR*2,57,,,,,
,21,FR2971,B738,EIDWC,DUB,KUN,22:30:00,22:28:00,,,5,3,,,180,WCHC;WCHR,55,,,,,
,,,,,,,,,,,,,,939,895,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
