Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.12.03,,,,,,,Renatas Venckūnas,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,DH8D,SPEQD,WAW,KUN,00:45:00,00:57:00,,,7,7,,,52,,15,,,,
,2,LO796,DH8D,SPEQD,KUN,WAW,06:15:00,06:20:00,,,7,7,,66,,,37,,1,8-9,
,3,FR7621,B738,EIEXF,KUN,CPH,06:20:00,06:23:00,,,4,4,,172,,WCHS; WCHR,63,,2,1-2-3,
,4,FR2145,B738,EIEVL,KUN,STN,06:40:00,06:57:00,81/0005,,2,2,,180,,,18,,5,1-2-3,
,5,SRN6912,AT72,SPSPA,CGN,KUN,07:30:00,06:48:00,,,9,9,,,,,,,,,
,6,SRN6912,AT72,SPSPA,KUN,RIX,08:05:00,07:38:00,,,9,9,,,,,,,,,
,7,SAR802,SF34,SPKPN,WAW,KUN,09:20:00,09:37:00,,,9,9,,,,,,,,,
,8,W98122,A320,GWUKE,LTN,KUN,10:30:00,10:32:00,,,4,4,,,165,MAAS/ WCHS,46,,,,
,9,W98121,A320,GWUKE,KUN,LTN,11:05:00,11:45:00,,,4,4,,164,,,59,,5,4-5-6,
,10,W68148,A320,HALWN,TKU,KUN,11:10:00,10:50:00,,,7,7,,,44,,24,,,,
,11,W68147,A320,HALWN,KUN,TKU,11:40:00,11:55:00,,,7,7,,102,,,30,,2,4-5-6,
,12,FR2144,B738,EIEVL,STN,KUN,12:20:00,12:30:00,,,2,2,,,174,,30,,,,
,13,FR3467,B738,EIEVL,KUN,LTN,15:55:00,16:09:00,,,2,2,,168,,,36,,6,1-2-3,
,14,W68152,A321,HALXS,EIN,KUN,12:50:00,13:12:00,,,4,4,,,184,,45,,,,
,15,W68151,A321,HALXS,KUN,EIN,13:25:00,14:04:00,,,4,4,,195,,,59,,2,4-5-6,
,16,FR7620,B738,EIEXF,CPH,KUN,14:13:00,14:13:00,,,7,7,,,180,,29,,,,
,17,FR2972,B738,EIEXF,KUN,DUB,15:40:00,15:48:00,,,7,7,,187,,,71,,5,1-2-3,
,18,W68144,A320,HALPO,BGO,KUN,18:20:00,18:12:00,,,4,4,,,138,,54,,,,
,19,W68143,A320,HALPO,KUN,BGO,18:50:00,19:07:00,,,4,4,,133,,,66,,2,4-5-6,
,20,FR7949,B738,EIFOJ,BLQ,KUN,19:30:00,19:05:00,,,7,7,,,156,,38,,,,
,21,FR7950,B738,EIFOJ,KUN,BLQ,19:55:00,20:05:00,,,7,7,,150,,,19,,2,1-2-3,
,22,W68142,A320,HALYL,AES,KUN,19:45:00,19:40:00,,,4,4,,,150,,78,,,,
,23,W68141,A320,HALYL,KUN,AES,20:30:00,20:36:00,,,4,4,,144,,,81,,2,4-5-6,
,24,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:25:00,,,9,9,,,,,,,,,
,25,FR8681,B738,EIEBM,BRS,KUN,20:30:00,20:02:00,,,2,2,,,179,,51,,,,
,26,FR8682,B738,EIEBM,KUN,BRS,20:55:00,20:54:00,,,2,2,,179,,,69,,5,1-2-3,
,27,SRN6911,AT72,SPSPA,RIX,KUN,21:05:00,20:46:00,,,9,9,,,,,,,,,
,28,SRN6911,AT72,SPSPA,KUN,CGN,21:50:00,21:51:00,,,9,9,,,,,,,,,
,29,FR3466,B738,EIEVL,LTN,KUN,21:25:00,21:45:00,,,2,2,,,174,WCHC/ WCMP,32,,,,
,30,FR2971,B738,EIEXF,DUB,KUN,22:30:00,22:18:00,,,5,5,,,184,,48,,,,
,,,,,,,,,,,,,,1840,1780,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
