Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.10.09,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,CRJ9,ESACI,WAW,KUN,00:45:00,00:21:00,,,4,4,,,31,,12,,,,,
,2,LO796,CRJ9,ESACI,KUN,WAW,06:15:00,06:40:00,41/0015,,4,4,,40,,,15,,1,8-9,,
,3,FR7621,B738,EIFTA,KUN,CPH,06:25:00,06:31:00,,,2,2,,171,,,20,,2,1-2-3,,
,4,FR2145,B738,EIENH,KUN,LTN,07:30:00,07:41:00,81/0007,,3,3,,168,,WCHR/WCMP,19,,5,1-2-3,,
,5,SRN6912,AT72,SPSPD,EDDK,KUN,08:00:00,07:44:00,,,9,9,,,,,,,,,,
,6,SRN6912,AT72,SPSPD,KUN,RIX,08:45:00,08:45:00,,,9,9,,,,,,,,,,
,7,SPNST,PA34,SPNST,EPBC,KUN,08:00:00,07:54:00,,,2,2,,,,,,,,,,
,8,SPNST,PA34,SPNST,KUN,EPBC,08:30:00,08:28:00,,,2,2,,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:50:00,09:44:00,,,9,9,,,,,,,,,,
,10,W68122,A320,GWUKE,LTN,KUN,10:40:00,10:30:00,,,4,4,,,154,,35,,,,,
,11,W68121,A320,GWUKE,KUN,LTN,11:10:00,11:40:00,81/0020,,4,4,,180,,,43,,5,4-5-6,,
,12,FR2886,B738,EIDPN,EDI,KUN,11:30:00,10:57:00,,,2,2,,,176,,18,,,,,
,13,FR2885,B738,EIDPN,KUN,EDI,11:55:00,11:57:00,,,2,2,,178,,WCHS/WCMP,44,,6,1-2-3,,
,14,BAF628,E35L,CE-02,EBMB,KUN,11:30:00,11:21:00,,,13,13,,,17,,,,,,,
,15,BAF628,E35L,CE-02,KUN,EBMB,12:30:00,12:20:00,,,13,13,,1,,,,,,,,
,16,W68146,A320,HALWS,SVG,KUN,11:35:00,11:16:00,,,7,7,,,157,,60,,,,,
,17,W68145,A320,HALWS,KUN,SVG,12:05:00,12:25:00,,,7,7,,148,,,68,,1,4-5-6,,
,18,FR2746,B738,EIGDA,STN,KUN,11:35:00,11:35:00,,,5,5,,,165,WCHR;WCHS,10,,,,,
,19,FR2747,B738,EIGDA,KUN,STN,12:00:00,12:27:00,93/0005,99/0018,5,5,,168,,WCHS,19,,5,1-2-3,,
,20,FR2144,B738,EIENH,LTN,KUN,13:35:00,13:36:00,,,7,7,,,170,,24,,,,,
,21,FR7885,B738,EIENH,KUN,PMI,15:30:00,15:35:00,,,7,7,,176,,BIKE;SPRT,39,,1,1-2-3,,
,22,FR7620,B738,EIFTA,CPH,KUN,14:35:00,14:28:00,,,2,2,,,172,WCHS,11,,,,,
,23,FR8682,B738,EIFTA,KUN,BRS,15:25:00,15:32:00,,,2,2,,177,,WCHC,28,,5,1-2-3,,
,24,LYBAS,SIRA,LYBAS,KUN,EYKS,16:43:00,16:43:00,,,12,12,,,,,,,,,,
,,LYBAS,SIRA,LYBAS,EYKS,KUN,20:53:00,20:52:00,,,12,12,,,,,,,,,,
,25,FR9098,B738,EIEKB,ALC,KUN,20:15:00,20:46:00,,,4,4,,,185,WCHR;WCHS,38,,,,,
,26,FR9099,B738,EIEKB,KUN,ALC,20:40:00,21:30:00,,,4,4,,181,,WCHR,35,,2,1-2-3,,
,27,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:30:00,,,9,9,,,,,,,,,,
,28,SRN6911,AT72,SPSPD,RIX,KUN,21:15:00,20:43:00,,,9,9,,,,,,,,,,
,29,SRN6911,AT72,SPSPD,KUN,EDDK,21:50:00,21;56,,,9,9,,,,,,,,,,
,31,FR8681,B738,EIFTA,BRS,KUN,21:35:00,21:33:00,,,2,2,,165,,WCHS/WCMP,33,,,,,
,31,FR7886,B738,EIENH,PMI,KUN,23:20:00,00:29:00,,,4,3,,,170,,36,,,,,
,,,,,,,,,,,,,,1753,1397,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
