Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.12.01,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,E170,SPLDE,WAW,KUN,00:45:00,00:27:00,,,8,8,,,52,,17,,,,,,
,2,LO796,E170,SPLDE,KUN,WAW,06:15:00,06:32:00,,,8,8,,41,,,24,,1,8-9,,,
,3,FR7621,B738,EIEVA,KUN,CPH,06:20:00,06:24:00,,,2,2,,166,,,20,,2,1-2-3,,,
,4,FR2836,B738,EIEXF,KUN,TLV,08:00:00,08:05:00,,,3,3,,110,,,31,,5,1-2-3,,,
,,LO9902,E170,SPLDI,KUN,WAW,08:30:00,08:57:00,75/0007,,7,7,,,,,,,,,,,
,5,OS1475,A320,OELBW,VIE,KUN,08:50:00,08:55:00,,,14,14,,,,,,,,,,,
,6,W98122,A320,GWUKE,LTN,KUN,10:30:00,10:05:00,,,4,4,,,177,,59,,,,,,
,7,W98121,A320,GWUKE,KUN,LTN,11:05:00,11:03:00,,,4,4,,160,,,64,,5,4-5-6,,,
,8,W68146,A320,HALPN,SVG,KUN,12:15:00,11:54:00,,,4,4,,,162,WCHC,55,,,,,,
,9,W68145,A320,HALPN,KUN,SVG,12:45:00,12:48:00,,,4,4,,166,,,80,,2,4-5-6,,,
,,KTB410,L410,LYAVA,KUN,TLL,13:00:00,13:00:00,,,23,23,,,,,,,,,,,
,10,OS1492,A320,OELBJ,KUN,VIE,14:00:00,10:16:00,,,16R,16R,,,,,,,,,,,
,11,FR7620,B738,EIEVA,CPH,KUN,14:40:00,14:18:00,,,2,2,,,175,,18,,,,,,
,12,FR3467,B738,EIEVA,KUN,LTN,15:30:00,15:37:00,,,2,2,,172,,WCHS,30,,6,1-2-3,,,
,13,FR2144,B738,EIDHE,STN,KUN,15:00:00,14:56:00,,,4,4,,,186,,45,,,,,,
,14,FR2145,B738,EIDHE,KUN,STN,15:25:00,15:48:00,66/0010,80/0004,4,4,,177,,,22,,5,1-2-3,,,
,15,YUPNK,C56X,YUPNK,BUD,KUN,16:30:00,16:38:00,,,6,13,,,1,,,,,,,,
,16,FR2837,B738,EIEXF,TLV,KUN,16:40:00,16:42:00,,,4,4,,,174,,,,,,,,
,17,FR1794,B738,EIEXF,KUN,MXP,17:30:00,17:32:00,,,4,4,,155,,,27,,2,1-2-3,,,
,18,FR9098,B738,EIEKC,ALC,KUN,19:00:00,18:44:00,,,4,4,,,177,,,,,,,,
,19,FR9099,B738,EIEKC,KUN,ALC,19:25:00,19:34:00,,,4,4,,180,,,47,,1,1-2-3,,,
,20,FR3466,B738,EIEVA,LTN,KUN,21:25:00,21:00:00,,,2,2,,,183,,48,,,,,,
,21,FR1793,B738,EIEXF,MXP,KUN,23:05:00,22:42:00,,,3,3,,,160,WCHC/WCMP,27,,,,,,
,,,,,,,,,,,,,,1327,1447,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
