Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.11.29,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,SPLDE,WAW,KUN,00:45:00,00:33:00,,,7,7,,,51,,12,,,,,
,2,LO796,E170,SPLDE,KUN,WAW,06:15:00,06:30:00,,,7,7,,41,,,41,,1,8-9,,
,3,FR7621,B738,EIEVA,KUN,CPH,06:20:00,06:28:00,,,5,5,,145,,,13,,2,1-2-3,,
,4,FR1794,B738,EIEVH,KUN,MXP,07:05:00,07:07:00,,,3,2,,155,,WCHC/WCMP,34,,2,1-2-3,,
,5,SWN7842,ATP,SEMAJ,CGN,KUN,06:55:00,06:22:00,,,7,8,,,,,,,,,,
,6,SWN7843,ATP,SEMAJ,KUN,CGN,08:00:00,07:30:00,,,7,8,,,,,,,,,,
,7,SRN6912,AT72,SPSPA,CGN,KUN,07:30:00,07:59:00,,,9,9,,,,,,,,,,
,8,SRN6912,AT72,SPSPA,KUN,RIX,08:45:00,09:02:00,,,9,9,,,,,,,,,,
,9,SPNCG,SR22T,SPNCG,WAW,KUN,08:40:00,08:20:00,,,3,2,,,,,,,,,,
,10,SPNCG,SR22T,SPNCG,KUN,POZ,09:00:00,08:58:00,,,3,2,,,,,,,,,,
,11,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,09:33:00,,,9,9,,,,,,,,,,
,12,BAF621,E135BJ,CE02,EBMB,KUN,10:00:00,09:53:00,,,13,13,,,9,,,,,,,
,13,BAF621,E135BJ,CE02,KUN,EYSA,14:00:00,13:51:00,,,13,13,,11,,,,,,,,
,14,FR9113,B738,EIEGD,PFO,KUN,10:25:00,10;05,,,3,2,,,167,,51,,,,,
,15,FR9114,B738,EIEGD,KUN,PFO,10:50:00,11:07:00,,,3,2,,150,,,59,,5,1-2-3,,
,16,W98122,A320,GWUKF,LTN,KUN,10:30:00,10:00:00,,,4,4,,,174,,65,,,,,
,17,W98121,A320,GWUKF,KUN,LTN,11:05:00,11;04,,,4,4,,178,,,51,,5,4-5-6,,
,18,FR7949,B738,EIGJD,BLQ,KUN,11:25:00,11;24,,,7,7,,,114,,26,,,,,
,19,FR7950,B738,EIGJD,KUN,BLQ,11:50:00,12:02:00,,,7,7,,140,,,22,,2,1-2-3,,
,20,FR1793,B738,EIEVH,MXP,KUN,12:40:00,12:31:00,,,4,4,,,152,,42,,,,,
,21,FR2618,B738,EIEVH,KUN,VDA,13:30:00,13;34,,,2,4,,161,,,51,,5,1-2-3,,
,22,FR7620,B738,EIEVA,CPH,KUN,14:40:00,14;32,,,2,4,,,153,,50,,,,,
,23,FR3467,B738,EIEVA,KUN,LTN,15:55:00,15:57:00,,,4,4,,177,,WCHC,33,,5,1-2-3,,
,24,FR1333,B738,EIEBA,NAP,KUN,16:50:00,16:47:00,,,4,4,,,171,,46,,,,,
,25,FR1334,B738,EIEBA,KUN,NAP,17:15:00,17:33:00,,,4,4,,170,,,21,,2,1-2-3,,
,26,FR8822,B738,EIGDY,SNN,KUN,20:50:00,20:37:00,,,4,4,,,178,WCHR,63,,,,,
,27,FR8821,B738,EIGDY,KUN,SNN,21:15:00,21:21:00,,,4,4,,178,,WCHS,74,,5,1-2-3,,
,28,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:24:00,,,9,9,,,,,,,,,,
,29,SRN6911,AT72,SPSPA,RIX,KUN,21:05:00,21:05:00,,,9,9,,,,,,,,,,
,30,SRN6911,AT72,SPSPA,KUN,CGN,21:50:00,22:42:00,,,9,9,,,,,,,,,,
,31,FR3466,B738,EIDWJ,LTN,KUN,21:50:00,21:43:00,,,3,2,,,177,,40,,,,,
,32,FR2619,B738,EIEVH,VDA,KUN,23:10:00,22:39:00,,,5,5,,,175,,87,,,,,
,33,HAT4369,B734,9HGTC,KUN,MXP,00:00:00,23:56:00,,,6,6,,25,,,25,,,,,
,,,,,,,,,,,,,,1531,1521,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
