Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.12.13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,SPEQL,WAW,KUN,00:45:00,00:43:00,,,7,7,,,41,,8,,,,,
,2,LO796,E170,SPEQL,KUN,WAW,06:15:00,06:20:00,,,7,7,,32,,,10,,1,8-9,,
,3,FR7621,B738,EIEBH,KUN,CPH,06:20:00,06:22:00,,,2,7,,62,,,8,,2,1-2-3,,
,4,FR1794,B738,EIEVL,KUN,MXP,07:05:00,07:12:00,,,5,5,,120,,,11,,2,1-2-3,,
,5,SWN7842,ATP,SEMAJ,CGN,KUN,06:55:00,06:36:00,,,8,8,,,,,,,,,,
,6,SWN7843,ATP,SEMAJ,KUN,CGN,08:00:00,07:42:00,,,8,8,,,,,,,,,,
,7,GWI6900,A319,DAGWD,DUS,KUN,09:46:00,10:23:00,,,12,12,,,,,,,,,,
,8,SRN6912,AT72,SPSPD,CGN,KUN,07:30:00,08:46:00,,,9,9,,,,,,,,,,
,9,SRN6912,AT72,SPSPD,KUN,RIX,08:45:00,09:41:00,,,9,9,,,,,,,,,,
,10,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,09:50:00,,,9,9,,,,,,,,,,
,11,FR9113,B738,EIEGD,PFO,KUN,10:25:00,09:53:00,,,2,2,,,160,,46,,,,,
,12,FR9114,B738,EIEGD,KUN,PFO,10:50:00,10:51:00,,,2,2,,165,,,52,,5,1-2-3,,
,13,W98122,A320,GWUKE,LTN,KUN,10:30:00,10;10,,,4,7,,,171,,30,,,,,
,14,W98121,A320,GWUKE,KUN,LTN,11:05:00,11:14:00,,,4,7,,85,,,35,,5,4-5-6,,
,15,FR7949,B738,EIDWY,BLQ,KUN,11:25:00,11:04:00,,,7,4,,,148,,18,,,,,
,16,FR7950,B738,EIDWY,KUN,BLQ,11:50:00,11:53:00,,,7,4,,158,,,40,,2,1-2-3,,
,17,LAF103,MI8,103,EVGA,KUN,11:20:00,11:20:00,,,13,13,,,,,,,,,,
,18,KLJ106,B735,LYKLJ,KUN,MUC,12:00:00,11:56:00,,,6,6,,54,,,31,,,,,
,19,DTR903,AT72,OYRUD,CPH,KUN,13:03:00,13:03:00,,,14,14,,,,,,,,,,
,20,FR1793,B738,EIEVL,MXP,KUN,12:40:00,12:20:00,,,4,4,,,99,,11,,,,,
,21,FR2618,B738,EIEVL,KUN,VDA,13:30:00,13:31:00,,,4,4,,162,,,40,,5,1-2-3,,
,22,FR7620,B738,EIEBH,CPH,KUN,14:40:00,14:28:00,,,4,4,,,168,,43,,,,,
,23,FR3467,B738,EIEBH,KUN,LTN,15:55:00,15:58:00,,,4,4,,98,,WCHS,14,,5,1-2-3,,
,24,FR1333,B738,EIEBO,NAP,KUN,16:50:00,16:45:00,,,4,4,,,159,,23,,,,,
,25,FR1334,B738,EIEBO,KUN,NAP,17:15:00,17:41:00,,,4,4,,181,,,23,,2,1-2-3,,
,26,BAF666,C130,CH10,KUN,LUX,17:00:00,18:47:00,,,16R,16R,,,,,,,,,,
,27,LYARS,PA30,LYARS,EYKS,KUN,16:40:00,16:31:00,,,13,13,,,,,,,,,,
,28,FR8822,B738,EIEKB,SNN,KUN,20:50:00,20"47,,,4,4,,,182,,98,,,,,
,29,FR8821,B738,EIEKB,KUN,SNN,21:15:00,21:58:00,,,4,4,,165,,WCHR;WCHR/WCMP,84,,5,1-2-3,,
,30,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:26:00,,,9,9,,,,,,,,,,
,31,SRN6911,AT72,SPSPD,RIX,KUN,21:05:00,20:57:00,,,9,9,,,,,,,,,,
,32,SRN6911,AT72,SPSPD,KUN,CGN,21:50:00,22:25:00,,,9,9,,,,,,,,,,
,33,FR3466,B738,EIEBH,LTN,KUN,21:50:00,21:37:00,,,2,3,,,173,WCHR,54,,,,,
,34,FR2619,B738,EIEVL,VDA,KUN,23:10:00,22:28:00,,,5,2,,,156,,37,,,,,
,,,,,,,,,,,,,,1282,1457,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
