Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.10.19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,DH8D,SPEQE,WAW,KUN,00:45:00,00:56:00,,,4,4,,,49,,5,,,,
,2,LO796,DH8D,SPEQE,KUN,WAW,06:15:00,06:19:00,,,4,4,,27,,,12,,1,8-9,
,3,FR7621,B738,EIDWP,KUN,CPH,06:25:00,06:31:00,,,2,2,,183,,,15,,2,1-2-3,
,4,FR2145,B738,EIFOF,KUN,LTN,07:30:00,07:36:00,,,3,3,,170,,WCHR,18,,5,1-2-3,
,5,SRN6912,AT72,SPSPA,EDDK,KUN,07:20:00,08:05:00,,,9,9,,,,,,,,,
,6,SRN6912,AT72,SPSPA,KUN,EVRA,08:05:00,09:00:00,,,9,9,,,,,,,,,
,7,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,10:34:00,,,9,9,,,,,,,,,
,8,W68122,A320,GWUKD,LTN,KUN,10:40:00,10:32:00,,,4,4,,,183,,37,,,,
,9,W68121,A320,GWUKD,KUN,LTN,11:10:00,11:20:00,,,4,4,,182,,WCHR,28,,5,4-5-6,
,10,FR4480,B738,EIENA,GRO,KUN,12:15:00,12:21:00,,,7,7,,,179,WCHC/WCMP,30,,,,
,11,FR4481,B738,EIENA,KUN,GRO,12:40:00,13:24:00,93/0010,81/0027,7,7,,172,,,26,,2,1-2-3,
,12,W68152,A321,HALXS,EIN,KUN,12:50:00,12:49:00,,,4,4,,,218,,47,,,,
,13,LYBAS,SIRA,LYBAS,KUN,EYKS,13:01:00,13:01:00,,,12,12,,,,,,,,,
,14,W68151,A321,HALXS,KUN,EIN,13:25:00,13:32:00,,,4,4,,198,,,66,,2,4-5-6,
,15,FR2144,B738,EIFOF,LTN,KUN,13:35:00,13:41:00,,,2,2,,,182,,22,,,,
,16,FR2972,B738,EIFOF,KUN,DUB,15:40:00,15:47:00,,,2,2,,182,,WCHS,24,,5,1-2-3,
,17,W68144,A320,HALPT,BGO,KUN,14:25:00,14:16:00,,,4,4,,,168,,62,,,,
,18,W68143,A320,HALPT,KUN,BGO,14:55:00,15:03:00,,,4,4,,171,,,65,,2,4-5-6,
,19,FR7620,B738,EIDWP,CPH,KUN,14:40:00,14:38:00,,,7,7,,,182,,19,,,,
,20,FR2747,B738,EIDWP,KUN,STN,17:10:00,17:12:00,,,7,7,,169,,,28,,5,1-2-3,
,21,BAF615,E145,CE03,EDDF,KUN,17:45:00,17:48:00,,,6,10,,,16,,16,,,,
,22,BAF615,E145,CE03,KUN,EYVI,18:45:00,18:32:00,,,6,10,,,,,,,,,
,23,W68142,A321,HALXF,AES,KUN,18:55:00,18:41:00,,,4,4,,,199,,114,,,,
,24,W68141,A321,HALXF,KUN,AES,19:30:00,19:39:00,,,4,4,,198,,,,,2,4-5-6,
,25,LYDFW,M20P,LYDFW,EYKS,KUN,20:21:00,20:21:00,,,12,12,,,,,,,,,
,26,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:29:00,,,9,9,,,,,,,,,
,27,SRN6911,AT72,SPSPA,EVRA,KUN,21:15:00,20:35:00,,,9,9,,,,,,,,,
,28,SRN6911,AT72,SPSPA,KUN,EDDK,21:50:00,21:52:00,,,9,9,,,,,,,,,
,29,FR2971,B738,EIENF,DUB,KUN,22:55:00,22:43:00,,,3,3,,,188,WCHS,12,,,,
,30,FR2746,B738,EIDWP,STN,KUN,23:00:00,22:55:00,,,2,2,,,173,,17,,,,
,,,,,,,,,,,,,,1652,1737,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
