Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistė,,,,,,,
,,,,,2018.11.17,,,,,,,,,,,Ugnė Kilimaitė,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,E170,SPEQL,WAW,KUN,00:45:00,00:42:00,,,7,7,,,63,,20,,,,,,
,2,LO796,E170,SPEQL,KUN,WAW,06:15:00,06:23:00,,,7,7,,33,,,11,,1,8-9,,,
,3,FR7621,B738,EIEXF,KUN,CPH,06:20:00,06:26:00,,,4,4,,186,,,23,,2,1-2-3,,,
,4,FR2836,B738,EIEVX,KUN,TLV,08:00:00,08:06:00,,,2,2,,159,,,49,,5,1-2-3,,,
,5,W98122,A320,GWUKB,LTN,KUN,10:30:00,10:48:00,,,4,4,,,169,WCHS,34,,,,,,
,6,W98121,A320,GWUKB,KUN,LTN,11:05:00,11:39:00,93/0024,,4,4,,175,,WCHS;WCHR,76,,5,4-5-6,,,
,7,EW348AM,YK52,EW348AM,UMMI,KUN,11:50:00,11:48:00,,,1,1,,,,,,,,,,,
,8,EW051AM,YK52,EW051AM,UMMI,KUN,11:50:00,11:48:00,,,1,1,,,,,,,,,,,
,9,EW348AM,YK52,EW348AM,KUN,EYPR,13:00:00,13:00:00,,,1,1,,,,,,,,,,,
,10,EW051AM,YK52,EW051AM,KUN,EYPR,13:00:00,13:00:00,,,1,1,,,,,,,,,,,
,11,AOJ81R,E135,OEIRK,OZH,KUN,12:10:00,12:12:00,,,6,6,,,10,,,,,,,,
,12,AOJ81R,E135,OEIRK,KUN,KBP,12:45:00,13:46:00,,,6,6,,,,,,,,,,,
,13,W68146,A320,HALWS,SVG,KUN,12:15:00,12:12:00,,,4,4,,,152,,74,,,,,,
,14,W68145,A320,HALWS,KUN,SVG,12:45:00,13:00:00,93/0001,62/0005,4,4,,166,,,81,,2,4-5-6,,,
,15,RA07333,AS50,RA07333,EPBC,KUN,13:05:00,13:05:00,,,3,3,,,,,,,,,,,
,16,RA07333,AS50,RA07333,KUN,EVRA,14:30:00,14:30:00,,,3,3,,,,,,,,,,,
,17,FR7620,B738,EIEXF,CPH,KUN,14:40:00,14:21:00,,,7,7,,,181,,25,,,,,,
,18,FR3467,B738,EIEXF,KUN,LTN,15:30:00,15:35:00,,,7,7,,172,,,39,,6,1-2-3,,,
,19,FR2144,B738,EIDYW,STN,KUN,15:00:00,15:45:00,,,2,2,,,166,,52,,,,,,
,20,FR2145,B738,EIDYW,KUN,STN,15:25:00,16:54:00,99/0032,93/0051,2,2,,177,,,33,,5,1-2-3,,,
,21,FR2837,B738,EIEVX,TLV,KUN,16:40:00,17:27:00,,,4,8,,,165,,63,,,,,,
,22,FR1794,B738,EIDWE,KUN,MXP,17:30:00,17:30:00,,,4,5,,155,,,8,,2,1-2-3,,,
,23,FR9098,B738,EIFZW,ALC,KUN,19:00:00,18:56:00,,,4,4,,,181,,69,,,,,,
,24,FR9099,B738,EIFZW,KUN,ALC,19:25:00,19:41:00,80/0004,,4,4,,173,,,64,,1,1-2-3,,,
,25,LYKAL,TB21,LYKAL,EYKS,KUN,19:15:00,19:13:00,,,13,13,,,,,,,,,,,
,26,FR3466,B738,EIEXF,LTN,KUN,21:25:00,21:37:00,,,2,2,,,176,WCHR,47,,,,,,
,27,FR1793,B738,EIDWE,MXP,KUN,23:05:00,22:55:00,,,4,4,,,176,,24,,,,,,
,,,,,,,,,,,,,,1396,1439,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
