Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.10.27,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,E170,SPEQI,WAW,KUN,00:45:00,00:28:00,,,4,4,,,57,,9,,,,,,
,2,LO796,E170,SPEQI,KUN,WAW,06:15:00,06:10:00,,,4,4,,54,,2*WCHR,22,,1,8-9,,,
,3,FR7621,B738,EIDWE,KUN,CPH,06:25:00,06:27:00,,,3,3,,181,,WCHR,6,,2,1-2-3,,,
,4,FR2145,B738,EIENH,KUN,LTN,07:30:00,07:33:00,,,2,2,,174,,WCHS,25,,5,1-2-3,,,
,5,W68122,A320,GWUKE,LTN,KUN,10:40:00,10:11:00,,,4,4,,,159,,24,,,,,,
,6,W68121,A320,GWUKE,KUN,LTN,11:50:00,11:06:00,,,4,4,,179,,,41,,5,4-5-6,,,
,7,FR2886,B738,EIEVT,EDI,KUN,11:30:00,11:05:00,,,2,2,,,171,WCHC/WCMP;WCHR*2,33,,,,,,
,8,FR2885,B738,EIEVT,KUN,EDI,11:55:00,12:05:00,,,2,2,,183,,2*WCHR,50,,6,1-2-3,,,
,9,W68146,A320,HALYF,SVG,KUN,11:35:00,11:09:00,,,7,7,,,149,,61,,,,,,
,10,W68145,A320,HALYF,KUN,SVG,12:05:00,12:02:00,,,7,7,,169,,,80,,1,4-5-6,,,
,11,FR8681,B738,EIDYF,BRS,KUN,11:50:00,11:29:00,,,4,4,,,182,,34,,,,,,
,12,FR8682,B738,EIDYF,KUN,BRS,12:15:00,12:16:00,,,4,4,,178,,,35,,5,1-2-3,,,
,13,FR2144,B738,EIENH,LTN,KUN,13:35:00,13:04:00,,,7,7,,,175,,20,,,,,,
,14,KLJ103,B735,LYKLJ,ATH,KUN,15:55:00,15:45:00,,,8,8,,,46,,,,,,,,
,15,KLJ1167,B735,LYKLJ,KUN,VNO,16:55:00,16:08:00,,,8,8,,,,,,,,,,,
,16,FR2422,B738,EIENH,KUN,RHO,16:15:00,16;18,,,7,7,,29,,,8,,2,1-2-3,,,
,17,FR7620,B738,EIDWE,CPH,KUN,14:35:00,14:17:00,,,4,4,,,170,,14,,,,,,
,18,FR2747,B738,EIDWE,KUN,STN,17:10:00,17:13:00,,,4,4,,181,,,24,,5,1-2-3,,,
,19,FR9098,B738,EIEMB,ALC,KUN,20:15:00,19:45:00,,,4,4,,,182,,36,,,,,,
,20,FR9099,B738,EIEMB,KUN,ALC,20:40:00,20:48:00,,,4,4,,169,,,38,,1,1-2-3,,,
,21,FR7886,B738,EIDHA,PMI,KUN,20:50:00,23:29:00,,,7,7,,,184,,56,,,,,,
,22,FR7885,B738,EIDHA,KUN,PMI,21:15:00,21:29:00,,,7,7,,159,,WCHR,26,,2,1-2-3,,,
,23,FR2746,B738,EIDWE,STN,KUN,23:00:00,23:00:00,,,3,2,,,171,,12,,,,,,
,24,FR2423,B738,EIENH,RHO,KUN,23:15:00,23:03:00,,,2,4,,,182,,39,,,,,,
,,,,,,,,,,,,,,1656,1828,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
