Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.12.10,,,,,,,Renatas Venckūnas,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,DH8D,SPEQD,WAW,KUN,00:45:00,00:34:00,,,7,7,,,59,,25,,,,
,2,LO796,DH8D,SPEQD,KUN,WAW,06:15:00,06:23:00,,,7,7,,49,,1 STAFF,,,1,8-9,
,3,FR7621,B738,EIEBH,KUN,CPH,06:20:00,06:30:00,,,5,5,,177,,,37,,2,1-2-3,
,4,FR2145,B738,EIEXF,KUN,STN,06:40:00,06:43:00,,,3,3,,157,,,29,,5,1-2-3,
,5,KTB112,L410,LYAVT,KUN,VNO,06:50:00,06:46:00,,,23,23,,,,,,,,,
,6,SRN6912,AT72,SPSPD,CGN,KUN,07:30:00,07:19:00,,,9,9,,,,,,,,,
,7,SRN6912,AT72,SPSPD,KUN,RIX,08:05:00,08:23:00,,,9,9,,,,,,,,,
,8,SAR802,SF34,SPKPN,WAW,KUN,09:20:00,09:43:00,,,9,9,,,,,,,,,
,9,W98122,A320,GWUKA,LTN,KUN,10:30:00,10:11:00,,,4,4,,,179,,51,,,,
,10,W98121,A320,GWUKA,KUN,LTN,11:05:00,11:07:00,,,4,4,,134,,,29,,5,4-5-6,
,11,W68148,A320,HALWK,TKU,KUN,11:10:00,11:00:00,,,7,7,,,64,,26,,,,
,12,W68147,A320,HALWK,KUN,TKU,11:40:00,11:46:00,,,7,7,,133,,,54,,2,4-5-6,
,13,FR2144,B738,EIEXF,STN,KUN,12:20:00,12:03:00,,,3,3,,,161,WCHR*2,25,,,,
,14,FR3467,B738,EIEBH,KUN,LTN,15:55:00,16:00:00,,,7,7,,157,,WCHS,42,,6,1-2-3,
,15,W68152,A321,HALXS,EIN,KUN,12:50:00,12:45:00,,,4,4,,,190,,56,,,,
,16,W68151,A321,HALXS,KUN,EIN,13:25:00,13:40:00,,,4,4,,200,,,47,,2,4-5-6,
,17,FR7620,B738,EIEBH,CPH,KUN,14:40:00,14:40:00,,,7,7,,,174,,27,,,,
,18,FR2972,B738,EIEXF,KUN,DUB,15:40:00,15:53:00,,,3,3,,186,,WCHR,67,,5,1-2-3,
,19,W68144,A320,HALPS,BGO,KUN,18:20:00,18:04:00,,,4,4,,,139,,68,,,,
,20,W68143,A320,HALPS,KUN,BGO,18:50:00,18:50:00,,,4,4,,111,,,69,,2,4-5-6,
,21,FR7949,B738,EIFRL,BLQ,KUN,19:30:00,19:13:00,,,7,4,,,160,,34,,,,
,22,FR7950,B738,EIFRL,KUN,BLQ,19:55:00,19:58:00,,,7,4,,159,,,29,,2,1-2-3,
,23,W68142,A320,HALWN,AES,KUN,19:45:00,19:43:00,,,4,7,,,122,,53,,,,
,24,W68141,A320,HALWN,KUN,AES,20:30:00,20:40:00,,,4,7,,105,,,55,,2,4-5-6,
,25,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:37:00,,,9,9,,,,,,,,,
,26,FR8681,B738,EIDAC,BRS,KUN,20:30:00,20:25:00,,,3,4,,,182,WCHS,61,,,,
,27,FR8682,B738,EIDAC,KUN,BRS,20:55:00,21:17:00,,,3,4,,146,,,69,,5,1-2-3,
,28,SRN6911,AT72,SPSPD,RIX,KUN,21:05:00,20:57:00,,,9,9,,,,,,,,,
,29,SRN6911,AT72,SPSPD,KUN,CGN,21:50:00,22:17:00,,,9,9,,,,,,,,,
,30,FR3466,B738,EIEBH,LTN,KUN,21:25:00,21:39:00,,,3,2,,,177,WCHS,54,,,,
,31,FR2971,B738,EIEXF,DUB,KUN,22:30:00,22:24:00,,,5,5,,,183,DEAF,48,,,,
,,,,,,,,,,,,,,1714,1790,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
