Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.11.21,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,SPLDI,WAW,KUN,00:45:00,00:30:00,,,7,7,,,43,,4,,,,,
,2,LO796,E170,SPLDI,KUN,WAW,06:15:00,06:22:00,,,7,7,,29,,,,,1,8-9,,
,3,FR7621,B738,EIEVX,KUN,CPH,06:20:00,06:28:00,,,5,5,,155,,,21,,2,1-2-3,,
,4,FR2145,B738,EIDWE,KUN,STN,06:40:00,06:51:00,,,2,2,,173,,WCHR;WCHS,32,,5,1-2-3,,
,5,SWN7842,ATP,SEMAJ,CGN,KUN,06:55:00,06:37:00,,,7,7,,,,,,,,,,
,6,SWN7843,ATP,SEMAJ,KUN,CGN,08:00:00,07:38:00,,,7,7,,,,,,,,,,
,7,SRN6912,AT72,SPSPA,EDDK,KUN,08:00:00,07:53:00,,,9,9,,,,,,,,,,
,8,SRN6912,AT72,SPSPA,KUN,RIX,08:45:00,08:49:00,,,9,9,,,,,,,,,,
,9,DECMR,SR22T,DECMR,WAW,KUN,08:40:00,08:46:00,,,2,2,,,,,,57,,,,
,10,DECMR,SR22T,DECMR,KUN,WAW,09:00:00,09:42:00,,,2,2,,,,,,,,,,
,11,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,09:45:00,,,9,9,,,,,,,,,,
,12,W98122,A320,GWUKB,LTN,KUN,10:30:00,10:12:00,,,4,7,,,180,BLND/DEAF/MAAS,57,,,,,
,13,W98121,A320,GWUKB,KUN,LTN,11:05:00,11:11:00,,,4,7,,184,,,61,,5,4-5-6,,
,14,ABF1B,C25A,OHSWI,KUN,VNO,11:00:00,10:58:00,,,6,6,,,,,,,,,,
,15,ABF2B,C25A,OHSWJ,KUN,VNO,11:00:00,10:56:00,,,3,3,,,,,,,,,,
,16,FR2144,B738,EIDWE,STN,KUN,12:20:00,12:25:00,,,2,2,,,169,WCHC,,,,,,
,17,FR2972,B738,EIEXE,KUN,DUB,15:40:00,15:43:00,,,7,4,,183,,WCHS,59,,5,1-2-3,,
,18,FR7620,B738,EIEVX,CPH,KUN,14:40:00,14:19:00,,,8,8,,,166,,19,,,,,
,19,LYKAL,TB21,LYKAL,KUN,EYKS,14:00:00,14:20:00,,,21,21,,,,,,,,,,
,20,FR3467,B738,EIDWE,KUN,LTN,15:55:00,15:59:00,,,2,2,,170,,WCHR,39,,5,1-2-3,,
,21,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:27:00,,,9,9,,,,,,,,,,
,22,SRN6911,AT72,SPSPA,RIX,KUN,21:15:00,20:47:00,,,9,9,,,,,,,,,,
,23,SRN6811,AT72,SPSPA,KUN,EDDK,21:50:00,21:50:00,,,9,9,,,,,,,,,,
,24,FR3466,B738,EIDWE,LTN,KUN,21:25:00,21:38:00,,,2,2,,,173,,26,,,,,
,25,FR2971,B738,EIEXE,DUB,KUN,22:30:00,22:33:00,,,5,5,,,187,WCHR,50,,,,,
,26,RLU5551,CRJ100,VQBND,VKO,KUN,01:30:00,02:15:00,,,6,6,,,23,,,,,,,
,27,RLU5552,CRJ100,VQBND,KUN,VKO,03:30:00,03:22:00,,,6,6,,,,,,,,,,
,,,,,,,,,,,,,,894,941,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
