Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.12.12,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,DH8D,OYYBY,WAW,KUN,00:45:00,00:47:00,,,7,7,,,16,,7,,,,,
,2,LO796,DH8D,OYYBY,KUN,WAW,06:15:00,06:24:00,,,7,7,,36,,,7,,1,8-9,,
,3,FR7621,B738,EIEVL,KUN,CPH,06:20:00,06:26:00,,,5,5,,82,,,17,,2,1-2-3,,
,4,FR2145,B738,EIEBH,KUN,STN,06:40:00,06:54:00,,,2,2,,107,,WCHR;BIKEX4,29,,5,1-2-3,,
,5,SWN7842,ATP,SEMAJ,CGN,KUN,06:55:00,06:51:00,,,9,7,,,,,,,,,,
,6,SWN7843,ATP,SEMAJ,KUN,CGN,08:00:00,08:08:00,,,9,7,,,,,,,,,,
,7,SRN6912,AT72,SPSPA,CGN,KUN,08:00:00,08:05:00,,,9,9,,,,,,,,,,
,8,SRN6912,AT72,SPSPA,KUN,RIX,08:45:00,09:00:00,,,9,9,,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,10:30:00,,,9,9,,,,,,,,,,
,10,W98122,A320,GWUKE,LTN,KUN,10:30:00,10:17:00,,,4,4,,,177,,64,,,,,
,11,W98121,A320,GWUKE,KUN,LTN,11:05:00,11:08:00,,,4,4,,96,,,18,,5,4-5-6,,
,12,FR2144,B738,EIEBH,STN,KUN,12:20:00,12:26:00,,,2,2,,,164,,42,,,,,
,13,FR2972,B738,EIEVL,KUN,DUB,15:40:00,15:58:00,,,5,5,,179,,WCHRX3,79,,5,1-2-3,,
,14,FR7620,B738,EIEVL,CPH,KUN,14:40:00,15:07:00,,,5,5,,,163,,33,,,,,
,15,FR3467,B738,EIEBH,KUN,LTN,15:55:00,16:06:00,,,2,2,,96,,WCHRX2,18,,5,1-2-3,,
,16,BAF666,C130,CH03,ORB,KUN,18:00:00,18:50:00,,,16R,16R,,,,,,,,,,
,17,KTB410,L410,LYAVA,TLL,KUN,20:35:00,20:38:00,,,23,23,,,,,,,,,,
,18,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:29:00,,,9,9,,,,,,,,,,
,19,SRN6911,AT72,SPSPA,RIX,KUN,21:15:00,20:43:00,,,9,9,,,,,,,,,,
,20,SRN6811,AT72,SPSPA,KUN,CGN,21:50:00,21:42:00,,,9,9,,,,,,,,,,
,21,FR3466,B738,EIEBH,LTN,KUN,21:25:00,21:45:00,,,2,2,,,175,,51,,,,,
,22,FR2971,B738,EIEVL,DUB,KUN,22:30:00,22:32:00,,,5,5,,,189,,62,,,,,
,,,,,,,,,,,,,,596,884,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
