Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.11.24,,,,,,,,,,,Renatas Venckūnas,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,E175,SPLIK,WAW,KUN,00:45:00,00:34:00,,,7,7,,,67,,20,,,,,,
,2,LO796,E175,SPLIK,KUN,WAW,06:15:00,06:29:00,,,7,7,,29,,,13,,1,8-9,,,
,3,FR7621,B738,EIDWE,KUN,CPH,06:20:00,6;49,,,5,5,,172,,WCHR,22,,2,1-2-3,,,
,4,FR2836,B738,EIEXE,KUN,TLV,08:00:00,08:21:00,,,8,8,,141,,,54,,5,1-2-3,,,
,5,W98122,A320,GWUKB,LTN,KUN,10:30:00,09:59:00,,,4,4,,,175,,58,,,,,,
,6,W98121,A320,GWUKB,KUN,LTN,11:05:00,11:20:00,,,4,4,,172,,,49,,5,4-5-6,,,
,7,W68146,A320,HALYD,SVG,KUN,12:15:00,11:58:00,,,4,4,,,171,,70,,,,,,
,8,W68145,A320,HALYD,KUN,SVG,12:45:00,13:04:00,,,4,4,,152,,,59,,2,4-5-6,,,
,9,FR7620,B738,EIDWJ,CPH,KUN,14:40:00,14;42,,,3,3,,,177,,23,,,,,,
,10,FR3467,B738,EIFOR,KUN,LTN,15:30:00,15:57:00,,,3,2,,182,,,34,,6,1-2-3,,,
,11,FR2144,B738,EIFOC,STN,KUN,15:00:00,15;00,,,4,5,,,173,WCHR,49,,,,,,
,12,FR2145,B738,EIFOC,KUN,STN,15:25:00,16:13:00,,,4,5,,169,,WCHS,35,,5,1-2-3,,,
,13,FR2837,B738,EIEXE,TLV,KUN,16:40:00,17:00:00,,,4,4,,,178,,53,,,,,,
,14,FR1794,B738,EIEXE,KUN,MXP,17:30:00,17:43:00,,,4,4,,130,,,24,,2,1-2-3,,,
,15,FR9098,B738,EIENH,ALC,KUN,19:00:00,18:20:00,,,4,4,,,188,,65,,,,,,
,16,FR9099,B738,EIENH,KUN,ALC,19:25:00,19:38:00,,,4,4,,184,,,41,,1,1-2-3,,,
,17,FR3466,B738,EIFOR,LTN,KUN,21:25:00,21:34:00,,,3,2,,,181,,35,,,,,,
,18,FR1793,B738,EIEXE,MXP,KUN,23:05:00,22:53:00,,,4,5,,,176,,29,,,,,,
,,,,,,,,,,,,,,1331,1486,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
