Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.10.25,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,DH8D,SPEQI,WAW,KUN,00:45:00,00:50:00,,,4,4,,,50,,15,,,,,
,2,LO796,DH8D,SPEQI,KUN,WAW,06:15:00,06:24:00,,,4,4,,49,,,9,,1,8-9,,
,3,KLJ1150,B735,LYKLJ,STN,KUN,03:25:00,03:08:00,,,8,8,,,,,,,,,,
,4,KLJ102,B735,LYKLJ,KUN,ATH,11:00:00,11:16:00,,,8,8,,41,,,29,,1,4,,
,5,FR7621,B738,EIDAN,KUN,CPH,06:25:00,06:47:00,62/0005,41/0010,2,2,,179,,,18,,2,1-2-3,,
,6,FR2145,B738,EIENF,KUN,LTN,07:30:00,07:35:00,,,3,3,,180,,,16,,5,1-2-3,,
,7,SRN6912,AT72,SPSPA,CGN,KUN,07:30:00,08:06:00,,,9,9,,,,,,,,,,
,8,SRN6912,AT72,SPSPA,KUN,RIX,08:45:00,09:19:00,,,9,9,,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,09:40:00,,,9,9,,,,,,,,,,
,10,FR9113,B738,EIEVG,PFO,KUN,10:25:00,10:25:00,,,2,2,,,173,,46,,,,,
,11,FR9114,B738,EIEVG,KUN,PFO,10:50:00,11:28:00,,,2,2,,173,,,43,,6,1-2-3,,
,12,FR1234,B738,EIENH,KUN,KUN,10:30:00,11:09:00,,,10,10,,,,,,,,,,
,13,W68122,A320,GWUKF,LTN,KUN,10:40:00,10:30:00,,,4,4,,,169,,26,,,,,
,14,W68121,A320,GWUKF,KUN,LTN,11:10:00,11:26:00,,,4,4,,176,,,40,,5,5-6,,
,15,FR1234,B738,EIENH,KUN,KUN,11:30:00,12:45:00,,,5,5,,,,,,,,,,
,16,FR3964,B738,EIENH,KUN,RMI,14:25:00,14:32:00,,,5,5,,155,,,20,,2,1-2-3,,
,17,W68146,A320,HALPZ,SVG,KUN,11:35:00,11:19:00,,,7,7,,,151,,41,,,,,
,18,W68145,A320,HALPZ,KUN,SVG,12:05:00,12:09:00,,,7,7,,157,,,44,,1,4-5-6,,
,19,FR2144,B738,EIENF,LTN,KUN,13:35:00,13:09:00,,,6,3,,,161,,24,,,,,
,20,FR7620,B738,EIDAN,CPH,KUN,14:35:00,15:06:00,,,2,2,,,174,,14,,,,,
,21,FR8821,B738,EIDAN,KUN,SNN,16:00:00,16:00:00,,,2,2,,182,,WCHS;WCHR,48,,6,1-2-3,,
,22,FR3728,B738,EIDPD,BOJ,KUN,16:15:00,16:23:00,,,4,4,,,167,,34,,,,,
,23,FR3729,B738,EIDPD,KUN,BOJ,16:40:00,17:05:00,,,4,4,,35,,,8,,5,1-2-3,,
,24,FR1333,B738,EIFIB,NAP,KUN,16:55:00,17:18:00,,,7,4,,,176,,22,,,,,
,25,FR1334,B738,EIFIB,KUN,NAP,17:20:00,17:58:00,93/0026,80/0004,7,4,,166,,WCHC/WCMP,23,,2,1-2-3,,
,26,FR3965,B738,EIENH,RMI,KUN,19:50:00,19:53:00,,,3,3,,,170,,29,,,,,
,27,GWI6900,A320,DAEWP,DUS,KUN,19:15:00,19:15:00,,,15,15,,,,,,,,,,
,28,FR9098,B738,EIGSG,ALC,KUN,20:15:00,20:34:00,,,4,4,,,190,,75,,,,,
,29,FR9099,B738,EIGSG,KUN,ALC,20:40:00,2127,,,4,4,,181,,,45,,2,1-2-3,,
,30,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:36:00,,,9,9,,,,,,,,,,
,,GWI6901,A320,DAEWO,KUN,EDDL,21:43:00,21:43:00,,,16R,16R,,,,,,,,,,
,31,SRN6911,AT72,SPSPA,RIX,KUN,21:05:00,20:39:00,,,9,9,,,,,,,,,,
,32,SRN6911,AT72,SPSPA,KUN,CGN,21:50:00,21:47:00,,,9,9,,,,,,,,,,
,33,FR8822,B738,EIDAN,SNN,KUN,23:10:00,22:48:00,,,2,2,,,180,,31,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
