Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.10.29,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E75S,SPLDK,WAW,KUN,00:45:00,00:22:00,,,7,7,,,49,,20,,,,
,2,LO796,E75S,SPLDK,KUN,WAW,06:15:00,06:27:00,,,7,7,,59,,,57,,1,8-9,
,3,FR7621,B738,EIENH,KUN,CPH,06:20:00,06:42:00,,,4,4,,180,,WCHR,16,,2,1-2-3,
,4,FR2145,B738,EIDWE,KUN,STN,06:40:00,06:58:00,,,2,2,,175,,WCHS,10,,5,1-2-3,
,5,SRN6912,AT72,SPSPD,CGN,KUN,07:30:00,06:44:00,,,9,9,,,,,,,,,
,6,SRN6912,AT72,SPSPD,KUN,RIX,08:05:00,07:41:00,,,9,9,,,,,,,,,
,7,KTB105,L410,LYAVT,KUN,VNO,07:00:00,07:01:00,,,10,10,,,,,,,,,
,8,SAR802,SF34,SPKPN,WAW,KUN,09:20:00,09:18:00,,,9,9,,,,,,,,,
,9,W98122,A320,GWUKE,LTN,KUN,10:30:00,10:05:00,,,4,4,,,176,,49,,,,
,10,W98121,A320,GWUKE,KUN,LTN,11:05:00,11:26:00,,,4,4,,170,,,40,,5,4-5-6,
,11,FR2144,B738,EIDWE,STN,KUN,12:20:00,12:53:00,,,2,2,,,179,WCHR,11,,,,
,12,FR3467,B738,EIDWE,KUN,LTN,15:30:00,15:32:00,,,2,2,,180,,,26,,5,1-2-3,
,13,W68152,A321,HALXW,EIN,KUN,12:50:00,12:38:00,,,7,7,,,213,,40,,,,
,14,W68151,A321,HALXW,KUN,EIN,13:25:00,13:30:00,,,7,7,,219,,,96,,2,4-5-6,
,15,FR7620,B738,EIENH,CPH,KUN,14:40:00,14:50:00,,,4,5,,,184,WCHR*2,22,,,,
,16,FR2972,B738,EIENH,KUN,DUB,15:40:00,15:41:00,,,4,5,,189,,,17,,6,1-2-3,
,17,W68144,A320,HALWX,BGO,KUN,18:20:00,18:04:00,,,4,4,,,148,,31,,,,
,18,W68143,A320,HALWX,KUN,BGO,18:50:00,18:58:00,,,4,4,,174,,,85,,2,4-5-6,
,19,FR7949,B738,EIENY,BLQ,KUN,19:30:00,19:51:00,,,7,7,,,172,WCHR,24,,,,
,20,FR7950,B738,EIENY,KUN,BLQ,19:55:00,20:36:00,93/0026,81/0009,7,7,,140,,,23,,2,1-2-3,
,21,W68142,A321,HALPZ,AES,KUN,19:45:00,19:40:00,,,4,4,,,150,,81,,,,
,22,W68141,A321,HALPZ,KUN,AES,20:30:00,20:34:00,,,4,4,,173,,,,,2,4-5-6,
,23,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:30:00,,,9,9,,,,,,,,,
,24,FR8681,B738,EIDYF,BRS,KUN,20:30:00,20:12:00,,,2,2,,,184,,26,,,,
,25,FR8682,B738,EIDYF,KUN,BRS,20:55:00,20:06:00,,,2,2,,180,,,47,,5,1-2-3,
,26,JET5,C25B,SERMB,LJMB,KUN,19:55:00,18:56:00,,,6,6,,,3,,,,,,
,27,SRN6911,AT72,SPSPD,RIX,KUN,21:05:00,21:10:00,,,9,9,,,,,,,,,
,28,SRN6911,AT72,SPSPD,KUN,CGN,21:50:00,22;08,,,9,9,,,,,,,,,
,29,FR3466,B738,EIDWE,LTN,KUN,21:25:00,21:04:00,,,2,2,,,175,,21,,,,
,30,FR2971,B738,EIENH,DUB,KUN,22:30:00,22:18:00,,,4,3,,,188,WCHR*2,22,,,,
,,,,,,,,,,,,,,1839,1821,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
