Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.11.04,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,FR1334,B738,EIDWR,KUN,NAP,06:15:00,06:34:00,,,2,2,,184,,,59,,2,1-2-3,,
,2,FR2618,B738,EIEXE,KUN,VDA,11:00:00,11:20:00,,,4,4,,176,,,57,,6,1-2-3,,
,3,SN9901,A320,OOTCV,BRU,KUN,10:10:00,11:11:00,,,11,11,,,,,,,,,,
,4,W98122,A320,GWUKD,LTN,KUN,10:40:00,10:21:00,,,7,7,,,174,,63,,,,,
,5,W98121,A320,GWUKD,KUN,LTN,11:10:00,11:15:00,,,7,7,,163,,WCHR,64,,5,4-5-6,,
,6,FR2971,B738,EIDWC,DUB,KUN,11:35:00,11:30:00,,,5,5,,,185,WCHS;WCHS/WCMP,39,,,,,
,7,FR2972,B738,EIDWC,KUN,DUB,12:00:00,12:13:00,,,5,5,,186,,2*WCHR,64,,5,1-2-3,,
,8,SN9902,A320,OOTCH,KUN,BRU,12:10:00,13:08:00,,,10,10,,,,,,,,,,
,9,FR1333,B738,EIDWR,NAP,KUN,12:10:00,12:02:00,,,2,2,,,184,,60,,,,,
,10,FR2144,B738,EIGJN,STN,KUN,12:15:00,12:05:00,,,4,4,,,181,,59,,,,,
,11,FR2145,B738,EIGJN,KUN,STN,12:45:00,12:49:00,,,4,4,,174,,2XWCR,44,,5,1-2-3,,
,12,FR3467,B738,EIDWR,KUN,LTN,15:30:00,15:30:00,,,2,2,,175,,,53,,5,1-2-3,,
,13,FR2619,B738,EIEXE,VDA,KUN,20:40:00,21:24:00,,,2,2,,,183,WCHC/WCMP;WCHR,89,,,,,
,14,FR3466,B738,EIDWR,LTN,KUN,21:25:00,21:11:00,,,3,4,,,177,,46,,,,,
,,,,,,,,,,,,,,1058,1084,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
