Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistė,,,,,,,
,,,,,2018.12.08,,,,,,,,,,,Ugnė Kilimaitė,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,DH8D,SPEQH,WAW,KUN,00:45:00,00:58:00,,,7,7,,,46,,22,,,,,,
,2,LO796,DH8D,SPEQH,KUN,WAW,06:15:00,06:20:00,,,7,7,,51,,,21,,1,8-9,,,
,3,FR7621,B738,EIFTO,KUN,CPH,06:20:00,06:24:00,,,5,5,,175,,WCHR; WCHS,21,,2,1-2-3,,,
,4,FR2836,B738,EIEXF,KUN,TLV,08:00:00,08:06:00,,,2,2,,165,,,79,,5,1-2-3,,,
,5,W98122,A320,GWUKF,LTN,KUN,10:30:00,10:01:00,,,4,4,,,182,WCHC,49,,,,,,
,6,W98121,A320,GWUKF,KUN,LTN,11:05:00,11:01:00,,,4,4,,143,,,67,,5,4-5-6,,,
,7,LGL44,A320,LXLGS,KUN,KUN,12:00:00,11:46:00,,,16R,16R,,,,,,,,,,,
,8,LGL44,A320,LXLGS,KUN,KUN,12:49:00,12:41:00,,,16R,16R,,,,,,,,,,,
,9,LGL42,A320,LXLGS,KUN,LUX,14:20:00,13:43:00,,,16R,16R,,,,,,,,,,,
,10,W68146,A320,HALYL,SVG,KUN,12:15:00,11:51:00,,,4,4,,,154,,81,,,,,,
,11,W68145,A320,HALYL,KUN,SVG,12:45:00,12:44:00,,,4,4,,131,,,66,,2,4-5-6,,,
,12,FR7620,B738,EIFTO,CPH,KUN,14:40:00,14:18:00,,,5,7,,,166,,18,,,,,,
,13,FR3467,B738,EIFTO,KUN,LTN,15:30:00,15:38:00,,,5,7,,163,,,46,,6,1-2-3,,,
,14,FR2144,B738,EIEBH,STN,KUN,15:00:00,15:03:00,,,2,5,,,173,,50,,,,,,
,15,FR2145,B738,EIDLC,KUN,STN,15:25:00,16:10:00,93/0008,81/0032,3,3,,165,,WCHC,29,,5,1-2-3,,,
,16,FR2837,B738,EIEXF,TLV,KUN,16:40:00,16:34:00,,,5,4,,,168,,40,,,,,,
,17,FR1794,B738,EIEXF,KUN,MXP,17:30:00,17:33:00,,,5,4,,150,,WCHR/ WCMP,20,,2,1-2-3,,,
,18,FR9098,B738,EIENF,ALC,KUN,19:00:00,18:33:00,,,4,4,,,181,,48,,,,,,
,19,FR9099,B738,EIENF,KUN,ALC,19:25:00,19:38:00,,,4,4,,179,,2* WCHR,55,,1,1-2-3,,,
,20,FR3466,B738,EIFTO,LTN,KUN,21:25:00,21:10:00,,,2,3,,,175,,56,,,,,,
,21,FR1793,B738,EIEXF,MXP,KUN,23:05:00,22:48:00,,,5,2,,,165,,27,,,,,,
,,,,,,,,,,,,,,1322,1410,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
