Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.10.08,,,,,,,Renatas Venckūnas,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E75S,SPLDK,WAW,KUN,00:45:00,00:37:00,,,4,4,,,60,,17,,,,
,2,LO796,E75S,SPLDK,KUN,WAW,06:15:00,06:35:00,,,4,4,,65,,,33,,1,8-9,
,3,FR7621,B738,EIFTA,KUN,CPH,06:25:00,06:31:00,,,3,3,,176,,,48,,2,1-2-3,
,4,FR2145,B738,EIENH,KUN,LTN,07:30:00,07:37:00,,,2,2,,176,,,28,,5,1-2-3,
,5,SRN6912,AT72,SPSPD,CGN,KUN,07:30:00,07:05:00,,,9,9,,,,,,,,,
,6,SRN6912,AT72,SPSPD,KUN,RIX,08:05:00,08:00:00,,,9,9,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:20:00,09:55:00,,,9,9,,,,,,,,,
,10,W68122,A320,GWUKF,LTN,KUN,10:40:00,10:37:00,,,4,4,,,164,,27,,,,
,11,W68121,A320,GWUKF,KUN,LTN,11:10:00,11:23:00,,,4,4,,181,,,42,,5,4-5-6,
,12,FR4480,B738,EIGJY,GRO,KUN,12:15:00,12:06:00,,,7,7,,,180,,20,,,,
,13,FR4481,B738,EIGJY,KUN,GRO,12:40:00,12:51:00,,,7,7,,174,,,17,,2,1-2-3,
,14,W68152,A321,HALXS,EIN,KUN,12:50:00,12:58:00,,,4,4,,,171,,55,,,,
,15,W68151,A321,HALXS,KUN,EIN,13:25:00,14:01:00,,,4,4,,216,,WCHC,60,,2,4-5-6,
,16,FR2144,B738,EIENH,LTN,KUN,13:35:00,13:43:00,,,2,2,,,174,WCHC;WCHS/WCMP,15,,,,
,17,FR2972,B738,EIENH,KUN,DUB,15:20:00,15:32:00,,,2,2,,182,,,38,,5,1-2-3,
,18,W68144,A320,HALWX,BGO,KUN,14:25:00,13:59:00,,,4,4,,,168,,69,,,,
,19,W68143,A320,HALWX,KUN,BGO,14:55:00,14:51:00,,,4,4,,167,,WCHS,69,,2,4-5-6,
,20,FR7620,B738,EIFTA,CPH,KUN,14:35:00,14:22:00,,,7,7,,,180,,10,,,,
,21,FR2747,B738,EIFTA,KUN,STN,17:10:00,17:12:00,,,7,7,,173,,,16,,5,1-2-3,
,22,W68142,A321,HALXW,AES,KUN,18:55:00,18:34:00,,,4,4,,,203,,127,,,,
,23,W68141,A321,HALXW,KUN,AES,19:30:00,19:30:00,,,4,4,,200,,,114,,2,4-5-6,
,24,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:35:00,,,9,9,,,,,,,,,
,25,SRN6911,AT72,SPSPD,RIX,KUN,21:05:00,20:45:00,,,9,9,,,,,,,,,
,26,SRN6911,AT72,SPSPD,KUN,CGN,21:50:00,21:50:00,,,9,9,,,,,,,,,
,27,LYBAS,SIRA,LYBAS,EYKS,KUN,21:40:00,21:44:00,,,12,12,,,,,,,,,
,28,FR2971,B738,EIENH,DUB,KUN,22:05:00,22:09:00,,,3,3,,,189,DPNA,15,,,,
,29,FR2746,B738,EIFTA,STN,KUN,23:00:00,22:44:00,,,2,2,,,167,WCHC,10,,,,
,,,,,,,,,,,,,,1710,1656,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
