Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.12.11,,,,,,,,,,,Renatas Venckūnas,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,DH8D,SPEQE,WAW,KUN,00:45:00,00:31:00,,,7,7,,,38,,24,,,,,
,2,LO796,DH8D,SPEQE,KUN,WAW,06:15:00,06:27:00,,,7,7,,29,,WCHC,9,,1,8-9,,
,3,FR7621,B738,EIEXF,KUN,CPH,06:20:00,06:44:00,75/0010,,5,5,,160,,,15,,2,1-2-3,,
,4,SWN7842,ATP,SEMAJ,CGN,KUN,06:55:00,06:14:00,,,8,8,,,,,,,,,,
,5,SWN7843,ATP,SEMAJ,KUN,CGN,08:00:00,07:12:00,,,8,8,,,,,,,,,,
,6,FR2836,B738,EIEVL,KUN,TLV,08:00:00,08:11:00,,,3,3,,169,,,46,,5,1-2-3,,
,7,SRN6912,AT72,SPSPD,CGN,KUN,08:00:00,07:58:00,,,9,9,,,,,,,,,,
,8,SRN6912,AT72,SPSPD,KUN,RIX,08:45:00,09:04:00,,,9,9,,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:50:00,09:39:00,,,9,9,,,,,,,,,,
,10,W98122,A320,GWUKF,LTN,KUN,10:30:00,10:21:00,,,4,4,,,162,,45,,,,,
,11,W98121,A320,GWUKF,KUN,LTN,11:05:00,11:04:00,,,4,4,,126,,WCHS/MAAS,?,,5,4-5-6,,
,12,SPTRL,DA42,SPTRL,WAW,KUN,11:00:00,11:36:00,,,3,3,,,,,,,,,,
,13,SPTRL,DA42,SPTRL,KUN,WAW,11:30:00,12:28:00,,,3,3,,,,,,,,,,
,14,W68146,A320,HALYL,SVG,KUN,12:15:00,12:10:00,,,4,4,,,124,,35,,,,,
,15,W68145,A320,HALYL,KUN,SVG,12:45:00,12:58:00,,,4,4,,75,,,?,,2,4-5-6,,
,16,FR7620,B738,EIENL,CPH,KUN,14:40:00,15:20:00,,,4,3,,,176,,31,,,,,
,17,FR3467,B738,EIEBH,KUN,LTN,15:55:00,15:57:00,,,4,2,,142,,,33,,5,1-2-3,,
,18,FR2837,B738,EIEVL,TLV,KUN,16:40:00,16:47:00,,,4,5,,,164,,65,,,,,
,19,FR1794,B738,EIEVL,KUN,MXP,17:30:00,17:37:00,,,4,5,,101,,SKIX2,10,,2,1-2-3,,
,20,FR9098,B738,EIENH,ALC,KUN,19:00:00,18:44:00,,,4,4,,,178,,61,,,,,
,21,FR9099,B738,EIENH,KUN,ALC,19:25:00,19:55:00,75/0015,80/0004,4,4,,181,,,60,,2,1-2-3,,
,22,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:38:00,,,9,9,,,,,,,,,,
,23,SRN6911,AT72,SPSPD,RIX,KUN,21:15:00,20:50:00,,,9,9,,,,,,,,,,
,24,SRN6911,AT72,SPSPD,KUN,CGN,21:50:00,22:04:00,,,9,9,,,,,,,,,,
,25,FR3466,B738,EIEBH,LTN,KUN,21:50:00,21:48:00,,,3,2,,,168,,35,,,,,
,26,FR1793,B738,EIEVL,MXP,KUN,23:05:00,22:37:00,,,5,5,,,162,,24,,,,,
,,,,,,,,,,,,,,983,1172,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
