Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.11.01,,,,,,,,,Renatas Venckūnas,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,SPLDH,WAW,KUN,00:45:00,00:32:00,,,7,7,,,54,,17,,,,,
,2,LO796,E170,SPLDH,KUN,WAW,06:15:00,06:23:00,,,7,7,,44,,,7,,1,8-9,,
,3,FR3466,B738,EIEVW,LTN,KUN,01:15:00,01:12:00,,,2,2,,,174,,15,,,,,
,4,FR7621,B738,EIEVW,KUN,CPH,06:20:00,06:21:00,,,2,2,,169,,,25,,2,1-2-3,,
,5,FR1794,B738,EIENH,KUN,MXP,07:05:00,07:04:00,,,4,4,,152,,,26,,2,1-2-3,,
,6,SRN6912,AT72,SPSPD,CGN,KUN,07:30:00,07:33:00,,,9,9,,,,,,,,,,
,7,SRN6912,AT72,SPSPD,KUN,RIX,08:45:00,08:45:00,,,9,9,,,,,,,,,,
,8,SAR802,SF34,,WAW,KUN,09:35:00,CNL,,,9,,,,,,,,,,,
,9,FR9113,B738,EIGDH,PFO,KUN,10:25:00,10:07:00,,,2,2,,,184,,114,,,,,
,10,FR9114,B738,EIGDH,KUN,PFO,10:50:00,10:54:00,,,2,2,,165,,,97,,5,1-2-3,,
,11,FR7949,B738,EIDPO,BLQ,KUN,11:25:00,10:58:00,,,4,4,,,176,,55,,,,,
,12,FR7950,B738,EIDPO,KUN,BLQ,11:50:00,11:58:00,,,4,4,,174,,,47,,2,1-2-3,,
,13,FR1793,B738,EIENH,MXP,KUN,12:40:00,12:21:00,,,4,4,,,180,,29,,,,,
,14,FR2618,B738,EIENH,KUN,VDA,13:30:00,14:02:00,,,4,4,,177,,,119,,5,1-2-3,,
,15,FR7620,B738,EIEVW,CPH,KUN,14:40:00,14:22:00,,,4,4,,,172,WCHR/WCBD;WCHR,47,,,,,
,16,FR3467,B738,EIEVW,KUN,LTN,15:55:00,15:58:00,,,4,4,,173,,,66,,5,1-2-3,,
,17,FR1333,B738,EIEVI,NAP,KUN,16:50:00,16:25:00,,,4,4,,,182,WCHS/WCMP,49,,,,,
,18,FR1334,B738,EIEVI,KUN,NAP,17:15:00,17:12:00,,,4,4,,180,,,38,,2,1-2-3,,
,19,FR8822,B738,EIGDZ,SNN,KUN,20:50:00,20:41:00,,,4,4,,,180,,78,,,,,
,20,FR8821,B738,EIGDZ,KUN,SNN,21:15:00,21:27:00,80/0004,,4,4,,180,,,89,,5,1-2-3,,
,21,SAR801,SF34,,KUN,WAW,20:25:00,CNL,,,9,,,,,,,,,,,
,22,AXY0102,B735,9HOME,MAD,KUN,20:05:00,18:52:00,,,6,6,,,36,,,,,,,
,23,SRN6911,AT72,,RIX,KUN,21:05:00,CNL,,,9,,,,,,,,,,,
,24,SRN6911,AT72,,KUN,CGN,21:50:00,CNL,,,9,,,,,,,,,,,
,25,FR3466,B738,EIEVW,LTN,KUN,21:50:00,21:34:00,,,2,2,,,169,,43,,,,,
,26,FR2619,B738,EIENH,VDA,KUN,23:10:00,22:59:00,,,4,4,,,71,,31,,,,,
,,,,,,,,,,,,,,1414,1578,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
