Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.11.10,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,E170,,WAW,KUN,00:45:00,CNL,,,,,,,,,,,,,,,
,2,KLJ105,A320,YLLCN,LYPG,KUN,01:20:00,01:20:00,,,8,8,,,48,,,,,,,,
,3,KLJ105P,A320,YLLCN,KUN,EVRA,02:05:00,02:04:00,,,8,8,,,,,,,,,,,
,4,LO796,E170,,KUN,WAW,06:15:00,CNL,,,,,,,,,,,,,,,
,5,FR7621,B738,EIDWR,KUN,CPH,06:20:00,06:29:00,,,2,2,,179,,WCHS/WCMP;BIKE,38,,2,1-2-3,,,
,6,FR2836,B738,EIEXE,KUN,TLV,07:30:00,08:12:00,,,4,4,,162,,,59,,5,1-2-3,,,
,7,W98122,A320,GWUKE,LTN,KUN,10:30:00,10:08:00,,,4,4,,,162,,35,,,,,,
,8,W98121,A320,GWUKE,KUN,LTN,11:05:00,11:11:00,,,4,4,,183,,,101,,5,4-5-6,,,
,9,W68146,A320,HALYD,SVG,KUN,12:15:00,11:55:00,,,4,4,,,171,,93,,,,,,
,10,W68145,A320,HALYD,KUN,SVG,12:45:00,12:49:00,,,4,4,,175,,,131,,2,4-5-6,,,
,11,FR68P,B738,EIDWC,BRE,KUN,14:00:00,14:45:00,,,2,2,,,,,,,,,,,
,12,FR7620,B738,EIDWR,CPH,KUN,14:40:00,14:36:00,,,3,3,,,171,,40,,,,,,
,13,FR3467,B738,EIDWC,KUN,LTN,15:30:00,15:36:00,,,2,2,,172,,WCHR;WCHC,40,,6,1-2-3,,,
,14,FR2144,B738,EIENE,STN,KUN,15:00:00,14:51:00,,,5,5,,,177,WCHS,55,,,,,,
,15,FR2145,B738,EIENE,KUN,STN,15:25:00,15:38:00,,,5,5,,180,,,42,,5,1-2-3,,,
,16,FR2837,B738,EIEXE,TLV,KUN,16:40:00,17:20:00,,,4,4,,,179,,74,,,,,,
,17,FR1794,B738,EIEXE,KUN,MXP,17:30:00,18:04:00,,,4,4,,162/7/0,,,36,,2,1-2-3,,,
,18,KTB311,L410,LYAVT,UMMS,KUN,15:00:00,14:38:00,,,21,21,,,,,,,,,,,
,19,FR9098,B738,EIEBS,ALC,KUN,19:00:00,18:38:00,,,4,4,,,184,WCHS/WCMP,79,,,,,,
,20,FR9099,B738,EIEBS,KUN,ALC,19:25:00,19:33:00,,,4,4,,171,,WCHR;BULK,62,,1,1-2-3,,,
,21,FR3466,B738,EIDWC,LTN,KUN,21:25:00,21:13:00,,,2,3,,,168,WCHC/WCAP;WCHR,43,,,,,,
,22,FR1793,B738,EIEXE,MXP,KUN,23:05:00,23:10:00,,,4,5,,,171,,29,,,,,,
,,,,,,,,,,,,,,1222,1431,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
