Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.10.13,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,E170,SPLDI,WAW,KUN,00:45:00,01:03:00,,,5,7,,,67,,25,,,,,,
,2,LO796,E170,SPLDI,KUN,WAW,06:15:00,06:25:00,,,5,7,,39,,WCHR,,,1,8-9,,,
,3,FR7621,B738,EIDWP,KUN,CPH,06:25:00,06:41:00,,,2,2,,176,,WCHR,13,,2,1-2-3,,,
,4,FR2145,B738,EIDWP,KUN,LTN,07:30:00,07:32:00,,,3,3,,181,,WCHS,15,,5,1-2-3,,,
,5,W68122,A320,GWUKB,LTN,KUN,10:40:00,10:36:00,,,5,5,,,178,,34,,,,,,
,6,W68121,A320,GWUKB,KUN,LTN,11:50:00,11:28:00,93/0002,81/0003,5,5,,170,,WCHS,39,,5,4-5-6,,,
,7,FR2886,B738,EIGJT,EDI,KUN,11:30:00,11:43:00,,,2,2,,,182,,23,,,,,,
,8,FR2885,B738,EIGJT,KUN,EDI,11:55:00,12:24:00,93/0012,80/0004,2,2,,177,,2* DPNA,45,,6,1-2-3,,,
,9,W68146,A320,HALWA,SVG,KUN,11:35:00,11:12:00,,,7,7,,,169,,72,,,,,,
,10,W68145,A320,HALWA,KUN,SVG,12:05:00,12:04:00,,,7,7,,177,,,108,,1,4-5-6,,,
,,LYLMK,C172,LYLMK,EYVK,KUN,12:44:00,12:45:00,,,13,13,,,,,,,,,,,
,11,FR8681,B738,EIFTL,BRS,KUN,11:50:00,13:51:00,,,5,5,,,166,,27,,,,,,
,12,FR8682,B738,EIFTL,KUN,BRS,12:15:00,14:44:00,93/0025,81/0017,5,5,,177,,,30,,5,1-2-3,,,
,13,FR2144,B738,EIDWP,LTN,KUN,13:35:00,13:48:00,,,7,7,,,176,WCHS,18,,,,,,
,14,FR2422,B738,EIDWP,KUN,RHO,16:15:00,16:23:00,,,7,7,,162,,WCHR/ WCAP,51,,2,1-2-3,,,
,15,FR7620,B738,EIDWK,CPH,KUN,14:35:00,14:55:00,,,2,2,,,184,WCHS/ WCMP,15,,,,,,
,16,FR2747,B738,EIDWK,KUN,STN,17:10:00,17:11:00,,,2,2,,175,,WCHC; WCHR,13,,5,1-2-3,,,
,,LYLMM,C172,LYLMM,EYVK,KUN,15:15:00,15:19:00,,,6,6,,,,,,,,,,,
,,LYLMM,C172,LYLMM,KUN,EYVK,16:00:00,15:50:00,,,6,6,,,,,,,,,,,
,17,FR9098,B738,EIEKS,ALC,KUN,20:15:00,20:18:00,,,5,5,,,166,WCHS,64,,,,,,
,18,FR9099,B738,EIEKS,KUN,ALC,20:40:00,21:45:00,93/0007,80/0050,5,5,,176,,WCHS; WCHR,46,,1,1-2-3,,,
,19,FR7886,B738,EIDCK,PMI,KUN,20:50:00,21:39:00,,,7,7,,,178,WCHC; WCHR,53,,,,,,
,20,FR7885,B738,EIDCK,KUN,PMI,21:15:00,22:56:00,93/0055,81/0040,7,7,,174,,,46,,2,1-2-3,,,
,21,FR2746,B738,EIDWK,STN,KUN,23:00:00,22:49:00,,,3,3,,,171,,19,,,,,,
,22,FR2423,B738,EIDWP,RHO,KUN,23:15:00,23:18:00,,,2,2,,,172,,44,,,,,,
,,,,,,,,,,,,,,1784,1809,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
