Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.10.26,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,DH8D,SPEQK,WAW,KUN,00:45:00,00:53:00,,,4,4,,,60,,16,,,,
,2,LO796,DH8D,SPEQK,KUN,WAW,06:15:00,06:16:00,,,4,4,,45,,,12,,1,8-9,
,3,FR7621,B738,EIDAN,KUN,CPH,06:25:00,06:27:00,,,2,2,,180,,WCHR;WCHS,17,,2,1-2-3,
,4,FR2145,B738,EIENH,KUN,LTN,07:30:00,07:35:00,,,3,3,,178,,,9,,5,1-2-3,
,5,SRN6912,AT72,SPSPA,EDDK,KUN,07:20:00,07:43:00,,,9,9,,,,,,,,,
,6,SRN6912,AT72,SPSPA,KUN,EVRA,08:05:00,08:44:00,,,9,9,,,,,,,,,
,7,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,11:42:00,,,9,9,,,,,,,,,
,8,W68122,A320,GWUKB,LTN,KUN,10:40:00,10:08:00,,,4,4,,,172,,38,,,,
,9,W68121,A320,GWUKB,KUN,LTN,11:10:00,11:02:00,,,4,4,,173,,,43,,5,4-5-6,
,10,FR4480,B738,EIENA,GRO,KUN,12:15:00,11:50:00,,,7,7,,,166,,19,,,,
,11,FR4481,B738,EIENA,KUN,GRO,12:40:00,12:41:00,,,7,7,,147,,,22,,2,1-2-3,
,12,W68152,A321,HALXW,EIN,KUN,12:50:00,12:35:00,,,4,4,,,222,,52,,,,
,13,W68151,A321,HALXW,KUN,EIN,13:25:00,13:36:00,,,4,4,,228,,,40,,2,4-5-6,
,14,FR2144,B738,EIENH,LTN,KUN,13:35:00,13:17:00,,,2,2,,,174,,25,,,,
,15,FR2972,B738,EIENH,KUN,DUB,15:40:00,15:44:00,,,2,2,,183,,,27,,5,1-2-3,
,16,W68144,A320,HALWX,BGO,KUN,14:25:00,14:06:00,,,4,4,,,154,,64,,,,
,17,W68143,A320,HALWX,KUN,BGO,14:55:00,14:56:00,,,4,4,,151,,,15,,2,4-5-6,
,18,FR7620,B738,EIDWE,CPH,KUN,14:40:00,14:45:00,,,7,7,,,180,,12,,,,
,19,FR2747,B738,EIDWE,KUN,STN,17:10:00,17:14:00,,,7,7,,173,,,16,,5,1-2-3,
,20,DTR942,AT72,OYLHB,CPH,KUN,13:00:00,12:36:00,,,14,14,,,,,,,,,
,21,GWI6904,A319,DABGN,EDDB,KUN,14:30:00,14:16:00,,,16R,16R,,,,,,,,,
,22,W68142,A321,HALXF,AES,KUN,18:55:00,18:55:00,,,4,4,,,208,,106,,,,
,23,W68141,A321,HALXF,KUN,AES,19:30:00,19:45:00,,,4,4,,181,,,38,,2,4-5-6,
,24,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:42:00,,,9,9,,,,,,,,,
,25,KTB104,L410,LYAVT,VNO,KUN,19:45:00,19:40:00,,,10,10,,,,,,,,,
,26,SRN6911,AT72,SPSPA,EVRA,KUN,21:15:00,20:28:00,,,9,9,,,,,,,,,
,27,SRN6911,AT72,SPSPA,KUN,EDDK,21:50:00,21:55:00,,,9,9,,,,,,,,,
,28,FR2971,B738,EIENH,DUB,KUN,22:55:00,22:38:00,,,2,2,,,186,,21,,,,
,29,FR2746,B738,EIDAN,STN,KUN,23:00:00,23:07:00,,,3,3,,,169,,14,,,,
,,,,,,,,,,,,,,1639,1691,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
