Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,
,,,,,2018.12.06,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,DH8D,SPEQI,WAW,KUN,00:45:00,00:54:00,,,7,7,,,49,,15,,,,,,
,2,LO796,DH8D,SPEQI,KUN,WAW,06:15:00,06:33:00,,,7,7,,46,,,17,,1,8-9,,,
,3,FR7621,B738,EIEVH,KUN,CPH,06:20:00,06:26:00,,,2,2,,159,,,27,,2,1-2-3,,,
,4,FR1794,B738,EIEXF,KUN,MXP,07:05:00,07:24:00,,,5,5,,152,,,11,,2,1-2-3,,,
,5,SWN7842,ATP,SEMAJ,CGN,KUN,06:55:00,06:35:00,,,7,7,,,,,,,,,,,
,6,SWN7843,ATP,SEMAJ,KUN,CGN,08:00:00,07:30:00,,,7,7,,,,,,,,,,,
,7,SRN6912,AT72,SPSPA,CGN,KUN,07:30:00,07:36:00,,,9,9,,,,,,,,,,,
,8,SRN6912,AT72,SPSPA,KUN,RIX,08:45:00,08:35:00,,,9,9,,,,,,,,,,,
,9,DECMR,SR22T,DECMR,WAW,KUN,08:40:00,08:41:00,,,2,2,,,,,,,,,,,
,10,DECMR,SR22T,DECMR,KUN,WAW,09:00:00,10:16:00,,,2,2,,,,,,,,,,,
,11,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,09:48:00,,,9,9,,,,,,,,,,,
,12,FR9113,B738,EIENN,PFO,KUN,10:25:00,10:08:00,,,2,5,,,166,,55,,,,,,
,13,FR9114,B738,EIENN,KUN,PFO,10:50:00,11:09:00,,,2,5,,150,,,37,,5,1-2-3,,,
,14,W98122,A320,GWUKE,LTN,KUN,10:30:00,10:14:00,,,5,7,,,176,,23,,,,,,
,15,W98121,A320,GWUKE,KUN,LTN,11:05:00,11:12:00,,,5,7,,160,,,64,,5,4-5-6,,,64
,16,FR7949,B738,EIDCL,BLQ,KUN,11:25:00,11:07:00,,,4,4,,,163,,30,,,,,,
,17,FR7950,B738,EIEVA,KUN,BLQ,11:50:00,12:37:00,,,4,3,,159,,,27,,2,1-2-3,,,
,18,FR1793,B738,EIEXF,MXP,KUN,12:40:00,12:44:00,,,2,2,,,97,WCHR/WCMP,17,,,,,,
,19,FR2618,B738,EIEXF,KUN,VDA,13:30:00,13:32:00,,,2,2,,166,,,42,,5,1-2-3,,,
,20,FR7620,B738,EIEVH,CPH,KUN,14:40:00,14:23:00,,,4,4,,,169,,27,,,,,,
,21,FR3467,B738,EIEVH,KUN,LTN,15:55:00,16:04:00,,,4,4,,162,,,34,,5,1-2-3,,,
,22,FR1333,B738,EIFTY,NAP,KUN,16:50:00,16:40:00,,,4,4,,,163,,32,,,,,,
,23,FR1334,B738,EIFTY,KUN,NAP,17:15:00,17:26:00,,,4,4,,171,,,25,,2,1-2-3,,,
,24,FR8822,B738,EIFIO,SNN,KUN,20:50:00,20:35:00,,,4,4,,,185,,66,,,,,,
,25,FR8821,B738,EIFIO,KUN,SNN,21:15:00,21:40:00,,,4,4,,180,,WCHC*3,85,,5,1-2-3,,,
,26,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:22:00,,,9,9,,,,,,,,,,,
,27,SRN6911,AT72,SPSPA,RIX,KUN,21:05:00,20:31:00,,,9,9,,,,,,,,,,,
,28,SRN6911,AT72,SPSPA,KUN,CGN,21:50:00,21:44:00,,,9,9,,,,,,,,,,,
,29,FR3466,B738,EIEVH,LTN,KUN,21:50:00,21:43:00,,,2,5,,,175,,41,,,,,,
,30,FR2619,B738,EIEXF,VDA,KUN,23:10:00,23:41:00,,,5,2,,,176,,73,,,,,,
,31,A34101,A320,SXDVM,KUN,ATH,00:30:00,01:36:00,,,8,8,,130,,,98,,,,,,
,,,,,,,,,,,,,,1635,1519,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
