Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.11.22,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,SPLDK,WAW,KUN,00:45:00,00:27:00,,,7,7,,,28,,10,,,,,
,2,LO796,E170,SPLDK,KUN,WAW,06:15:00,06:22:00,,,7,7,,37,,,37,,1,8-9,,
,3,FR7621,B738,EIDWE,KUN,CPH,06:20:00,06:31:00,,,2,2,,168,,BLDP;WCHS,23,,2,1-2-3,,
,4,FR1794,B738,EIEXE,KUN,MXP,07:05:00,07:13:00,,,5,5,,168,,SKI,22,,2,1-2-3,,
,5,SWN7842,ATP,SEMAJ,CGN,KUN,06:55:00,06:30:00,,,8,7,,,,,,,,,,
,6,SWN7843,ATP,SEMAJ,KUN,CGN,08:00:00,07:31:00,,,8,7,,,,,,,,,,
,7,SRN6912,AT72,SPSPA,CGN,KUN,07:30:00,07:52:00,,,9,9,,,,,,,,,,
,8,SRN6912,AT72,SPSPA,KUN,RIX,08:45:00,08:48:00,,,9,9,,,,,,,,,,
,9,DECMR,SR22T,DECMR,WAW,KUN,08:40:00,08:57:00,,,2,2,,,,,,,,,,
,10,DECMR,SR22T,DECMR,KUN,WRO,09:00:00,09:45:00,,,2,2,,,,,,,,,,
,11,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,09:43:00,,,9,9,,,,,,,,,,
,12,FR9113,B738,EIGJE,PFO,KUN,10:25:00,10:07:00,,,2,2,,,177,WCHS,55,,,,,
,13,FR9114,B738,EIGJE,KUN,PFO,10:50:00,10:59:00,,,2,2,,164,,GOLF*8,44,,5,1-2-3,,
,14,W98122,A320,GWUKA,LTN,KUN,10:30:00,11:03:00,,,4,4,,,174,,46,,,,,
,15,W98121,A320,GWUKA,KUN,LTN,11:05:00,12:10:00,93/0040,81/0015,4,4,,178,,,60,,5,4-5-6,,
,16,FR7949,B738,EIDAS,BLQ,KUN,11:25:00,11:07:00,,,7,7,,,137,,23,,,,,
,17,FR7950,B738,EIDAS,KUN,BLQ,11:50:00,11:56:00,,,7,7,,150,,,33,,2,1-2-3,,
,18,FR1793,B738,EIEXE,MXP,KUN,12:40:00,12:20:00,,,2,2,,,140,,13,,,,,
,19,FR2618,B738,EIEXE,KUN,VDA,13:30:00,13:42:00,80/0004,,2,2,,168,,SPRT*4;BULK*2,87,,5,1-2-3,,
,20,FR7620,B738,EIDWE,CPH,KUN,14:40:00,14:32:00,,,4,4,,,153,,35,,,,,
,21,FR3467,B738,EIDWE,KUN,LTN,15:55:00,15:54:00,,,4,4,,182,,,47,,5,1-2-3,,
,22,FR1333,B738,EIFTP,NAP,KUN,16:50:00,16:57:00,,,4,4,,,176,,55,,,,,
,23,FR1334,B738,EIFTP,KUN,NAP,17:15:00,17:43:00,,,4,4,,155,,,43,,2,1-2-3,,
,24,FR8822,B738,EIFOB,SNN,KUN,20:50:00,20:46:00,,,4,4,,,176,,67,,,,,
,25,FR8821,B738,EIFOB,KUN,SNN,21:15:00,21:37:00,,,4,4,,182,,,53,,5,1-2-3,,
,26,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:28:00,,,9,9,,,,,,,,,,
,27,SRN6911,AT72,SPSPA,RIX,KUN,21:05:00,20:37:00,,,9,9,,,,,,,,,,
,28,SRN6911,AT72,SPSPA,KUN,CGN,21:50:00,21:46:00,,,9,9,,,,,,,,,,
,29,FR3466,B738,EIDWE,LTN,KUN,21:50:00,21:35:00,,,2,5,,,175,,38,,,,,
,30,FR2619,B738,EIEXE,VDA,KUN,23:10:00,22:54:00,,,5,8,,,172,,101,,,,,
,,,,,,,,,,,,,,1552,1508,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
