Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.11.23,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E170,SPLDI,WAW,KUN,00:45:00,00:46:00,,,7,7,,,51,,23,,,,
,2,LO796,E170,SPLDI,KUN,WAW,06:30:00,06:30:00,,,7,7,,14,,,4,,1,8-9,
,3,FR7621,B738,EIDWE,KUN,CPH,06:20:00,06:43:00,75/0012,80/0004,5,5,,180,,,31,,2,1-2-3,
,4,FR2145,B738,EIDWR,KUN,STN,06:40:00,07:15:00,81/0026,,2,2,,175,,,30,,6,1-2-3,
,5,SWN7842,ATP,SEMAJ,CGN,KUN,06:55:00,06:46:00,,,7,7,,,,,,,,,
,6,SWN7843,ATP,SEMAJ,KUN,CGN,08:00:00,07:38:00,,,7,7,,,,,,,,,
,7,SRN6912,AT72,SPSPA,CGN,KUN,07:20:00,07:59:00,,,9,9,,,,,,,,,
,8,SRN6912,AT72,SPSPA,KUN,RIX,08:05:00,08:52:00,,,9,9,,,,,,,,,
,9,SAR802,SF34,SPKPN,WAW,KUN,09:35:00,09:32:00,,,9,9,,,,,,,,,
,10,GAF671,GL5T,1404,TXL,KUN,09:50:00,09:51:00,,,13,13,,,,,,,,,
,11,GAF671,GL5T,1404,KUN,VNO,14:25:00,14:51:00,,,13,13,,,,,,,,,
,12,W98122,A320,GWUKD,LTN,KUN,10:40:00,10:14:00,,,4,4,,,181,WCHR,38,,,,
,13,W98121,A320,GWUKD,KUN,LTN,11:05:00,11:07:00,,,4,4,,171,,,88,,5,4-5-6,
,14,W68148,A320,HALWA,TKU,KUN,11:10:00,10:43:00,,,7,7,,,86,,31,,,,
,15,W68147,A320,HALWA,KUN,TKU,11:40:00,11:44:00,,,7,7,,113,,,32,,1,4-5-6,
,16,W68152,A321,HALXS,EIN,KUN,12:50:00,12:44:00,,,4,4,,,200,,52,,,,
,17,W68151,A321,HALXS,KUN,EIN,13:25:00,13:39:00,,,4,4,,207,,,91,,2,4-5-6,
,18,FR2144,B738,EIFOR,STN,KUN,12:20:00,13:11:00,,,2,2,,,169,,43,,,,
,19,FR3467,B738,EIFOR,KUN,LTN,15:55:00,16:00:00,,,2,2,,170,,WCHR,40,,6,1-2-3,
,20,FR7620,B738,EIDWE,CPH,KUN,14:40:00,15:09:00,,,5,5,,,184,,15,,,,
,21,FR2972,B738,EIDWE,KUN,DUB,15:40:00,16:33:00,41/0048,,5,5,,181,,,55,,5,1-2-3,
,22,W68144,A320,HALPO,BGO,KUN,18:20:00,18:11:00,,,4,4,,,157,,62,,,,
,23,W68143,A320,HALPO,KUN,BGO,18:50:00,19:05:00,,,4,4,,162,,,60,,2,4-5-6,
,24,W68142,A320,HALWE,AES,KUN,19:45:00,19:45:00,,,4,4,,,160,,56,,,,
,25,W68141,A320,HALWE,KUN,AES,20:30:00,20:40:00,,,4,4,,159,,,73,,1,4-5-6,
,26,KTB108,L410,LYAVT,VNO,KUN,19:50:00,19:55:00,,,21,21,,,,,,,,,
,27,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:21:00,,,9,9,,,,,,,,,
,28,FR8691,B738,EIDHW,BRS,KUN,20:30:00,20:26:00,,,7,7,,,176,,48,,,,
,29,FR8682,B738,EIDHW,KUN,BRS,20:55:00,21:18:00,80/0004,19/0011,7,7,,177,,2*WCHC; WCHS; WCHS/WCMP,39,,5,1-2-3,
,30,SRN6911,AT72,SPSPA,RIX,KUN,21:15:00,20:53:00,,,9,9,,,,,,,,,
,31,SRN6911,AT72,SPSPA,KUN,CGN,21:50:00,22:01:00,,,9,9,,,,,,,,,
,32,FR3466,B738,EIFOR,LTN,KUN,21:50:00,21:29:00,,,2,2,,,184,,43,,,,
,33,FR2971,B738,EIDWE,DUB,KUN,22:30:00,23:19:00,,,5,5,,,183,,70,,,,
,,,,,,,,,,,,,,1709,1731,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
