Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.10.22,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E75S,,WAW,KUN,00:45:00,CNL,,,4,,,,,,,,,,
,2,LO796,E75S,,KUN,WAW,06:15:00,CNL,,,4,,,C0/P3/Y68,,2*STAFF SBY,68,,1,8-9,
,3,FR7621,B738,EIENF,KUN,CPH,06:25:00,06:30:00,,,3,3,,178,,,13,,2,1-2-3,
,4,FR2145,B738,EIDAI,KUN,LTN,07:30:00,07:35:00,,,2,2,,182,,,33,,5,1-2-3,
,5,SRN6912,AT72,SPSPA,CGN,KUN,07:30:00,07:10:00,,,9,9,,,,,,,,,
,6,SRN6912,AT72,SPSPA,KUN,RIX,08:05:00,08:07:00,,,9,9,,,,,,,,,
,7,SAR802,SF34,SPKPN,WAW,KUN,09:20:00,09:34:00,,,9,9,,,,,,,,,
,8,W68122,A320,GWUKB,LTN,KUN,10:40:00,10:30:00,,,4,4,,,159,,12,,,,
,9,W68121,A320,GWUKB,KUN,LTN,11:10:00,11:16:00,,,4,4,,176,,,43,,5,4-5-6,
,,LYLMK,C172,LYLMK,KUN,EYVK,11:00:00,10:50:00,,,13,13,,,,,,,,,
,,NJE286C,C56XL,CSDXV,SQQ,KUN,11:58:00,12:02:00,,,6,6,,,,,,,,,
,,NJE217R,C56XL,CSDXV,KUN,SQQ,13:25:00,13:32:00,,,6,6,,,,,,,,,
,10,FR4480,B738,EIENA,GRO,KUN,12:15:00,12:20:00,,,7,7,,,182,,16,,,,
,11,FR4481,B738,EIENA,KUN,GRO,12:40:00,13:10:00,93/0008,81/0022,7,7,,144,,,18,,2,1-2-3,
,12,W68152,A321,HALXW,EIN,KUN,12:50:00,13:01:00,,,4,4,,,205,,41,,,,
,13,W68151,A321,HALXW,KUN,EIN,13:25:00,13:48:00,93/0012,81/0003,4,4,,217,,,60,,2,4-5-6,
,14,FR2144,B738,EIDAI,LTN,KUN,13:35:00,12:21:00,,,2,2,,,177,2*WCHR,18,,,,
,15,FR2972,B738,EIDAI,KUN,DUB,15:20:00,15:25:00,,,2,2,,178,,WCHS,41,,5,1-2-3,
,16,W68144,A320,HALWX,BGO,KUN,14:25:00,14:19:00,,,4,4,,,131,,29,,,,
,17,W68143,A320,HALWX,KUN,BGO,14:55:00,15:02:00,,,4,4,,160,,,71,,2,4-5-6,
,18,FR7620,B738,EIENF,CPH,KUN,14:35:00,14:24:00,,,7,7,,,172,,19,,,,
,19,FR2747,B738,EIENF,KUN,STN,17:10:00,17:21:00,,,7,7,,177,,,25,,5,1-2-3,
,20,W68142,A321,HALXF,AES,KUN,18:55:00,18:43:00,,,4,4,,,193,,100,,,,
,21,W68141,A321,HALXF,KUN,AES,19:30:00,19:44:00,,,4,4,,219,,,147,,2,4-5-6,
,22,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:40:00,,,9,9,,,,,,,,,
,23,SRN6911,AT72,SPSPA,RIX,KUN,21:05:00,20:38:00,,,9,9,,,,,,,,,
,24,SRN6911,AT72,SPSPA,KUN,CGN,21:50:00,21:50:00,,,9,9,,,,,,,,,
,25,FR2971,B738,EIDWE,DUB,KUN,22:05:00,22:05:00,,,3,3,,,182,,23,,,,
,26,FR2746,B738,EIENF,STN,KUN,23:00:00,22:55:00,,,2,2,,,173,,11,,,,
,,,,,,,,,,,,,,1631,1574,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
