Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių ataskaita,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.11.26,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E195,SPLNG,WAW,KUN,00:45:00,01:00:00,,,7,7,,,40,,20,,,,
,2,LO796,E195,SPLNG,KUN,WAW,06:15:00,06:46:00,,,7,7,,75,,,33,,1,8-9,
,3,FR7621,B738,EIDWJ,KUN,CPH,06:20:00,06:26:00,,,2,2,,176,,,16,,2,1-2-3,
,4,FR2145,B738,EIEXE,KUN,STN,06:40:00,06:48:00,,,5,5,,168,,WCHC,30,,5,1-2-3,
,,KTB109,L410,LYAVT,KUN,VNO,06:45:00,06:50:00,,,21,21,,,,,,,,,
,5,SRN6912,AT72,SPSPA,CGN,KUN,07:30:00,06:53:00,,,9,9,,,,,,,,,
,6,SRN6912,AT72,SPSPA,KUN,RIX,08:05:00,08:04:00,,,9,9,,,,,,,,,
,7,SAR802,SF34,SPKPN,WAW,KUN,09:20:00,09:21:00,,,9,9,,,,,,,,,
,8,W98122,A320,GWUKA,LTN,KUN,10:30:00,10:11:00,,,4,4,,,175,,54,,,,
,9,W98121,A320,GWUKA,KUN,LTN,11:05:00,11:05:00,,,4,4,,173,,WCHS/WCMP,73,,5,4-5-6,
,10,W68148,A320,HALYD,TKU,KUN,11:10:00,11:08:00,,,7,7,,,118,,25,,,,
,11,W68147,A320,HALYD,KUN,TKU,11:40:00,11:53:00,,,7,7,,100,,,62,,2,4-5-6,
,12,FR2144,B738,EIEVA,STN,KUN,12:20:00,12:25:00,,,2,2,,,183,WCHR,37,,,,
,13,FR3467,B738,EIFOR,KUN,LTN,15:55:00,16:05:00,,,2,8,,176,,DPNA,43,,6,1-2-3,
,14,W68152,A321,HALXS,EIN,KUN,12:50:00,12:41:00,,,5,5,,,189,,49,,,,
,15,W68151,A321,HALXS,KUN,EIN,13:25:00,13:37:00,,,5,5,,207,,,81,,2,4-5-6,
,16,FR7620,B738,EIDWJ,CPH,KUN,14:40:00,14:33:00,,,5,3,,,176,,53,,,,
,17,FR2972,B738,EIEVA,KUN,DUB,15:40:00,15:42:00,,,5,2,,187,,WCHR;WCHC,74,,5,1-2-3,
,18,W68144,A320,HALWI,BGO,KUN,18:20:00,18:03:00,,,4,4,,,144,,50,,,,
,19,W68143,A320,HALWI,KUN,BGO,18:50:00,18:57:00,,,4,4,,138,,,66,,2,4-5-6,
,20,FR7949,B738,EIDWI,BLQ,KUN,19:30:00,19:55:00,,,4,7,,,160,,41,,,,
,21,FR7950,B738,EIDWI,KUN,BLQ,19:55:00,20:57:00,,,4,7,,107,,,19,,2,1-2-3,
,22,W68142,A320,HALWE,AES,KUN,19:45:00,20:17:00,,,7,4,,,145,,65,,,,
,23,W68141,A320,HALWE,KUN,AES,20:30:00,21:27:00,,,7,4,,176,,,100,,2,4-5-6,
,24,SAR801,SF34,SPKPN,KUN,WAW,20:25:00,20:31:00,,,9,9,,,,,,,,,
,25,FR8681,B738,EIDPF,BRS,KUN,20:30:00,20:20:00,,,4,2,,,182,WCHC,52,,,,
,26,FR8682,B738,EIDPF,KUN,BRS,20:55:00,21:35:00,,,4,2,,176,,,52,,5,1-2-3,
,27,SRN6911,AT72,SPSPA,RIX,KUN,21:05:00,20:41:00,,,9,9,,,,,,,,,
,28,SRN6911,AT72,SPSPA,KUN,CGN,21:50:00,22:00:00,,,9,9,,,,,,,,,
,29,FR3466,B738,EIEVA,LTN,KUN,21:25:00,21:45:00,,,2,2,,,176,,32,,,,
,30,FR2971,B738,EIDWJ,DUB,KUN,22:30:00,22:13:00,,,5,5,,,188,,53,,,,
,,,,,,,,,,,,,,1784,1876,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
