,,,,,,,,,,,
,Flight Load by CARRIER,,,,2018,,,,,,
,,,,,,,,,,,
,Carrier,Airport,,Flights,,Pasengers,,Seats offered,,Load,
,,,,Arrival,Departure,Arrival,Departure,Arrival,Departure,Arrival,Departure
,,Girona,GRO,9,9,1414,1569,1701,1701,"83,13 %","92,24 %"
,,Naples,NAP,9,9,1453,1507,1701,1701,"85,42 %","88,59 %"
,Wizz Air,Luton,LTN,29,29,4483,4825,5220,5220,"85,88 %","92,43 %"
,,Stavanger,SVG,12,12,1530,1817,2160,2160,"70,83 %","84,12 %"
,,Bergen,BGO,9,9,1369,1450,1620,1620,"84,51 %","89,51 %"
,,Olesund,AES,9,9,1625,1779,2070,2070,"78,50 %","85,94 %"
,,Eindhoven,EIN,9,9,1723,1774,2070,2070,"83,24 %","85,70 %"
,,,,,,,,,,,
,gegužė,,,,,,,,,,
,RYANAIR,Luton,LTN,31,31,5454,5163,5859,5859,"93,09 %","88,12 %"
,,Copenhage,CPH,31,31,5370,5450,5859,5859,"91,65 %","93,02 %"
,,Dublin,DUB,17,17,3140,2956,3213,3213,"97,73 %","92,00 %"
,,Bristol,BRS,13,13,2274,2134,2457,2457,"92,55 %","86,85 %"
,,Edinburgh,EDI,9,9,1557,1523,1701,1701,"91,53 %","89,54 %"
,,Stansted,STN,22,22,3841,3476,4158,4158,"92,38 %","83,60 %"
,,Shannon,SNN,10,10,1834,1740,1890,1890,"97,04 %","92,06 %"
,,Alicante,ALC,19,19,3379,3431,3591,3591,"94,10 %","95,54 %"
,,Palma de Mallorca,PMI,9,9,1322,1363,1701,1701,"77,72 %","80,13 %"
,,Paphos,PFO,5,5,799,829,945,945,"84,55 %","87,72 %"
,,Rhodes,RHO,4,4,640,693,756,756,"84,66 %","91,67 %"
,,Burgas,BOJ,5,5,756,815,945,945,"80,00 %","86,24 %"
,,Rimini,RMI,5,5,781,829,945,945,"82,65 %","87,72 %"
,,Girona,GRO,8,8,1244,1293,1512,1512,"82,28 %","85,52 %"
,,Naples,NAP,9,9,1469,1510,1701,1701,"86,36 %","88,77 %"
,Wizz Air,Luton,LTN,26,26,4448,4131,4680,4680,"95,04 %","88,27 %"
,,Stavanger,SVG,14,14,1913,2090,2520,2520,"75,91 %","82,94 %"
,,Bergen,BGO,8,8,1227,1290,1440,1440,"85,21 %","89,58 %"
,,Olesund,AES,8,8,1479,1514,1840,1840,"80,38 %","82,28 %"
,,Eindhoven,EIN,7,7,1347,1410,1610,1610,"83,66 %","87,58 %"
,LOT,Warsaw,WAW,7,7,298,191,540,540,"55,19 %","35,37 %"
,,,,,,,,,,,
,Birželis,,,,,,,,,,
,RYANAIR,Luton,LTN,30,30,5358,5228,5670,5670,"94,50 %","92,20 %"
,,Copenhage,CPH,30,30,5263,5262,5670,5670,"92,82 %","92,80 %"
,,Dublin,DUB,21,21,3899,3661,3969,3969,"98,24 %","92,24 %"
,,Bristol,BRS,13,13,2279,2311,2457,2457,"92,76 %","94,06 %"
,,Edinburgh,EDI,9,9,1588,1555,1701,1701,"93,36 %","91,42 %"
,,Stansted,STN,22,22,3873,3781,4158,4158,"93,15 %","90,93 %"
,,Shannon,SNN,8,8,1462,1381,1512,1512,"96,69 %","91,34 %"
,,Alicante,ALC,17,17,3056,3127,3213,3213,"95,11 %","97,32 %"
,,Palma de Mallorca,PMI,9,9,1546,1620,1701,1701,"90,89 %","95,24 %"
,,Paphos,PFO,4,4,671,710,756,756,"88,76 %","93,92 %"
,,Rhodes,RHO,5,5,834,884,945,945,"88,25 %","93,54 %"
,,Burgas,BOJ,4,4,654,710,756,756,"86,51 %","93,92 %"
,,Rimini,RMI,4,4,679,698,756,756,"89,81 %","92,33 %"
,,Girona,GRO,9,9,1499,1589,1701,1701,"88,12 %","93,42 %"
,,Naples,NAP,8,8,1317,1428,1512,1512,"87,10 %","94,44 %"
,Wizz Air,Luton,LTN,28,28,4847,4838,5040,5040,"96,17 %","95,99 %"
,,Stavanger,SVG,13,13,1993,1857,2340,2340,"85,17 %","79,36 %"
,,Bergen,BGO,9,9,1421,1466,1620,1620,"87,72 %","90,49 %"
,,Olesund,AES,9,9,1770,1712,2070,2070,"85,51 %","82,71 %"
,,Eindhoven,EIN,9,9,1803,1861,2070,2070,"87,10 %","89,90 %"
,LOT,Warsaw,WAW,24,24,945,998,1624,1624,"58,19 %","61,45 %"
,,,,,,,,,,,
,Liepa,,,,,,,,,,
,RYANAIR,Luton,LTN,31,31,5670,5158,5859,5859,"96,77 %","88,04 %"
,,Copenhage,CPH,31,31,5514,5138,5859,5859,"94,11 %","87,69 %"
,,Dublin,DUB,22,22,4050,3901,4158,4158,"97,40 %","93,82 %"
,,Bristol,BRS,13,13,2373,2265,2457,2457,"96,58 %","92,19 %"
,,Edinburgh,EDI,9,9,1636,1566,1701,1701,"96,18 %","92,06 %"
,,Stansted,STN,22,22,3970,3676,4158,4158,"95,48 %","88,41 %"
,,Shannon,SNN,9,9,1667,1527,1701,1701,"98,00 %","89,77 %"
,,Alicante,ALC,16,16,2911,2883,3024,3024,"96,26 %","95,34 %"
,,Palma de Mallorca,PMI,8,9,1421,1556,1512,1701,"93,98 %","91,48 %"
,,Paphos,PFO,4,4,708,679,756,756,"93,65 %","89,81 %"
,,Rhodes,RHO,4,4,682,711,756,756,"90,21 %","94,05 %"
,,Burgas,BOJ,4,4,696,706,756,756,"92,06 %","93,39 %"
,,Rimini,RMI,4,4,717,679,756,756,"94,84 %","89,81 %"
,,Girona,GRO,9,9,1585,1476,1701,1701,"93,18 %","86,77 %"
,,Naples,NAP,9,9,1581,1464,1701,1701,"92,95 %","86,07 %"
,Wizz Air,Luton,LTN,31,31,5513,5006,5580,5580,"98,80 %","89,71 %"
,,Stavanger,SVG,13,13,2078,1958,2340,2340,"88,80 %","83,68 %"
,,Bergen,BGO,9,9,1433,1470,1620,1620,"88,46 %","90,74 %"
,,Olesund,AES,9,9,1851,1821,2070,2070,"89,42 %","87,97 %"
,,Eindhoven,EIN,9,9,1951,1866,2070,2070,"94,25 %","90,14 %"
,LOT,Warsaw,WAW,25,25,1258,1025,1914,1914,"65,73 %","53,55 %"
,,,,,,,,,,,
,Rugpjūtis,,,,,,,,,,
,RYANAIR,Luton,LTN,31,31,5395,5468,5859,5859,"92,08 %","93,33 %"
,,Copenhage,CPH,31,31,5314,5505,5859,5859,"90,70 %","93,96 %"
,,Dublin,DUB,18,18,3298,3370,3402,3402,"96,94 %","99,06 %"
,,Bristol,BRS,12,12,2153,2173,2268,2268,"94,93 %","95,81 %"
