FLIGHT NO,APT,MON,,REMARKS,,FLIGHT NO,APT,TUE,,REMARKS,,FLIGHT NO,APT,WED,,REMARKS,,FLIGHT NO,APT,THU,,REMARKS,,FLIGHT NO,APT,FRI,,REMARKS,,FLIGHT NO,APT,SAT,,REMARKS,,FLIGHT NO,APT,SUN,,REMARKS
,,ARR,DEP,,,,,ARR,DEP,,,,,ARR,DEP,,,,,ARR,DEP,,,,,ARR,DEP,,,,,ARR,DEP,,,,,ARR,DEP,
W68147,,,20:55,,,,,,,,,,,,,,,SAR801,WAW,,20:25,,,,,,,,,,,,,,,,,,,
FR8681,BRS,20:30,,12.24/12.31 nebus,,,,,,,,,,,,,,SRN6911,RIX,21:05,,,,,,,,,,,,,,,,,,,,
FR8682,,,20:55,,,,,,,,,,,,,,,,CGN,,21:50,,,,,,,,,,,,,,,,,,,
SAR801,WAW,,20:25,,,,,,,,,,,,,,,FR3466,LTN,21:25,,,,,,,,,,,,,,,,,,,,
SRN6911,RIX,21:05,,,,,,,,,,,,,,,,FR2619,VDA,23:10,,,,,,,,,,,,,,,,,,,,
,CGN,,21:50,,,,,,,,,,,,,,,LO795,WAW,00:45,,,,,,,,,,,,,,,,,,,,
FR3466,LTN,21:25,,12.24/12.31 nebus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FR2971,DUB,22:30,,12.24/12.31 nebus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LO795,WAW,00:45,,01.01 nebus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ne šengenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Šengenas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Vienkartiniai skrydžiai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
