Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.10.15,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E75S,,WAW,KUN,00:45:00,,,,5,,,,,,,,,,
,2,LO796,E75S,,KUN,WAW,06:15:00,,,,5,,,1C/2P/59Y,,,62,,1,8-9,
,3,FR7621,B738,EIDWP,KUN,CPH,06:25:00,,,,3,,,188/4/2,,WCHS,21,,2,1-2-3,
,4,FR2145,B738,EIDWK,KUN,LTN,07:30:00,,,,2,,,181/8/5,,,25,,5,1-2-3,
,5,SRN6912,AT72,,CGN,KUN,07:30:00,,,,9,,,,,,,,,,
,6,SRN6912,AT72,,KUN,RIX,08:05:00,,,,9,,,,,,,,,,
,7,SAR802,SF34,,WAW,KUN,09:20:00,,,,9,,,,,,,,,,
,8,SCR762,C56XL,DCRON,EDRY,KUN,10:00:00,,,,6,,,,,,,,,,
,9,SCR762,C56XL,DCRON,KUN,EGSC,17:00:00,,,,6,,,,,,,,,,
,10,W68122,A320,GWUKB,LTN,KUN,10:40:00,,,,5,,,,,,,,,,
,11,W68121,A320,GWUKB,KUN,LTN,11:10:00,,,,5,,,177/7/4,,,17,,5,4-5-6,
,12,FR4480,B738,EIFRH,GRO,KUN,12:15:00,,,,7,,,,,,,,,,
,13,FR4481,B738,EIFRH,KUN,GRO,12:40:00,,,,7,,,162/8/1,,,4,,2,1-2-3,
,14,W68152,A321,HALXS,EIN,KUN,12:50:00,,,,5,,,,,,,,,,
,15,W68151,A321,HALXS,KUN,EIN,13:25:00,,,,5,,,227/5/4,,,44,,2,4-5-6,
,16,FR2144,B738,EIDWK,LTN,KUN,13:35:00,,,,2,,,,,WCHR,,,,,
,17,FR2972,B738,EIDWK,KUN,DUB,15:20:00,,,,2,,,176/14/2,,,19,,5,1-2-3,
,18,W68144,A320,HALWX,BGO,KUN,14:25:00,,,,5,,,,,WCHS,,,,,
,19,W68143,A320,HALWX,KUN,BGO,14:55:00,,,,5,,,146/17/1,,,61,,2,4-5-6,
,20,FR7620,B738,EIDWP,CPH,KUN,14:35:00,,,,7,,,,,,,,,,
,21,FR2747,B738,EIDWP,KUN,STN,17:10:00,,,,7,,,180/7/3,,,13,,5,1-2-3,
,22,W68142,A321,HALXW,AES,KUN,18:55:00,,,,5,,,,,WCHS,,,,,
,23,W68141,A321,HALXW,KUN,AES,19:30:00,,,,5,,,206/25/4,,,74,,2,4-5-6,
,24,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,
,25,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,
,26,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,
,27,FR2971,B738,EIDWK,DUB,KUN,22:05:00,,,,2,,,,,,,,,,
,28,FR2746,B738,EIDWP,STN,KUN,23:00:00,,,,3,,,,,DEAF,,,,,
,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
