Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.12.03,,,,,,,Renatas Venckūnas,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E75S,,WAW,KUN,00:45:00,,,,7,,,,,,,,,,
,2,LO796,E75S,,KUN,WAW,06:15:00,,,,7,,,0C/5P/62Y,,,67,,1,8-9,
,3,FR7621,B738,EIEXF,KUN,CPH,06:20:00,,,,4,,,196/1/0,,WCHS; WCHR,97,,2,1-2-3,
,4,FR2145,B738,EIEVL,KUN,STN,06:40:00,,,,2,,,179/10/2,,,24,,5,1-2-3,
,5,SRN6912,AT72,,CGN,KUN,07:30:00,,,,9,,,,,,,,,,
,6,SRN6912,AT72,,KUN,RIX,08:05:00,,,,9,,,,,,,,,,
,7,SAR802,SF34,,WAW,KUN,09:20:00,,,,9,,,,,,,,,,
,8,W98122,A320,GWUKE,LTN,KUN,10:30:00,,,,4,,,,,MAAS/ WCHS,,,,,
,9,W98121,A320,GWUKE,KUN,LTN,11:05:00,,,,4,,,159/15/1,,,76,,5,4-5-6,
,10,W68148,A320,HALWN,TKU,KUN,11:10:00,,,,7,,,,,,,,,,
,11,W68147,A320,HALWN,KUN,TKU,11:40:00,,,,7,,,102/3/0,,,69,,2,4-5-6,
,12,FR2144,B738,EIEVL,STN,KUN,12:20:00,,,,2,,,,,,,,,,
,13,FR3467,B738,EIEVL,KUN,LTN,15:55:00,,,,2,,,162/23/2,,,39,,6,1-2-3,
,14,W68152,A321,HALXS,EIN,KUN,12:50:00,,,,4,,,,,,,,,,
,15,W68151,A321,HALXS,KUN,EIN,13:25:00,,,,4,,,185/17/0,,,73,,2,4-5-6,
,16,FR7620,B738,EIEXF,CPH,KUN,14:40:00,,,,7,,,,,,,,,,
,17,FR2972,B738,EIEXF,KUN,DUB,15:40:00,,,,7,,,177/17/6,,,73,,5,1-2-3,
,18,W68144,A320,HALPO,BGO,KUN,18:20:00,,,,4,,,,,,,,,,
,19,W68143,A320,HALPO,KUN,BGO,18:50:00,,,,4,,,137/8/4,,,73,,2,4-5-6,
,20,FR7949,B738,EIFOJ,BLQ,KUN,19:30:00,,,,7,,,,,,,,,,
,21,FR7950,B738,EIFOJ,KUN,BLQ,19:55:00,,,,7,,,155/7/1,,,17,,2,1-2-3,
,22,W68142,A320,HALYL,AES,KUN,19:45:00,,,,4,,,,,,,,,,
,23,W68141,A320,HALYL,KUN,AES,20:30:00,,,,4,,,139/9/6,,,75,,2,4-5-6,
,24,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,
,25,FR8681,B738,EIEBM,BRS,KUN,20:30:00,,,,2,,,,,,,,,,
,26,FR8682,B738,EIEBM,KUN,BRS,20:55:00,,,,2,,,179/10/3,,,61,,5,1-2-3,
,27,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,
,28,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,
,29,FR3466,B738,EIEVL,LTN,KUN,21:25:00,,,,2,,,,,WCHC/ WCMP,,,,,
,30,FR2971,B738,EIEXF,DUB,KUN,22:30:00,,,,5,,,,,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
