Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.10.13,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,E170,,WAW,KUN,00:45:00,,,,5,,,,,,,,,,,,
,2,LO796,E170,,KUN,WAW,06:15:00,,,,5,,,0C/0P/35Y,,WCHR,35,,1,8-9,,,
,3,FR7621,B738,EIDWK,KUN,CPH,06:25:00,,,,2,,,181/8/2,,WCHR,11,,2,1-2-3,,,
,4,FR2145,B738,EIDWP,KUN,LTN,07:30:00,,,,3,,,169/15/3,,WCHS,7,,5,1-2-3,,,
,5,W68122,A320,GWUKB,LTN,KUN,10:40:00,,,,5,,,,,,,,,,,,
,6,W68121,A320,GWUKB,KUN,LTN,11:50:00,,,,5,,,174/5/7,,WCHS,26,,5,4-5-6,,,
,7,FR2886,B738,EIGJT,EDI,KUN,11:30:00,,,,2,,,,,,,,,,,,
,8,FR2885,B738,EIGJT,KUN,EDI,11:55:00,,,,2,,,165/18/4,,2* DPNA,34,,6,1-2-3,,,
,9,W68146,A320,HALWA,SVG,KUN,11:35:00,,,,7,,,,,,,,,,,,
,10,W68145,A320,HALWA,KUN,SVG,12:05:00,,,,7,,,155/27/2,,,55,,1,4-5-6,,,
,11,FR8681,B738,EIFTL,BRS,KUN,11:50:00,,,,5,,,,,,,,,,,,
,12,FR8682,B738,EIFTL,KUN,BRS,12:15:00,,,,5,,,178/11/3,,,22,,5,1-2-3,,,
,13,FR2144,B738,EIDWP,LTN,KUN,13:35:00,,,,7,,,,,WCHS,,,,,,,
,14,FR2422,B738,EIDWP,KUN,RHO,16:15:00,,,,7,,,150/20/6,,WCHR/ WCAP,29,,2,1-2-3,,,
,15,FR7620,B738,EIDWK,CPH,KUN,14:35:00,,,,2,,,,,WCHS/ WCMP,,,,,,,
,16,FR2747,B738,EIDWK,KUN,STN,17:10:00,,,,2,,,175/8/4,,WCHC; WCHR,9,,5,1-2-3,,,
,17,FR9098,B738,EIEKS,ALC,KUN,20:15:00,,,,5,,,,,WCHS,,,,,,,
,18,FR9099,B738,EIEKS,KUN,ALC,20:40:00,,,,5,,,158/24/3,,WCHS; WCHR,34,,1,1-2-3,,,
,19,FR7886,B738,EIFRR,PMI,KUN,20:50:00,,,,7,,,,,WCHC; WCHR,,,,,,,
,20,FR7885,B738,EIFRR,KUN,PMI,21:15:00,,,,7,,,164/16/1,,,24,,2,1-2-3,,,
,21,FR2746,B738,EIDWK,STN,KUN,23:00:00,,,,3,,,,,,,,,,,,
,22,FR2423,B738,EIDWP,RHO,KUN,23:15:00,,,,2,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
