Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.11.07,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,DH8D,,WAW,KUN,00:45:00,CNL,,,,,,,,,,,,,,
,2,LO796,DH8D,,KUN,WAW,06:15:00,CNL,,,,,,,,,,,,,,
,3,FR7621,B738,EIEXE,KUN,CPH,06:20:00,,,,4,,,185/3/1,,,43,,2,1-2-3,,
,4,FR2145,B738,EIDWR,KUN,STN,06:40:00,,,,2,,,178/7/3,,,48,,5,1-2-3,,
,5,DECMR,SR22,DECMR,EPBC,KUN,08:00:00,,,,2,,,,,,,,,,,
,6,DECMR,SR22,DECMR,KUN,EPBC,08:30:00,,,,2,,,,,,,,,,,
,7,SRN6912,AT72,,EDDK,KUN,08:00:00,,,,9,,,,,,,,,,,
,8,SRN6912,AT72,,KUN,RIX,08:45:00,,,,9,,,,,,,,,,,
,9,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,,
,10,W98122,A320,GWUKE,LTN,KUN,10:30:00,,,,4,,,,,WCHR,,,,,,
,11,W98121,A320,GWUKE,KUN,LTN,11:05:00,,,,4,,,170/19/2,,,101,,5,4-5-6,,
,12,FR2144,B738,EIDWR,STN,KUN,12:20:00,,,,2,,,,,,,,,,,
,13,FR2972,B738,EIEXE,KUN,DUB,15:40:00,,,,4,,,164/25/4,,,65,,5,1-2-3,,
,14,FR7620,B738,EIEXE,CPH,KUN,14:40:00,,,,4,,,,,,,,,,,
,15,FR3467,B738,EIDWR,KUN,LTN,15:55:00,,,,2,,,175/12/5,,2* WCHR; WCHS,55,,5,1-2-3,,
,16,OS1475,A320,OELBJ,VIE,KUN,14:50:00,,,,15,,,,,,,,,,,
,17,OS1476,A319,OELDB,KUN,VIE,16:00:00,,,,10,,,,,,,,,,,
,18,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,,
,19,SRN6911,AT72,,RIX,KUN,21:15:00,,,,9,,,,,,,,,,,
,20,SRN6811,AT72,,KUN,EDDK,21:50:00,,,,9,,,,,,,,,,,
,21,FR3466,B738,EIDWR,LTN,KUN,21:25:00,,,,2,,,,,,,,,,,
,22,FR2971,B738,EIEXE,DUB,KUN,22:30:00,,,,4,,,,,2* WCHS,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
