Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.12.15,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,KLJ107,B735,LYKLJ,MUC,KUN,02:40:00,,,,8,,,,56,,,,,,,,
,2,LO795,DH8D,,WAW,KUN,00:45:00,,,,7,,,,,,,,,,,,
,3,LO796,DH8D,,KUN,WAW,06:15:00,,,,7,,,0C/0P/20Y 1INF,,,20,,1,8-9,,,
,4,FR7621,B738,EIEVL,KUN,CPH,06:20:00,,,,2,,,106/2/1,,,25,,2,1-2-3,,,
,5,FR2836,B738,EIFOH,KUN,TLV,08:00:00,,,,5,,,173/6/0,,,52,,5,1-2-3,,,
,6,W98122,A320,GWUKA,LTN,KUN,10:30:00,,,,4,,,,,,,,,,,,
,7,W98121,A320,GWUKA,KUN,LTN,11:05:00,,,,4,,,122/11/5,,,42,,5,4-5-6,,,
,8,W68146,A320,HALYL,SVG,KUN,12:15:00,,,,4,,,,,,,,,,,,
,9,W68145,A320,HALYL,KUN,SVG,12:45:00,,,,4,,,80/5/6,,,35,,2,4-5-6,,,
,10,FR7620,B738,EIEVL,CPH,KUN,14:40:00,,,,7,,,,,,,,,,,,
,11,FR3467,B738,EIEVL,KUN,LTN,15:30:00,,,,7,,,126/11/5,,3* WCHS; WCHC,25,,6,1-2-3,,,
,12,FR2144,B738,EIDAO,STN,KUN,15:00:00,,,,2,,,,,,,,,,,,
,13,FR2145,B738,EIDAO,KUN,STN,15:25:00,,,,2,,,146/5/2,,2* WCHR; 2* WCHS; WCHC,25,,5,1-2-3,,,
,14,FR2837,B738,EIFOH,TLV,KUN,16:40:00,,,,4,,,,,,,,,,,,
,15,FR1794,B738,EIFOH,KUN,MXP,17:30:00,,,,4,,,112/2/0,,,26,,2,1-2-3,,,
,16,FR9098,B738,EIEBK,ALC,KUN,19:00:00,,,,4,,,,,,,,,,,,
,17,FR9099,B738,EIEBK,KUN,ALC,19:25:00,,,,4,,,171/16/3,,,76,,1,1-2-3,,,
,18,FR3466,B738,EIEVL,LTN,KUN,21:25:00,,,,2,,,,,WCHR,,,,,,,
,19,FR1793,B738,EIFOH,MXP,KUN,23:05:00,,,,5,,,,,,,,,,,,
,,,,,,,,,,,,,,0,56,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
