Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.11.08,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,SPLDF,WAW,KUN,00:45:00,,,,7,,,,,,,,,,,
,2,LO796,E170,SPLDF,KUN,WAW,06:15:00,,,,7,,,0C/1P/46Y,,,47,,1,8-9,,
,3,FR7621,B738,EIDWR,KUN,CPH,06:20:00,,,,2,,,176/8/3,,,46,,2,1-2-3,,
,4,FR1794,B738,EIEXE,KUN,MXP,07:05:00,,,,4,,,147/4/1,,,45,,2,1-2-3,,
,5,SRN6912,AT72,,CGN,KUN,07:30:00,,,,9,,,,,,,,,,,
,6,KLJ104P,A320,YLLCN,RIX,KUN,08:30:00,,,,8,,,,,,,,,,,
,7,KLJ104P,A320,YLLCN,KUN,TGD,10:30:00,,,,8,,,,,,,,,,,
,8,DECMR,SR22,DECMR,EPWA,KUN,08:30:00,,,,2,,,,,,,,,,,
,9,DECMR,SR22,DECMR,KUN,EPWR,09:00:00,,,,2,,,,,,,,,,,
,10,SRN6912,AT72,,KUN,RIX,08:45:00,,,,9,,,,,,,,,,,
,11,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,,
,12,4U6902,A320,DAEWQ,HAM,KUN,09:25:00,,,,12,,,,,,,,,,,
,13,4U6903,A320,DAEWP,KUN,HAM,10:30:00,,,,10,,,,,,,,,,,
,14,FR9113,B738,EIGSI,PFO,KUN,10:25:00,,,,2,,,,,,,,,,,
,15,FR9114,B738,EIGSI,KUN,PFO,10:50:00,,,,2,,,145/7/1,,,51,,5,1-2-3,,
,16,FR7949,B738,EIEBY,BLQ,KUN,11:25:00,,,,4,,,,,,,,,,,
,17,FR7950,B738,EIEBY,KUN,BLQ,11:50:00,,,,4,,,174/0/1,,,61,,2,1-2-3,,
,18,OS1511,A319,OELDB,KUN,KUN,12:00:00,,,,16R,,,,,TEST FLIGHT,,,,,,
,19,OS1511,A319,OELDB,KUN,KUN,13:00:00,,,,16R,,,,,TEST FLIGHT,,,,,,
,20,FR1793,B738,EIEXE,MXP,KUN,12:40:00,,,,4,,,,,,,,,,,
,21,FR2618,B738,EIEXE,KUN,VDA,13:30:00,,,,4,,,160/15/0,,WCHS,108,,5,1-2-3,,
,22,FR7620,B738,EIDWR,CPH,KUN,14:40:00,,,,2,,,,,,,,,,,
,23,OS1475,A320,OELBJ,VIE,KUN,15:00:00,,,,15,,,,,,,,,,,
,24,OS1476,A319,OELDB,KUN,VIE,16:00:00,,,,16R,,,,,,,,,,,
,25,FR3467,B738,EIDWR,KUN,LTN,15:55:00,,,,2,,,170/21/5,,,56,,5,1-2-3,,
,26,FR1333,B738,EIDHX,NAP,KUN,16:50:00,,,,4,,,,,,,,,,,
,27,FR1334,B738,EIDHX,KUN,NAP,17:15:00,,,,4,,,175/7/3,,,69,,2,1-2-3,,
,28,FR8822,B738,EIENA,SNN,KUN,20:50:00,,,,4,,,,,,,,,,,
,29,FR8821,B738,EIENA,KUN,SNN,21:15:00,,,,4,,,157/32/5,,WCHR,89,,5,1-2-3,,
,30,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,,
,31,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,,
,32,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,,
,33,FR3466,B738,EIDWR,LTN,KUN,21:50:00,,,,2,,,,,,,,,,,
,34,FR2619,B738,EIEXE,VDA,KUN,23:10:00,,,,4,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
