Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.12.11,,,,,,,,,,,Renatas Venckūnas,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,DH8D,SPEQE,WAW,KUN,00:45:00,,,,7,,,,,,,,,,,
,2,LO796,DH8D,SPEQE,KUN,WAW,06:15:00,,,,7,,,0C/0P/25Y,,WCHC,25,,1,8-9,,
,3,FR7621,B738,EIEXF,KUN,CPH,06:20:00,,,,5,,,179/7/1,,,20,,2,1-2-3,,
,4,SWN7842,ATP,,CGN,KUN,06:55:00,,,,8,,,,,,,,,,,
,5,SWN7843,ATP,,KUN,CGN,08:00:00,,,,8,,,,,,,,,,,
,6,FR2836,B738,EIEVL,KUN,TLV,08:00:00,,,,3,,,163/20/1,,,46,,5,1-2-3,,
,7,SRN6912,AT72,,CGN,KUN,08:00:00,,,,9,,,,,,,,,,,
,8,SRN6912,AT72,,KUN,RIX,08:45:00,,,,9,,,,,,,,,,,
,9,SAR802,SF34,,WAW,KUN,09:50:00,,,,9,,,,,,,,,,,
,10,W98122,A320,GWUKF,LTN,LUN,10:30:00,,,,4,,,,,,,,,,,
,11,W98121,A320,GWUKF,KUN,LTN,11:05:00,,,,4,,,126/11/4,,WCHS/MAAS,42,,5,4-5-6,,
,12,SPTRL,DA42,SPTRL,WAW,KUN,11:00:00,,,,3,,,,,,,,,,,
,13,SPTRL,DA42,SPTRL,KUN,WAW,11:30:00,,,,3,,,,,,,,,,,
,14,W68146,A320,HALYL,SVG,KUN,12:15:00,,,,4,,,,,,,,,,,
,15,W68145,A320,HALYL,KUN,SVG,12:45:00,,,,4,,,77/4/1,,,32,,2,4-5-6,,
,16,FR7620,B738,EIENL,CPH,KUN,14:40:00,,,,4,,,,,,,,,,,
,17,FR3467,B738,EIENL,KUN,LTN,15:55:00,,,,4,,,148/14/3,,,27,,5,1-2-3,,
,18,FR2837,B738,EIEVL,TLV,KUN,16:40:00,,,,4,,,,,,,,,,,
,19,FR1794,B738,EIEVL,KUN,MXP,17:30:00,,,,4,,,119/1/0,,SKIX2,10,,2,1-2-3,,
,20,FR9098,B738,EIENH,ALC,KUN,19:00:00,,,,4,,,,,,,,,,,
,21,FR9099,B738,EIENH,KUN,ALC,19:25:00,,,,4,,,179/10/3,,,57,,2,1-2-3,,
,22,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,,
,23,SRN6911,AT72,,RIX,KUN,21:15:00,,,,9,,,,,,,,,,,
,24,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,,
,25,FR3466,B738,EIENL,LTN,KUN,21:50:00,,,,3,,,,,,,,,,,
,26,FR1793,B738,EIEVL,MXP,KUN,23:05:00,,,,5,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
