Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.11.24,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,E170,,WAW,KUN,00:45:00,,,,7,,,,,,,,,,,,
,4,LO796,E170,,KUN,WAW,06:15:00,,,,7,,,C0/P0/Y26,,,26,,1,8-9,,,
,5,FR7621,B738,EIDWE,KUN,CPH,06:20:00,,,,5,,,190/7/0,,WCHR,32,,2,1-2-3,,,
,6,FR2836,B738,EIEXE,KUN,TLV,08:00:00,,,,8,,,138/5/0,,,57,,5,1-2-3,,,
,7,W98122,A320,,LTN,KUN,10:30:00,,,,4,,,,,,,,,,,,
,8,W98121,A320,,KUN,LTN,11:05:00,,,,4,,,163/17/4,,,77,,5,4-5-6,,,
,9,W68146,A320,,SVG,KUN,12:15:00,,,,4,,,,,,,,,,,,
,10,W68145,A320,,KUN,SVG,12:45:00,,,,4,,,153/6/5,,,70,,2,4-5-6,,,
,11,VALOR76,C21A,0083,VNO,KUN,13:45:00,,,,6,,,,,,,,,,,,
,12,VALOR76,C21A,0083,KUN,VNO,15:00:00,,,,6,,,,,,,,,,,,
,13,FR7620,B738,EIDWJ,CPH,KUN,14:40:00,,,,3,,,,,,,,,,,,
,14,FR3467,B738,EIDWJ,KUN,LTN,15:30:00,,,,3,,,170/16/4,,,43,,6,1-2-3,,,
,15,FR2144,B738,EIFOC,STN,KUN,15:00:00,,,,4,,,,,WCHR,,,,,,,
,16,FR2145,B738,EIFOC,KUN,STN,15:25:00,,,,4,,,175/11/1,,WCHS,39,,5,1-2-3,,,
,17,FR2837,B738,EIEXE,TLV,KUN,16:40:00,,,,4,,,,,,,,,,,,
,18,FR1794,B738,EIEXE,KUN,MXP,17:30:00,,,,4,,,136/4/1,,,28,,2,1-2-3,,,
,19,FR9098,B738,EIENH,ALC,KUN,19:00:00,,,,4,,,,,,,,,,,,
,20,FR9099,B738,EIENH,KUN,ALC,19:25:00,,,,4,,,178/11/2,,,46,,1,1-2-3,,,
,21,FR3466,B738,EIDWJ,LTN,KUN,21:25:00,,,,3,,,,,,,,,,,,
,22,FR1793,B738,EIEXE,MXP,KUN,23:05:00,,,,4,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
