Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.11.29,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,,WAW,KUN,00:45:00,,,,7,,,,,,,,,,,
,2,LO796,E170,,KUN,WAW,06:15:00,,,,7,,,0/0/44,,,44,,1,8-9,,
,3,FR7621,B738,EIEVA,KUN,CPH,06:20:00,,,,5,,,152/14/0,,,19,,2,1-2-3,,
,4,FR1794,B738,EIDWJ,KUN,MXP,07:05:00,,,,3,,,171/4/0,,WCHC/WCMP,35,,2,1-2-3,,
,5,SWN7842,ATP,,CGN,KUN,06:55:00,,,,7,,,,,,,,,,,
,6,SWN7843,ATP,,KUN,CGN,08:00:00,,,,7,,,,,,,,,,,
,7,SRN6912,AT72,,CGN,KUN,07:30:00,,,,9,,,,,,,,,,,
,8,SRN6912,AT72,,KUN,RIX,08:45:00,,,,9,,,,,,,,,,,
,9,SPNCG,SR22T,SPNCG,WAW,KUN,08:40:00,,,,3,,,,,,,,,,,
,10,SPNCG,SR22T,SPNCG,KUN,POZ,09:00:00,,,,3,,,,,,,,,,,
,11,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,,
,12,BAF621,E135BJ,CE02,EBMB,KUN,10:00:00,,,,13,,,,8,,,,,,,
,13,BAF621,E135BJ,CE02,KUN,SQQ,14:00:00,,,,13,,,9,,,,,,,,
,14,FR9113,B738,EIGDH,PFO,KUN,10:25:00,,,,3,,,,,,,,,,,
,15,FR9114,B738,EIGDH,KUN,PFO,10:50:00,,,,3,,,153/15/4,,,40,,5,1-2-3,,
,16,W98122,A320,GWUKF,LTN,KUN,10:30:00,,,,4,,,,,,,,,,,
,17,W98121,A320,GWUKF,KUN,LTN,11:05:00,,,,4,,,167/10/2,,,80,,5,4-5-6,,
,18,FR7949,B738,EIGJD,BLQ,KUN,11:25:00,,,,7,,,,,,,,,,,
,19,FR7950,B738,EIGJD,KUN,BLQ,11:50:00,,,,7,,,156/4/2,,,26,,2,1-2-3,,
,20,FR1793,B738,EIDWJ,MXP,KUN,12:40:00,,,,4,,,,,,,,,,,
,21,FR2618,B738,EIEVH,KUN,VDA,13:30:00,,,,2,,,159/14/1,,,72,,5,1-2-3,,
,22,FR7620,B738,EIEVA,CPH,KUN,14:40:00,,,,2,,,,,,,,,,,
,23,FR3467,B738,EIDWJ,KUN,LTN,15:55:00,,,,4,,,173/9/1,,WCHC,41,,5,1-2-3,,
,24,FR1333,B738,EIEBA,NAP,KUN,16:50:00,,,,4,,,,,,,,,,,
,25,FR1334,B738,EIEBA,KUN,NAP,17:15:00,,,,4,,,177/9/5,,,32,,2,1-2-3,,
,26,FR8822,B738,EIGDY,SNN,KUN,20:50:00,,,,4,,,,,WCHR,,,,,,
,27,FR8821,B738,EIGDY,KUN,SNN,21:15:00,,,,4,,,164/27/5,,WCHS,82,,5,1-2-3,,
,28,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,,
,29,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,,
,30,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,,
,31,FR3466,B738,EIDWJ,LTN,KUN,21:50:00,,,,3,,,,,,,,,,,
,32,FR2619,B738,EIEVH,VDA,KUN,23:10:00,,,,5,,,,,,,,,,,
,33,HAT4369,B734,9HGTC,KUN,MXP,00:00:00,,,,6,,,30,,,,,,,,
,,,,,,,,,,,,,,39,8,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
