Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.10.18,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,,WAW,KUN,00:45:00,,,,4,,,,,,,,,,,
,2,LO796,E170,,KUN,WAW,06:15:00,,,,4,,,0C/1P/33Y,,,34,,1,8-9,,
,3,FR7621,B738,EIDWP,KUN,CPH,06:25:00,,,,2,,,186/11/2,,WCHS/WCHR,15,,2,1-2-3,,
,4,FR2145,B738,EIFOF,KUN,LTN,07:30:00,,,,3,,,176/10/6,,,8,,5,1-2-3,,
,5,SRN6912,AT72,,EDDK,KUN,07:30:00,,,,9,,,,,,,,,,,
,6,SRN6912,AT72,,KUN,RIX,08:45:00,,,,9,,,,,,,,,,,
,7,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,,
,8,FR9113,B738,EIGDE,PFO,KUN,10:25:00,,,,2,,,,,,,,,,,
,9,FR9114,B738,EIGDE,KUN,PFO,10:50:00,,,,2,,,156/24/1,,,23,,6,1-2-3,,
,10,W68122,A320,GWUKE,LTN,KUN,10:40:00,,,,4,,,,,,,,,,,
,11,W68121,A320,GWUKE,KUN,LTN,11:10:00,,,,4,,,178/5/7,,WCHS,25,,5,4-5-6,,
,12,W68146,A320,HALYD,SVG,KUN,11:35:00,,,,7,,,,,,,,,,,
,13,W68145,A320,HALYD,KUN,SVG,12:05:00,,,,7,,,142/21/1,,,10,,1,4-5-6,,
,14,FR2144,B738,EIFOF,LTN,KUN,13:35:00,,,,4,,,,,,,,,,,
,15,FR3964,B738,EIFOF,KUN,RMI,14:25:00,,,,4,,,156/24/1,,,15,,2,1-2-3,,
,16,TK3517,B738,TCJGU,SAW,KUN,13:20:00,,,,6,,,32,,,,,,,,
,17,TK3518,B738,TCJGU,KUN,SAW,14:20:00,,,,6,,,,,,,,,,,
,18,KLJ101,B735,LYKLJ,LTBA,KUN,13:55:00,,,,8,,,,,,,,,,,
,19,FR7620,B738,EIDWP,CPH,KUN,14:35:00,,,,2,,,,,,,,,,,
,20,FR8821,B738,EIDWP,KUN,SNN,16:00:00,,,,2,,,166/25/4,,,18,,6,1-2-3,,
,21,FR3728,B738,EIDCP,BOJ,KUN,16:15:00,,,,4,,,,,,,,,,,
,22,FR3729,B738,EIDCP,KUN,BOJ,16:40:00,,,,4,,,147/14/1,,WCHC/WCMP,9,,5,1-2-3,,
,23,FR1333,B738,EIFIB,NAP,KUN,16:55:00,,,,7,,,,,,,,,,,
,24,FR1334,B738,EIFIB,KUN,NAP,17:20:00,,,,7,,,164/13/4,,,13,,2,1-2-3,,
,25,FR3965,B738,EIFOF,RMI,KUN,19:50:00,,,,3,,,,,,,,,,,
,26,FR9098,B738,EIEBR,ALC,KUN,20:15:00,,,,4,,,,,WCHR,,,,,,
,27,FR9099,B738,EIEBR,KUN,ALC,20:40:00,,,,4,,,160/20/4,,WCHS/WCMP,23,,2,1-2-3,,
,28,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,,
,29,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,,
,30,SRN6911,AT72,,KUN,EDDK,21:50:00,,,,9,,,,,,,,,,,
,31,FR8822,B738,EIDWP,SNN,KUN,23:10:00,,,,2,,,,,WCHS,,,,,,
,,,,,,,,,,,,,,32,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
