Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.11.06,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,B737,,WAW,KUN,00:45:00,CNL,,,,,,,,,,,,,,
,2,LO796,B737,,KUN,WAW,06:15:00,CNL,,,,,,,,,,,1,8-9,,
,3,FR7621,B738,EIDWR,KUN,CPH,06:20:00,,,,4,,,185/4/1,,2*WCHR;WCBD,43,,2,1-2-3,,
,4,FR2836,B738,EIEXE,KUN,TLV,08:00:00,,,,2,,,168/4/0,,,85,,5,1-2-3,,
,5,SRN6912,AT72,,EDDK,KUN,08:00:00,,,,9,,,,,,,,,,,
,6,SRN6912,AT72,,KUN,RIX,08:45:00,,,,9,,,,,,,,,,,
,7,DECMR,SR22T,DECMR,WAW,KUN,08:45:00,,,,2,,,,,,,,,,,
,8,DECMR,SR22T,DECMR,KUN,EPBC,09:00:00,,,,2,,,,,,,,,,,
,9,SAR802,SF34,,WAW,KUN,09:50:00,,,,9,,,,,,,,,,,
,10,W68146,A320,HALWS,SVG,KUN,12:15:00,,,,4,,,,,,,,,,,
,11,W68145,A320,HALWS,KUN,SVG,12:45:00,,,,4,,,150/9/3,,,94,,2,4-5-6,,
,12,N775RP,CL60,N775RP,PRG,KUN,13:25:00,,,,6,,,,1,,,,,,,
,13,N775RP,CL60,N775RP,KUN,RIX,17:30:00,,,,6,,,1,,,,,,,,
,14,FR7620,B738,EIDWR,CPH,KUN,14:40:00,,,,4,,,,,,,,,,,
,15,FR3467,B738,EIDWR,KUN,LTN,15:30:00,,,,4,,,181/8/4,,WCHS/WCMP,65,,5,1-2-3,,
,16,FR2837,B738,EIEXE,TLV,KUN,16:40:00,,,,4,,,,,,,,,,,
,17,FR1794,B738,EIEXE,KUN,MXP,17:30:00,,,,4,,,155/11/1,,,41,,2,1-2-3,,
,18,OS1475,A320,OELBJ,VIE,KUN,15:50:00,,,,15,,,,,,,,,,,
,19,FR9098,B738,EIGDY,ALC,KUN,19:00:00,,,,4,,,,,,,,,,,
,20,FR9099,B738,EIGDY,KUN,ALC,19:25:00,,,,4,,,175/7/2,,,63,,2,1-2-3,,
,21,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,,
,22,SRN6911,AT72,,RIX,KUN,21:15:00,,,,9,,,,,,,,,,,
,23,SRN6911,AT72,,KUN,EDDK,21:50:00,,,,9,,,,,,,,,,,
,24,FR3466,B738,EIDWR,LTN,KUN,21:25:00,,,,2,,,,,,,,,,,
,25,FR1793,B738,EIEXE,MXP,KUN,23:05:00,,,,4,,,,,,,,,,,
,,,,,,,,,,,,,,1,1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
