Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.11.12,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E75S,,WAW,KUN,00:45:00,,,,7,,,,,,,,,,
,2,LO796,E75S,,KUN,WAW,06:15:00,,,,7,,,1C/7P/36Y,,,44,,1,8-9,
,3,FR7621,B738,EIDWC,KUN,CPH,06:20:00,,,,4,,,192/5/1,,WCHR*2,65,,2,1-2-3,
,4,FR2145,B738,EIENF,KUN,STN,06:40:00,,,,3,,,178/9/3,,WCHC,34,,5,1-2-3,
,5,SRN6912,AT72,,CGN,KUN,07:30:00,,,,9,,,,,,,,,,
,6,SRN6912,AT72,,KUN,RIX,08:05:00,,,,9,,,,,,,,,,
,7,LG041,B737,LXLGS,LUX,KUN,09:05:00,,,,12,,,,,,,,,,
,8,SAR802,SF34,,WAW,KUN,09:20:00,,,,9,,,,,,,,,,
,9,W98122,A320,GWUKB,LTN,KUN,10:30:00,,,,4,,,,,,,,,,
,10,W98121,A320,GWUKB,KUN,LTN,11:05:00,,,,4,,,172/9/1,,,101,,5,4-5-6,
,11,W68148,A320,HALYD,TKU,KUN,11:10:00,,,,7,,,,,,,,,,
,12,W68147,A320,HALYD,KUN,TKU,11:40:00,,,,7,,,106/3/0,,,81,,2,4-5-6,
,13,FR2144,B738,EIENF,STN,KUN,12:20:00,,,,2,,,,,,,,,,
,14,FR3467,B738,EIENF,KUN,LTN,15:55:00,,,,2,,,178/6/2,,BLND,51,,5,1-2-3,
,15,W68152,A321,HALXS,EIN,KUN,12:50:00,,,,4,,,,,,,,,,
,16,W68151,A321,HALXS,KUN,EIN,13:25:00,,,,4,,,212/6/6,,,117,,2,4-5-6,
,17,FR7620,B738,EIDWC,CPH,KUN,14:40:00,,,,4,,,,,,,,,,
,18,FR2972,B738,EIDWC,KUN,DUB,15:40:00,,,,4,,,176/15/5,,WCHC,65,,6,1-2-3,
,19,W68144,A320,HALPO,BGO,KUN,18:20:00,,,,4,,,,,,,,,,
,20,W68143,A320,HALPO,KUN,BGO,18:50:00,,,,4,,,142/8/3,,,72,,2,4-5-6,
,21,FR7949,B738,EIDLH,BLQ,KUN,19:30:00,,,,7,,,,,,,,,,
,22,FR7950,B738,EIDLH,KUN,BLQ,19:55:00,,,,7,,,138/3/2,,,50,,2,1-2-3,
,23,W68142,A321,HALWE,AES,KUN,19:45:00,,,,4,,,,,,,,,,
,24,W68141,A321,HALWE,KUN,AES,20:30:00,,,,4,,,168/4/4,,,109,,2,4-5-6,
,25,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,
,26,FR8681,B738,EIEVO,BRS,KUN,20:30:00,,,,2,,,,,DEAF,,,,,
,27,FR8682,B738,EIEVO,KUN,BRS,20:55:00,,,,2,,,173/10/4,,WCHS,73,,5,1-2-3,
,28,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,
,29,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,
,30,FR3466,B738,EIENF,LTN,KUN,21:25:00,,,,2,,,,,,,,,,
,31,FR2971,B738,EIDWC,DUB,KUN,22:30:00,,,,4,,,,,WCHR,,,,,
,,,,,,,,,,,,,,0,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
