Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.11.21,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,DH8D,,WAW,KUN,00:45:00,,,,7,,,,,,,,,,,
,2,LO796,DH8D,,KUN,WAW,06:15:00,,,,7,,,0C/0P/34Y,,,34,,1,8-9,,
,3,FR7621,B738,EIEVX,KUN,CPH,06:20:00,,,,5,,,176/4/4,,,24,,2,1-2-3,,
,4,FR2145,B738,EIDWE,KUN,STN,06:40:00,,,,2,,,173/12/1,,WCHR;WCHS,41,,5,1-2-3,,
,5,SWN7842,ATP,,CGN,KUN,06:55:00,,,,7,,,,,,,,,,,
,6,SWN7843,ATP,,KUN,CGN,08:00:00,,,,7,,,,,,,,,,,
,7,SRN6912,AT72,,EDDK,KUN,08:00:00,,,,9,,,,,,,,,,,
,8,SRN6912,AT72,,KUN,RIX,08:45:00,,,,9,,,,,,,,,,,
,9,DECMR,SR22T,DECMR,WAW,KUN,08:40:00,,,,2,,,,,,,,,,,
,10,DECMR,SR22T,DECMR,KUN,WAW,09:00:00,,,,2,,,,,,,,,,,
,11,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,,
,12,W98122,A320,GWUKB,LTN,KUN,10:30:00,,,,4,,,,,BLND/DEAF/MAAS,,,,,,
,13,W98121,A320,GWUKB,KUN,LTN,11:05:00,,,,4,,,175/14/6,,,86,,5,4-5-6,,
,14,ABF1B,C25A,OHSWI,KUN,VNO,11:00:00,,,,6,,,,,,,,,,,
,15,ABF2B,C25A,OHSWJ,KUN,VNO,11:00:00,,,,3,,,,,,,,,,,
,16,FR2144,B738,EIDWE,STN,KUN,12:20:00,,,,2,,,,,WCHC,,,,,,
,17,FR2972,B738,EIEXE,KUN,DUB,15:40:00,,,,7,,,163/28/2,,WCHS,61,,5,1-2-3,,
,18,FR7620,B738,EIEVX,CPH,KUN,14:40:00,,,,8,,,,,,,,,,,
,19,FR3467,B738,EIDWE,KUN,LTN,15:55:00,,,,2,,,178/10/4,,WCHR,42,,5,1-2-3,,
,20,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,,
,21,SRN6911,AT72,,RIX,KUN,21:15:00,,,,9,,,,,,,,,,,
,22,SRN6811,AT72,,KUN,EDDK,21:50:00,,,,9,,,,,,,,,,,
,23,FR3466,B738,EIDWE,LTN,KUN,21:25:00,,,,2,,,,,,,,,,,
,24,FR2971,B738,EIEXE,DUB,KUN,22:30:00,,,,5,,,,,WCHR,,,,,,
,25,RLU5551,CRJ100,,VKO,KUN,01:30:00,,,,6,,,,25,,,,,,,
,26,RLU5552,CRJ100,,KUN,VKO,03:30:00,,,,6,,,,,,,,,,,
,,,,,,,,,,,,,,0,25,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
