Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.10.19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,DH8D,,WAW,KUN,00:45:00,,,,4,,,,,,,,,,
,2,LO796,DH8D,,KUN,WAW,06:15:00,,,,4,,,C0/P0/Y27,,,27,,1,8-9,
,3,FR7621,B738,EIDWP,KUN,CPH,06:25:00,,,,2,,,185/8/2,,,14,,2,1-2-3,
,4,FR2145,B738,EIFOF,KUN,LTN,07:30:00,,,,3,,,173/12/4,,WCHR,14,,5,1-2-3,
,5,SRN6912,AT72,,EDDK,KUN,07:20:00,,,,9,,,,,,,,,,
,6,SRN6912,AT72,,KUN,EVRA,08:05:00,,,,9,,,,,,,,,,
,7,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,
,8,W68122,A320,GWUKD,LTN,KUN,10:40:00,,,,4,,,,,,,,,,
,9,W68121,A320,GWUKD,KUN,LTN,11:10:00,,,,4,,,176/10/5,,WCHR,13,,5,4-5-6,
,10,FR4480,B738,EIENA,GRO,KUN,12:15:00,,,,7,,,,,WCHC/WCMP,,,,,
,11,FR4481,B738,EIENA,KUN,GRO,12:40:00,,,,7,,,152/23/4,,,11,,2,1-2-3,
,12,W68152,A321,HALXS,EIN,KUN,12:50:00,,,,4,,,,,,,,,,
,13,W68151,A321,HALXS,KUN,EIN,13:25:00,,,,4,,,204/10/1,,,36,,2,4-5-6,
,14,FR2144,B738,EIFOF,LTN,KUN,13:35:00,,,,2,,,,,,,,,,
,15,FR2972,B738,EIFOF,KUN,DUB,15:40:00,,,,2,,,176/15/5,,WCHS,13,,5,1-2-3,
,16,W68144,A320,HALPT,BGO,KUN,14:25:00,,,,4,,,,,,,,,,
,17,W68143,A320,HALPT,KUN,BGO,14:55:00,,,,4,,,168/8/4,,,30,,2,4-5-6,
,18,FR7620,B738,EIDWP,CPH,KUN,14:40:00,,,,7,,,,,,,,,,
,19,FR2747,B738,EIDWP,KUN,STN,17:10:00,,,,7,,,176/8/5,,,13,,5,1-2-3,
,20,BAF615,E145,CE03,EDDF,KUN,17:45:00,,,,6,,,,14,,,,,,
,21,BAF615,E145,CE03,KUN,EYVI,18:45:00,,,,6,,,,,,,,,,
,22,W68142,A321,HALXF,AES,KUN,18:55:00,,,,4,,,,,,,,,,
,23,W68141,A321,HALXF,KUN,AES,19:30:00,,,,4,,,182/21/6,,,24,,2,4-5-6,
,24,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,
,25,SRN6911,AT72,,EVRA,KUN,21:15:00,,,,9,,,,,,,,,,
,26,SRN6911,AT72,,KUN,EDDK,21:50:00,,,,9,,,,,,,,,,
,27,FR2971,B738,EIENF,DUB,KUN,22:55:00,,,,3,,,,,WCHS,,,,,
,28,FR2746,B738,EIDWP,STN,KUN,23:00:00,,,,2,,,,,,,,,,
,,,,,,,,,,,,,,0,14,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
