Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.10.25,,,,,,,,,Renatas Venckūnas,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,,WAW,KUN,00:45:00,,,,4,,,,,,,,,,,
,2,KLJ1150,B735,LYKLJ,STN,KUN,03:25:00,,,,8,,,,,,,,,,,
,3,KLJ102,B735,LYKLJ,KUN,ATH,11:00:00,,,,8,,,50,,,,,1,4,,
,4,LO796,E170,,KUN,WAW,06:15:00,,,,4,,,0C/1P/44Y,,,45,,1,8-9,,
,5,FR7621,B738,EIDAN,KUN,CPH,06:25:00,,,,2,,,186/12/1,,,8,,2,1-2-3,,
,6,FR2145,B738,EIENF,KUN,LTN,07:30:00,,,,3,,,153/34/1,,,14,,5,1-2-3,,
,7,SRN6912,AT72,,CGN,KUN,07:30:00,,,,9,,,,,,,,,,,
,8,SRN6912,AT72,,KUN,RIX,08:45:00,,,,9,,,,,,,,,,,
,9,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,,
,10,FR9113,B738,EIEVG,PFO,KUN,10:25:00,,,,2,,,,,,,,,,,
,11,FR9114,B738,EIEVG,KUN,PFO,10:50:00,,,,2,,,128/45/3,,,18,,6,1-2-3,,
,12,FR1234,B738,EIENH,KUN,KUN,10:30:00,,,,10,,,,,,,,,,,
,13,W68122,A320,GWUKF,LTN,KUN,10:40:00,,,,4,,,,,,,,,,,
,14,W68121,A320,GWUKF,KUN,LTN,11:10:00,,,,4,,,153/36/3,,,21,,5,5-6,,
,15,FR1234,B738,EIENH,KUN,KUN,11:30:00,,,,5,,,,,,,,,,,
,16,FR3964,B738,EIENH,KUN,RMI,14:25:00,,,,5,,,164/6/2,,,13,,2,1-2-3,,
,17,W68146,A320,HALPZ,SVG,KUN,11:35:00,,,,7,,,,,,,,,,,
,18,W68145,A320,HALPZ,KUN,SVG,12:05:00,,,,7,,,144/23/2,,,25,,1,4-5-6,,
,19,FR2144,B738,EIENF,LTN,KUN,13:35:00,,,,6,,,,,,,,,,,
,20,FR7620,B738,EIDAN,CPH,KUN,14:35:00,,,,2,,,,,,,,,,,
,21,FR8821,B738,EIDAN,KUN,SNN,16:00:00,,,,2,,,164/26/4,,WCHS;WCHR,29,,6,1-2-3,,
,22,FR3728,B738,EIDPD,BOJ,KUN,16:15:00,,,,4,,,,,,,,,,,
,23,FR3729,B738,EIDPD,KUN,BOJ,16:40:00,,,,4,,,40/1/2,,,7,,5,1-2-3,,
,24,FR1333,B738,EIFIB,NAP,KUN,16:55:00,,,,7,,,,,,,,,,,
,25,FR1334,B738,EIFIB,KUN,NAP,17:20:00,,,,7,,,164/14/2,,WCHC/WCMP,12,,2,1-2-3,,
,26,FR3965,B738,EIENH,RMI,KUN,19:50:00,,,,3,,,,,,,,,,,
,27,FR9098,B738,EIGSG,ALC,KUN,20:15:00,,,,4,,,,,,,,,,,
,28,FR9099,B738,EIGSG,KUN,ALC,20:40:00,,,,4,,,145/39/1,,,47,,2,1-2-3,,
,29,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,,
,30,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,,
,31,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,,
,32,FR8822,B738,EIDAN,SNN,KUN,23:10:00,,,,2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
