Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.11.19,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojamas,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,E75S,SPLIO,WAW,KUN,00:45:00,,,,7,,,,,,,,,,
,2,LO796,E75S,SPLIO,KUN,WAW,06:15:00,,,,7,,,C0/P0/Y42,,2 STAFF,42,,1,8-9,
,3,FR7621,B738,EIEVX,KUN,CPH,06:20:00,,,,4,,,191/5/1,,WCHR,49,,2,1-2-3,
,4,FR2145,B738,EIEXF,KUN,STN,06:40:00,,,,2,,,176/8/11,,WCHR;MAAS,46,,5,1-2-3,
,5,SRN6912,AT72,,CGN,KUN,07:30:00,,,,9,,,,,,,,,,
,6,SRN6912,AT72,,KUN,RIX,08:05:00,,,,9,,,,,,,,,,
,8,SAR802,SF34,,WAW,KUN,09:20:00,,,,9,,,,,,,,,,
,9,W98122,A320,GWUKF,LTN,KUN,10:30:00,,,,4,,,,,,,,,,
,10,W98121,A320,GWUKF,KUN,LTN,11:05:00,,,,4,,,170/13/2,,,97,,5,4-5-6,
,11,W68148,A320,HALWE,TKU,KUN,11:10:00,,,,7,,,,,,,,,,
,12,W68147,A320,HALWE,KUN,TKU,11:40:00,,,,7,,,98/5/0,,,61,,2,4-5-6,
,13,FR2144,B738,EIEXF,STN,KUN,12:20:00,,,,2,,,,,,,,,,
,14,FR3467,B738,EIEXF,KUN,LTN,15:55:00,,,,2,,,177/14/3,,,58,,5,1-2-3,
,15,W68152,A321,HALXY,EIN,KUN,12:50:00,,,,4,,,,,,,,,,
,16,W68151,A321,HALXY,KUN,EIN,13:25:00,,,,4,,,211/4/1,,,102,,2,4-5-6,
,17,FR7620,B738,EIEVX,CPH,KUN,14:40:00,,,,7,,,,,,,,,,
,18,FR2972,B738,EIEVX,KUN,DUB,15:40:00,,,,7,,,178/12/4,,WCHC;WCHR,73,,6,1-2-3,
,19,RRR2180,KC30,ZZ330,EGVN,KUN,17:25:00,,,,3L,,,,,,,,,,
,20,W68144,A320,HALPO,BGO,KUN,18:20:00,,,,4,,,,,,,,,,
,21,W68143,A320,HALPO,KUN,BGO,18:50:00,,,,4,,,137/4/2,,,71,,2,4-5-6,
,22,FR7949,B738,EIFOL,BLQ,KUN,19:30:00,,,,7,,,,,,,,,,
,23,FR7950,B738,EIFOL,KUN,BLQ,19:55:00,,,,7,,,164/5/1,,,42,,2,1-2-3,
,24,W68142,A321,HALWN,AES,KUN,19:45:00,,,,4,,,,,,,,,,
,25,W68141,A321,HALWN,KUN,AES,20:30:00,,,,4,,,150/16/5,,,91,,2,4-5-6,
,26,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,
,27,FR8681,B738,EIEVO,BRS,KUN,20:30:00,,,,7,,,,,,,,,,
,28,FR8682,B738,EIEVO,KUN,BRS,20:55:00,,,,7,,,173/10/5,,DEAF;WCHC,76,,5,1-2-3,
,29,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,
,30,RRR2181,KC30,ZZ330,KUN,EGVN,21:25:00,,,,3L,,,,125,,,,,,
,31,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,
,32,FR3466,B738,EIEXF,LTN,KUN,21:25:00,,,,4,,,,,,,,,,
,33,FR2971,B738,EIEVX,DUB,KUN,22:30:00,,,,2,,,,,,,,,,
,,,,,,,,,,,,,,0,125,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
