Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.12.13,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,SPEQL,WAW,KUN,00:45:00,,,,7,,,,,,,,,,,
,2,LO796,E170,SPEQL,KUN,WAW,06:15:00,,,,7,,,0C/0P/36Y,,,36,,1,8-9,,
,3,FR7621,B738,EIEBH,KUN,CPH,06:20:00,,,,2,,,67/0/0,,,12,,2,1-2-3,,
,4,FR1794,B738,EIEVL,KUN,MXP,07:05:00,,,,5,,,123/6/0,,,12,,2,1-2-3,,
,5,SWN7842,ATP,,CGN,KUN,06:55:00,,,,8,,,,,,,,,,,
,6,SWN7843,ATP,,KUN,CGN,08:00:00,,,,8,,,,,,,,,,,
,7,SRN6912,AT72,,CGN,KUN,07:30:00,,,,9,,,,,,,,,,,
,8,SRN6912,AT72,,KUN,RIX,08:45:00,,,,9,,,,,,,,,,,
,9,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,,
,10,FR9113,B738,EIEGD,PFO,KUN,10:25:00,,,,2,,,,,,,,,,,
,11,FR9114,B738,EIEGD,KUN,PFO,10:50:00,,,,2,,,158/19/3,,,24,,5,1-2-3,,
,12,W98122,A320,GWUKE,LTN,KUN,10:30:00,,,,4,,,,,,,,,,,
,13,W98121,A320,GWUKE,KUN,LTN,11:05:00,,,,4,,,88/1/1,,,35,,5,4-5-6,,
,14,FR7949,B738,EIDWY,BLQ,KUN,11:25:00,,,,7,,,,,,,,,,,
,15,FR7950,B738,EIDWY,KUN,BLQ,11:50:00,,,,7,,,163/5/4,,,39,,2,1-2-3,,
,16,KLJ106,B735,LYKLJ,KUN,MUC,12:00:00,,,,6,,,56,,,,,,,,
,17,FR1793,B738,EIEVL,MXP,KUN,12:40:00,,,,4,,,,,,,,,,,
,18,FR2618,B738,EIEVL,KUN,VDA,13:30:00,,,,4-,,,170/9/2,,,46,,5,1-2-3,,
,19,FR7620,B738,EIEBH,CPH,KUN,14:40:00,,,,4,,,,,,,,,,,
,20,FR3467,B738,EIEBH,KUN,LTN,15:55:00,,,,4,,,97/6/1,,WCHS,13,,5,1-2-3,,
,21,FR1333,B738,EIEBO,NAP,KUN,16:50:00,,,,4,,,,,,,,,,,
,22,FR1334,B738,EIEBO,KUN,NAP,17:15:00,,,,4,,,180/8/1,,,28,,2,1-2-3,,
,23,BAF666,C130,CH10,KUN,LUX,17:00:00,,,,16R,,,,,,,,,,,
,24,FR8822,B738,EIEKB,SNN,KUN,20:50:00,,,,4,,,,,,,,,,,
,25,FR8821,B738,EIEKB,KUN,SNN,21:15:00,,,,4,,,169/17/7,,WCHR;WCHR/WCMP,68,,5,1-2-3,,
,26,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,,
,27,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,,
,28,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,,
,29,FR3466,B738,EIEBH,LTN,KUN,21:50:00,,,,2,,,,,WCHR,,,,,,
,30,FR2619,B738,EIEVL,VDA,KUN,23:10:00,,,,5,,,,,,,,,,,
,,,,,,,,,,,,,,56,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
