Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22
,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,,,
,,,,,2018.11.02,,,,,,,Renatas Venckūnas,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,
,1,LO795,DH8D,,WAW,KUN,00:45:00,CNL,,,7,,,,,,,,,,
,2,LO796,DH8D,,KUN,WAW,06:15:00,CNL,,,7,,,,,,,,1,8-9,
,3,FR7621,B738,EIENH,KUN,CPH,06:20:00,,,,4,,,188/6/5,,SPRT,38,,2,1-2-3,
,4,FR2145,B738,EIEVW,KUN,STN,06:40:00,,,,2,,,171/10/3,,,74,,5,1-2-3,
,5,SRN6912,AT72,,CGN,KUN,07:20:00,,,,9,,,,,,,,,,
,6,SRN6912,AT72,,KUN,RIX,08:05:00,,,,9,,,,,,,,,,
,7,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,
,8,W98122,A320,GWUKF,LTN,KUN,10:40:00,,,,4,,,,,WCHR,,,,,
,9,W98121,A320,GWUKF,KUN,LTN,11:05:00,,,,4,,,156/10/1,,,108,,5,4-5-6,
,10,W68152,A321,HALXS,EIN,KUN,12:50:00,,,,4,,,,,,,,,,
,11,W68151,A321,HALXS,KUN,EIN,13:25:00,,,,4,,,195/13/2,,,98,,2,4-5-6,
,12,FR2144,B738,EIEVW,STN,KUN,12:20:00,,,,2,,,,,WCHS/WCBD,,,,,
,13,FR3467,B738,EIEVW,KUN,LTN,15:55:00,,,,2,,,164/21/6,,,62,,5,1-2-3,
,14,FR7620,B738,EIENH,CPH,KUN,14:40:00,,,,4,,,,,,,,,,
,15,FR2972,B738,EIENH,KUN,DUB,15:40:00,,,,4,,,157/32/1,,WCHC,71,,5,1-2-3,
,16,W68144,A320,HALPO,BGO,KUN,18:20:00,,,,4,,,,,,,,,,
,17,W68143,A320,HALPO,KUN,BGO,18:50:00,,,,4,,,132/13/2,,,91,,2,4-5-6,
,18,W68142,A321,HALYD,AES,KUN,19:45:00,,,,4,,,,,,,,,,
,19,W68141,A321,HALYD,KUN,AES,20:30:00,,,,4,,,148/15/7,,,110,,2,4-5-6,
,20,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,
,21,FR8691,B738,EIFTL,BRS,KUN,20:30:00,,,,2,,,,,,,,,,
,22,FR8682,B738,EIFTL,KUN,BRS,20:55:00,,,,2,,,159/30/2,,,96,,5,1-2-3,
,23,SRN6911,AT72,,RIX,KUN,21:15:00,,,,9,,,,,,,,,,
,24,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,
,25,FR3466,B738,EIEVW,LTN,KUN,21:50:00,,,,2,,,,,WCHR,,,,,
,26,FR2971,B738,EIEXE,DUB,KUN,22:30:00,,,,4,,,,,WCHR,,,,,
,27,AXY0201,B735,9HOME,KUN,MAD,23:30:00,,,,6,,,40,,,,,,,
,,,,,,,,,,,,,,40,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
