Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.10.06,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,E170,,WAW,KUN,00:45:00,,,,4,,,,,,,,,,,,
,2,LO796,E170,,KUN,WAW,06:15:00,,,,4,,,C0/P1/Y34,,WCHR,35,,1,8-9,,,
,3,FR7621,B738,EIENH,KUN,CPH,06:25:00,,,,2,,,181/9/2,,,11,,2,1-2-3,,,
,4,FR2145,B738,EIFTA,KUN,LTN,07:30:00,,,,3,,,176/6/4,,,12,,5,1-2-3,,,
,5,W68122,A320,GWUKE,LTN,KUN,10:40:00,,,,5,,,,,WCHS,,,,,,,
,6,W68121,A320,GWUKE,KUN,LTN,11:50:00,,,,5,,,182/7/4,,,24,,5,4-5-6,,,
,7,FR2886,B738,EIGJT,EDI,KUN,11:30:00,,,,2,,,,,DPNA*2,,,,,,,
,8,FR2885,B738,EIGJT,KUN,EDI,11:55:00,,,,2,,,180/8/4,,WCHS/WCMP; WCHS,28,,6,1-2-3,,,
,9,W68146,A320,HALPN,SVG,KUN,11:35:00,,,,7,,,,,,,,,,,,
,10,W68145,A320,HALPN,KUN,SVG,12:05:00,,,,7,,,168/8/2,,,52,,1,4-5-6,,,
,11,FR8681,B738,EIFTL,BRS,KUN,11:50:00,,,,4,,,,,WCHS,,,,,,,
,12,FR8682,B738,EIFTL,KUN,BRS,12:15:00,,,,4,,,170/17/1,,WCHC,25,,5,1-2-3,,,
,13,FR2144,B738,EIFTA,LTN,KUN,13:35:00,,,,7,,,,,,,,,,,,
,14,FR2422,B738,EIFTA,KUN,RHO,16:15:00,,,,7,,,161/14/6,,,28,,2,1-2-3,,,
,15,FR7620,B738,EIENH,CPH,KUN,14:35:00,,,,2,,,,,,,,,,,,
,16,FR2747,B738,EIENH,KUN,STN,17:10:00,,,,2,,,175/9/5,,WCHS,15,,5,1-2-3,,,
,17,FR9098,B738,EIEFY,ALC,KUN,20:15:00,,,,4,,,,,,,,,,,,
,18,FR9099,B738,EIEFY,KUN,ALC,20:40:00,,,,4,,,170/15/7,,WCHC; WCHS,41,,1,1-2-3,,,
,19,FR7886,B738,EIDYC,PMI,KUN,20:50:00,,,,7,,,,,,,,,,,,
,20,FR7885,B738,EIDYC,KUN,PMI,21:15:00,,,,7,,,163/12/6,,WCHC,23,,2,1-2-3,,,
,21,FR2746,B738,EIENH,STN,KUN,23:00:00,,,,2,,,,,WCHR,,,,,,,
,22,FR2423,B738,EIFTA,RHO,KUN,23:15:00,,,,4,,,,,,,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
