Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.10.20,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,,
,1,LO795,E170,,WAW,KUN,00:45:00,,,,4,,,,,,,,,,,,
,2,LO796,E170,,KUN,WAW,06:15:00,,,,4,,,1C/0P/44Y,,,44,,1,8-9,,,
,3,FR7621,B738,EIDWP,KUN,CPH,06:25:00,,,,2,,,164/28/5,,,14,,2,1-2-3,,,
,4,FR2145,B738,EIENF,KUN,LTN,07:30:00,,,,3,,,181/7/3,,,12,,5,1-2-3,,,
,5,W68122,A320,GWUKA,LTN,KUN,10:40:00,,,,5,,,,,,,,,,,,
,6,TK3517,B738,,IST,KUN,10:00:00,,,,6,,,,,,,,,,,,
,7,TK3518,B738,,KUN,SAW,11:00:00,,,,6,,,32,,,32,,,,,,
,8,W68121,A320,GWUKA,KUN,LTN,11:50:00,,,,5,,,171/11/1,,,22,,5,4-5-6,,,
,9,FR2886,B738,EIGJT,EDI,KUN,11:30:00,,,,2,,,,,WCHR,,,,,,,
,10,FR2885,B738,EIGJT,KUN,EDI,11:55:00,,,,2,,,165/22/4,,,27,,6,1-2-3,,,
,11,W68146,A320,HALPN,SVG,KUN,11:35:00,,,,7,,,,,,,,,,,,
,12,W68145,A320,HALPN,KUN,SVG,12:05:00,,,,7,,,171/13/3,,,34,,1,4-5-6,,,
,13,FR8681,B738,EIFTL,BRS,KUN,11:50:00,,,,4,,,,,,,,,,,,
,14,FR8682,B738,EIFTL,KUN,BRS,12:15:00,,,,4,,,172/12/5,,WCHC;WCHR,20,,5,1-2-3,,,
,15,FR2144,B738,EIENF,LTN,KUN,13:35:00,,,,7,,,,,,,,,,,,
,16,FR2422,B738,EIENF,KUN,RHO,16:15:00,,,,7,,,141/31/3,,,16,,2,1-2-3,,,
,17,FR10,B738,EIDAI,KUN,KUN,15:00:00,,,,2H,,,,,,,,,,,,
,18,FR10,B738,EIDAI,KUN,KUN,16:00:00,,,,10,,,,,,,,,,,,
,19,FR7620,B738,EIDWP,CPH,KUN,14:35:00,,,,2,,,,,WCHR/WCLB,,,,,,,
,20,FR2747,B738,EIDWP,KUN,STN,17:10:00,,,,2,,,171/10/3,,WCHC;WCHR,16,,5,1-2-3,,,
,21,FR9098,B738,EIESZ,ALC,KUN,20:15:00,,,,4,,,,,,,,,,,,
,22,FR9099,B738,EIESZ,KUN,ALC,20:40:00,,,,4,,,158/27/5,,,28,,1,1-2-3,,,
,23,FR7886,B738,EIEBM,PMI,KUN,20:50:00,,,,7,,,,,,,,,,,,
,24,FR7885,B738,EIEBM,KUN,PMI,21:15:00,,,,7,,,146/18/1,,7*SPRT EQ,20,,2,1-2-3,,,
,25,FR2746,B738,EIDWP,STN,KUN,23:00:00,,,,3,,,,,WCHC,,,,,,,
,26,FR2423,B738,EIENF,RHO,KUN,23:15:00,,,,2,,,,,WCAP/WCHR,,,,,,,
,,,,,,,,,,,,,,32,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
