Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.11.15,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,,WAW,KUN,00:45:00,,,,7,,,,,,,,,,,
,2,LO796,E170,,KUN,WAW,06:15:00,,,,7,,,0C/0P/46Y,,,46,,1,8-9,,
,3,FR7621,B738,EIDWC,KUN,CPH,06:20:00,,,,3,,,180/3/0,,,18,,2,1-2-3,,
,4,FR1794,B738,EIEKD,KUN,MXP,07:05:00,,,,2,,,163/5/1,,,26,,2,1-2-3,,
,5,SRN6912,AT72,,CGN,KUN,07:30:00,,,,9,,,,,,,,,,,
,6,SRN6912,AT72,,KUN,RIX,08:45:00,,,,9,,,,,,,,,,,
,7,DECMR,SR22T,DECMR,EPBC,KUN,08:05:00,,,,2,,,,,,,,,,,
,8,DECMR,SR22T,DECMR,KUN,EPWR,08:30:00,,,,2,,,,,,,,,,,
,9,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,,
,10,YLHML,A109,YLHML,KUN,EPMO,10:00:00,,,,6,,,,,,,,,,,
,11,FR9113,B738,EIEMD,PFO,KUN,10:25:00,,,,2,,,,,,,,,,,
,12,FR9114,B738,EIEMD,KUN,PFO,10:50:00,,,,2,,,155/14/2,,WCHS,47,,5,1-2-3,,
,13,FR7949,B738,EIDLH,BLQ,KUN,11:25:00,,,,7,,,,,,,,,,,
,14,FR7950,B738,EIDLH,KUN,BLQ,11:50:00,,,,7,,,160/2/1,,,57,,2,1-2-3,,
,15,VOR06,DA62,GDVOR,KUN,KUN,11:55:00,,,,13,,,,,,,,,,,
,16,FR1793,B738,EIEKD,MXP,KUN,12:40:00,,,,4,,,,,,,,,,,
,17,FR2618,B738,EIEKD,KUN,VDA,13:30:00,,,,4,,,160/8/2,,,73,,5,1-2-3,,
,18,VOR06,DA62,GDVOR,KUN,KUN,14:25:00,,,,13,,,,,,,,,,,
,19,VOR06,DA62,GDVOR,KUN,VNO,15:25:00,,,,13,,,,,,,,,,,
,20,FR7620,B738,EIFZG,CPH,KUN,14:40:00,,,,4,,,,,WCHR,,,,,,
,21,FR3467,B738,EIFZG,KUN,LTN,15:55:00,,,,4,,,182/4/1,,,49,,5,1-2-3,,
,22,FR1333,B738,EIEBN,NAP,KUN,16:50:00,,,,4,,,,,,,,,,,
,23,FR1334,B738,EIEBN,KUN,NAP,17:15:00,,,,4,,,171/4/3,,,66,,2,1-2-3,,
,24,AEA957,B738,ECIDA,BCN,KUN,19:45:00,,,,6,,,,35,,,,,,,
,25,FR8822,B738,EIEKH,SNN,KUN,20:50:00,,,,4,,,,,WCHR; WCHS,,,,,,
,26,FR8821,B738,EIEKH,KUN,SNN,21:15:00,,,,4,,,164/26/7,,,75,,5,1-2-3,,
,27,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,,
,28,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,,
,29,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,,
,30,FR3466,B738,EIFZG,LTN,KUN,21:50:00,,,,2,,,,,WCHS/ WCMP,,,,,,
,31,FR2619,B738,EIEKD,VDA,KUN,23:10:00,,,,3,,,,,,,,,,,
,,,,,,,,,,,,,,0,35,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
