Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,,
,,,,,2018.11.01,,,,,,,,,Renatas Venckūnas,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,,WAW,KUN,00:45:00,,,,7,,,,,,,,,,,
,2,LO796,E170,,KUN,WAW,06:15:00,,,,7,,,0C/P0/Y44,,,44,,1,8-9,,
,3,FR3466,B738,EIEVW,LTN,KUN,01:15:00,,,,2,,,,,,,,,,,
,4,FR7621,B738,EIEVW,KUN,CPH,06:20:00,,,,2,,,175/12/4,,,53,,2,1-2-3,,
,5,FR1794,B738,EIENH,KUN,MXP,07:05:00,,,,4,,,158/17/2,,,36,,2,1-2-3,,
,6,SRN6912,AT72,,CGN,KUN,07:30:00,,,,9,,,,,,,,,,,
,7,SRN6912,AT72,,KUN,RIX,08:45:00,,,,9,,,,,,,,,,,
,8,SAR802,SF34,,WAW,KUN,09:35:00,,,,9,,,,,,,,,,,
,9,FR9113,B738,EIGDH,PFO,KUN,10:25:00,,,,2,,,,,,,,,,,
,10,FR9114,B738,EIGDH,KUN,PFO,10:50:00,,,,2,,,147/22/2,,,90,,5,1-2-3,,
,11,FR7949,B738,EIDPO,BLQ,KUN,11:25:00,,,,4,,,,,,,,,,,
,12,FR7950,B738,EIDPO,KUN,BLQ,11:50:00,,,,4,,,174/6/3,,,61,,2,1-2-3,,
,13,FR1793,B738,EIENH,MXP,KUN,12:40:00,,,,4,,,,,,,,,,,
,14,FR2618,B738,EIENH,KUN,VDA,13:30:00,,,,4,,,168/15/3,,,145,,5,1-2-3,,
,15,FR7620,B738,EIEVW,CPH,KUN,14:40:00,,,,4,,,,,WCHR/WCBD;WCHR,,,,,,
,16,FR3467,B738,EIEVW,KUN,LTN,15:55:00,,,,4,,,162/16/3,,,63,,5,1-2-3,,
,17,FR1333,B738,EIEVI,NAP,KUN,16:50:00,,,,4,,,,,WCHS/WCMP,,,,,,
,18,FR1334,B738,EIEVI,KUN,NAP,17:15:00,,,,4,,,181/7/1,,,55,,2,1-2-3,,
,19,FR8822,B738,EIGDZ,SNN,KUN,20:50:00,,,,4,,,,,,,,,,,
,20,FR8821,B738,EIGDZ,KUN,SNN,21:15:00,,,,4,,,156/31/4,,,90,,5,1-2-3,,
,21,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,,
,22,AXY0102,B735,9HYES,MAD,KUN,20:05:00,,,,6,,,,40,,,,,,,
,23,SRN6911,AT72,,RIX,KUN,21:05:00,,,,9,,,,,,,,,,,
,24,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,,
,25,FR3466,B738,EIEVW,LTN,KUN,21:50:00,,,,2,,,,,,,,,,,
,26,FR2619,B738,EIENH,VDA,KUN,23:10:00,,,,4,,,,,,,,,,,
,,,,,,,,,,,,,,0,40,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
