Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.11.25,,,,,,,,,,,Renatas Venckūnas,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,FR1334,B738,EIFOR,KUN,NAP,06:15:00,,,,2,,,179/4/1,,,61,,2,1-2-3,,
,2,FR2145,B738,EIDWE,KUN,STN,07:10:00,,,,3,,,170/19/5,,,45,,5,1-2-3,,
,3,W98122,A320,GWUKF,LTN,KUN,10:40:00,,,,4,,,,,,,,,,,
,4,W98121,A320,GWUKF,KUN,LTN,11:10:00,,,,4,,,166/15/1,,,79,,5,4-5-6,,
,5,FR2971,B738,EIFIL,DUB,KUN,11:35:00,,,,2,,,,,2* WCHR,,,,,,
,6,FR2972,B738,EIFIL,KUN,DUB,12:00:00,,,,2,,,179/16/5,,,78,,5,1-2-3,,
,7,FR1333,B738,EIFOR,NAP,KUN,12:10:00,,,,8,,,,,,,,,,,
,8,FR2618,B738,EIEXE,KUN,VDA,13:00:00,,,,5,,,173/7/0,,,63,,5,1-2-3,,
,9,FR2144,B738,EIDWJ,STN,KUN,12:50:00,,,,2,,,,,,,,,,,
,10,FR3467,B738,EIDWJ,KUN,LTN,15:30:00,,,,2,,,173/14/3,,,56,,6,1-2-3,,
,11,FR3466,B738,EIDWJ,LTN,KUN,21:25:00,,,,2,,,,,WCHR,,,,,,
,12,FR2619,B738,EIEXE,VDA,KUN,22:40:00,,,,5,,,,,WCHS,,,,,,
,,,,,,,,,,,,,,0,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
