Field1,Field2,Field3,Field4,Field5,Field6,Field7,Field8,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23
,,,,,,,,,,,,,,,,,,,,,,
,,,,,Kauno oro uosto skrydžių planas,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Sudarė: Operatyvinio valdymo grupės specialistas,,,,,,
,,,,,2018.11.20,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,Eil. Nr.,Reiso Nr.,Orlaivis,,Oro uostas,,Planuojamas,Faktinis,Užsilaikymas,,Aikštelė,,Užpilta kuro,Keleiviai,,PRM,Bagažas,Krovinys,Reg. Vartai,Reg. Stalai,,
,,,Tipas,Registracinis,,,,,DL 1,DL 2,Planuojama,Faktinė,,išvyko,atvyko,,,,,,,
,1,LO795,E170,SPLDF,WAW,KUN,00:45:00,,,,7,,,,29,,11,,,,,
,2,LO796,E170,SPLDF,KUN,WAW,06:15:00,,,,7,,,0C/0P/26Y,,,26,,1,8-9,,
,3,FR7621,B738,EIEVX,KUN,CPH,06:20:00,,,,2,,,182/12/5,,,22,,2,1-2-3,,
,4,SWN7842,ATP,,CGN,KUN,06:55:00,,,,8,,,,,,,,,,,
,5,SWN7843,ATP,,KUN,CGN,08:00:00,,,,8,,,,,,,,,,,
,6,FR2836,B738,EIEXF,KUN,TLV,08:00:00,,,,4,,,159/3/0,,,65,,5,1-2-3,,
,7,SRN6912,AT72,,CGN,KUN,08:00:00,,,,9,,,,,,,,,,,
,8,SRN6912,AT72,,KUN,RIX,08:45:00,,,,9,,,,,,,,,,,
,9,DECMR,SR22T,DECMR,WAW,KUN,08:35:00,,,,2,,,,,,,,,,,
,10,DECMR,SR22T,DECMR,KUN,WAW,09:00:00,,,,2,,,,,,,,,,,
,11,R20835,UH60,20835,EVGA,KUN,09:00:00,,,,12,,,,,,,,,,,
,12,R20835,UH60,20835,KUN,SZY,12:00:00,,,,12,,,,,,,,,,,
,13,R20842,UH60,20842,EVGA,KUN,09:00:00,,,,13,,,,,,,,,,,
,14,R20842,UH60,20842,KUN,SZY,12:00:00,,,,13,,,,,,,,,,,
,15,R20885,UH60,20885,EVGA,KUN,09:00:00,,,,14,,,,,,,,,,,
,16,R20885,UH60,20885,KUN,SZY,12:00:00,,,,14,,,,,,,,,,,
,17,RLU5549,CRJ1,,VKO,KUN,09:30:00,,,,6,,,,,,,,,,,
,18,RLU5550,CRJ1,,KUN,VKO,10:30:00,,,,6,,,25,,,,,,,,
,19,SAR802,SF34,,WAW,KUN,09:50:00,,,,9,,,,,,,,,,,
,20,4U6903,A320,DAIZQ,DUS,KUN,11:10:00,,,,20,,,,,,,,,,,
,21,W68146,A320,HALYL,SVG,KUN,12:15:00,,,,4,,,,,,,,,,,
,22,W68145,A320,HALYL,KUN,SVG,12:45:00,,,,4,,,159/8/6,,WCHC,82,,2,4-5-6,,
,23,GAF124,A400,5410,EEEI,KUN,13:15:00,,,,16R,,,,,,,,,,,
,24,GAF124,A400,5410,KUN,ETNW,14:45:00,,,,16R,,,,,,,,,,,
,25,FR7620,B738,EIEVX,CPH,KUN,14:40:00,,,,4,,,,,,,,,,,
,26,FR3467,B738,EIEVX,KUN,LTN,15:55:00,,,,4,,,176/11/5,,,32,,5,1-2-3,,
,27,ABF1A,C25A,OHSWI,HEL,KUN,16:50:00,,,,6,,,,5,,,,,,,
,28,ABF2A,C25A,OHSWJ,HEL,KUN,16:50:00,,,,3,,,,5,,,,,,,
,29,FR2837,B738,EIEXF,TLV,KUN,16:40:00,,,,4,,,,,,,,,,,
,30,FR1794,B738,EIEXF,KUN,MXP,17:30:00,,,,4,,,123/4/0,,,28,,2,1-2-3,,
,31,FR9098,B738,EIEVZ,ALC,KUN,19:00:00,,,,4,,,,,,,,,,,
,32,FR9099,B738,EIEVZ,KUN,ALC,19:25:00,,,,4,,,183/5/3,,,51,,2,1-2-3,,
,33,SAR801,SF34,,KUN,WAW,20:25:00,,,,9,,,,,,,,,,,
,34,SRN6911,AT72,,RIX,KUN,21:15:00,,,,9,,,,,,,,,,,
,35,SRN6911,AT72,,KUN,CGN,21:50:00,,,,9,,,,,,,,,,,
,36,FR3466,B738,EIEVX,LTN,KUN,21:25:00,,,,2,,,,,WCHR,,,,,,
,37,FR1793,B738,EIEXF,MXP,KUN,23:05:00,,,,4,,,,,,,,,,,
,,,,,,,,,,,,,,25,39,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
